YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,A (H5)
2024,40,1495,95,104,27,0,0,5,0,4
2024,41,1455,92,77,32,0,0,5,0,16
2024,42,1404,95,106,20,0,0,18,0,13
2024,43,1984,140,166,21,4,0,12,0,10
2024,44,1745,204,174,32,6,0,19,0,4
2024,45,1835,259,208,40,8,0,18,0,4
2024,46,1896,350,217,52,14,0,21,0,5
2024,47,2354,423,335,57,24,0,38,0,4
2024,48,2009,508,377,38,17,0,19,0,7
2024,49,3013,887,599,80,26,0,38,0,3
2024,50,4063,1339,1013,156,34,0,55,0,5
2024,51,5517,2154,1459,280,29,0,38,0,1
2024,52,6246,2524,1872,494,43,0,33,0,0
2025,1,7593,2830,2249,777,56,0,42,0,0
2025,2,7030,2497,1915,622,43,0,45,0,1
2025,3,8329,2681,2455,972,59,0,67,0,0
2025,4,9567,3151,3257,1183,84,0,48,0,0
2025,5,13017,3877,4425,1999,123,0,112,0,0
2025,6,12111,3320,4250,1810,160,0,80,0,1
2025,7,10274,2949,3855,925,157,0,87,0,1
2025,8,7720,1963,3105,480,120,0,125,0,0
2025,9,7328,1871,2690,529,128,0,105,0,0
2025,10,6056,1373,2212,512,133,0,156,0,0
2025,11,5402,1174,1912,541,177,0,168,0,0
2025,12,4711,1090,1588,327,153,0,163,0,0
2025,13,3132,527,926,142,137,0,155,0,0
2025,14,2854,492,837,81,167,0,194,0,0
2025,15,2221,236,506,56,163,0,231,0,0
2025,16,1791,158,366,45,162,0,195,0,0
2025,17,2098,313,490,45,142,0,206,0,0
2025,18,1668,198,274,27,120,0,210,0,0
2025,19,1513,159,329,11,87,0,205,0,0
2025,20,1032,38,160,11,53,0,109,0,0
2025,21,853,36,92,14,27,0,68,0,0
2025,22,846,25,115,14,33,0,67,0,0
2025,23,897,15,122,13,33,0,53,0,0
2025,24,750,13,91,9,15,0,37,0,0
2025,25,690,11,62,5,11,0,31,0,0
2025,26,670,5,96,2,14,0,21,0,0
2025,27,619,12,58,1,5,0,12,0,0
2025,28,804,12,54,2,1,0,11,0,0
2025,29,655,3,61,1,3,0,11,0,0
2025,30,582,26,52,4,1,0,14,0,0
2025,31,663,14,54,1,2,0,7,0,0
2025,32,664,15,39,1,2,0,2,0,0
2025,33,856,10,41,3,1,0,4,0,0
2025,34,839,13,71,3,1,0,3,0,0
2025,35,866,22,57,5,1,0,2,0,0
2025,36,990,28,48,2,2,0,1,0,0
2025,37,940,29,52,4,1,0,2,0,0
2025,38,847,29,45,7,2,0,1,0,0
2025,39,910,28,43,8,6,0,3,0,0
