Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2024,40,0-4 yr,0,0,15,6,5,0,0,0,0
2024,41,0-4 yr,0,0,12,5,7,1,0,0,0
2024,42,0-4 yr,0,0,13,13,4,1,0,0,0
2024,43,0-4 yr,0,0,20,22,5,1,0,0,0
2024,44,0-4 yr,0,0,18,22,4,2,0,0,0
2024,45,0-4 yr,0,0,26,23,4,1,0,0,0
2024,46,0-4 yr,0,0,42,30,7,1,0,1,0
2024,47,0-4 yr,0,0,43,40,6,1,0,2,0
2024,48,0-4 yr,0,0,66,45,5,2,0,3,0
2024,49,0-4 yr,0,0,90,54,8,4,0,4,0
2024,50,0-4 yr,0,0,150,103,17,2,0,3,0
2024,51,0-4 yr,0,0,205,116,22,3,0,2,0
2024,52,0-4 yr,0,0,244,188,39,3,0,5,0
2025,1,0-4 yr,0,0,296,262,86,6,0,5,0
2025,2,0-4 yr,0,0,196,151,61,4,0,2,0
2025,3,0-4 yr,0,0,230,194,113,3,0,3,0
2025,4,0-4 yr,0,0,261,260,199,2,0,6,0
2025,5,0-4 yr,0,0,256,294,255,11,0,6,0
2025,6,0-4 yr,0,0,212,231,212,4,0,10,0
2025,7,0-4 yr,0,0,178,201,99,6,0,9,0
2025,8,0-4 yr,0,0,133,174,38,9,0,8,0
2025,9,0-4 yr,0,0,101,147,40,8,0,12,0
2025,10,0-4 yr,0,0,84,99,50,9,0,9,0
2025,11,0-4 yr,0,0,59,97,57,6,0,17,0
2025,12,0-4 yr,0,0,64,77,26,12,0,14,0
2025,13,0-4 yr,0,0,35,49,5,13,0,6,0
2025,14,0-4 yr,0,0,17,43,5,26,0,8,0
2025,15,0-4 yr,0,0,15,39,3,18,0,10,0
2025,16,0-4 yr,0,0,17,22,0,23,0,12,0
2025,17,0-4 yr,0,0,7,21,2,10,0,14,0
2025,18,0-4 yr,0,0,7,16,3,7,0,14,0
2025,19,0-4 yr,0,0,2,13,0,13,0,8,0
