horizon,output_type_id,value,target,age_group,scenario_id,origin_date,location,output_type,model_name
1.0,2.0,579.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,89.0,216.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,5.0,623.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,88.0,1040.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,51.0,522.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,96.0,385.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,40.0,716.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,92.0,305.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,28.0,468.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,48.0,347.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,47.0,958.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,4.0,669.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,74.0,321.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,34.0,141.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,21.0,453.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,73.0,488.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,56.0,579.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,71.0,347.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,24.0,835.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,64.0,638.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,14.0,948.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,80.0,972.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,16.0,107.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,39.0,357.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,57.0,411.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,79.0,213.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,97.0,613.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,54.0,453.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,13.0,419.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,94.0,750.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,11.0,616.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,91.0,401.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,12.0,658.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,82.0,232.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,55.0,1146.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,42.0,536.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,63.0,842.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,70.0,699.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,65.0,726.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,27.0,526.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,72.0,336.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,19.0,371.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,60.0,326.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,35.0,818.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,20.0,508.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,67.0,297.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,30.0,973.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,87.0,657.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,31.0,285.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,25.0,668.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,78.0,398.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,38.0,120.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,58.0,454.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,32.0,594.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,62.0,495.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,69.0,688.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,83.0,533.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,43.0,858.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,23.0,305.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,77.0,525.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,17.0,1076.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,98.0,756.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,37.0,471.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,10.0,613.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,53.0,475.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,59.0,473.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,18.0,637.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,76.0,678.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,36.0,1093.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,93.0,403.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,44.0,313.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
1.0,84.0,584.0,inc hosp,0-130,A-2023-08-14,2023-09-03,US,sample,MOBS_NEU-GLEAM_FLU
