"","quantile","value","horizon"
"1",0.01,293.59287073771,10
"2",0.025,431.268618093001,10
"3",0.05,578.786526443419,10
"4",0.1,868.211696955349,10
"5",0.15,1129.36263968608,10
"6",0.2,1327.83809413091,10
"7",0.25,1547.36554891434,10
"8",0.3,1777.14743896143,10
"9",0.35,2017.49690532264,10
"10",0.4,2307.08289514331,10
"11",0.45,2695.48895448825,10
"12",0.5,3181.30193336085,10
"13",0.55,3682.9215981285,10
"14",0.6,4362.956363666,10
"15",0.65,4903.53956591269,10
"16",0.7,5581.74077820451,10
"17",0.75,6308.42745318543,10
"18",0.8,7145.13549257133,10
"19",0.85,8132.46063970674,10
"20",0.9,9465.265754233,10
"21",0.95,11877.8251654797,10
"22",0.975,14164.9821235398,10
"23",0.99,17321.5911408527,10
