"","quantile","value","horizon"
"1",0.01,1784.69374833732,20
"2",0.025,2277.5551433122,20
"3",0.05,2746.97531624067,20
"4",0.1,3716.59307558369,20
"5",0.15,4408.96204336314,20
"6",0.2,5506.69681843495,20
"7",0.25,7001.90810284324,20
"8",0.3,8571.99214585637,20
"9",0.35,10262.6763623668,20
"10",0.4,11885.5148900828,20
"11",0.45,13274.4094069582,20
"12",0.5,14237.4059254323,20
"13",0.55,15340.8604920622,20
"14",0.6,16664.0687458469,20
"15",0.65,17838.4005732665,20
"16",0.7,19034.8867329677,20
"17",0.75,20434.0673433864,20
"18",0.8,21531.3569506402,20
"19",0.85,23123.5166188331,20
"20",0.9,25694.9577295947,20
"21",0.95,29810.6423797161,20
"22",0.975,34237.9309989159,20
"23",0.99,37568.0916972649,20
"24",0.01,1564.52059850489,21
"25",0.025,1882.14119524127,21
"26",0.05,2169.71678347604,21
"27",0.1,2800.18830493948,21
"28",0.15,3566.51445648942,21
"29",0.2,4769.11848800556,21
"30",0.25,6820.90005666592,21
"31",0.3,8747.58853258538,21
"32",0.35,10237.4278152111,21
"33",0.4,11368.2218766028,21
"34",0.45,12627.9169638431,21
"35",0.5,14424.4045519204,21
"36",0.55,15771.063648028,21
"37",0.6,16993.4203065478,21
"38",0.65,18559.3077530985,21
"39",0.7,19746.2151122658,21
"40",0.75,21552.7846711445,21
"41",0.8,22901.7602589297,21
"42",0.85,24453.3853044854,21
"43",0.9,27139.0744352269,21
"44",0.95,32292.1438941344,21
"45",0.975,35979.1124261171,21
"46",0.99,40472.9242640186,21
"47",0.01,1170.42369811107,22
"48",0.025,1349.29401002357,22
"49",0.05,1650.98808230513,22
"50",0.1,2154.0158548724,22
"51",0.15,2933.55871226748,22
"52",0.2,4515.77456088681,22
"53",0.25,6347.23081451338,22
"54",0.3,8087.76181089218,22
"55",0.35,9504.51701578212,22
"56",0.4,11130.2004277833,22
"57",0.45,12901.9796840904,22
"58",0.5,14819.4757897912,22
"59",0.55,16597.2824428587,22
"60",0.6,17745.0766851098,22
"61",0.65,19226.4003791722,22
"62",0.7,20672.39370302,22
"63",0.75,22406.1535548333,22
"64",0.8,23909.5177594644,22
"65",0.85,25292.9464500496,22
"66",0.9,28218.6854614437,22
"67",0.95,32797.706393111,22
"68",0.975,37258.6025000477,22
"69",0.99,42558.3756498235,22
"70",0.01,768.28543143,23
"71",0.025,955.22305472,23
"72",0.05,1148.75792356883,23
"73",0.1,1591.48652627413,23
"74",0.15,2486.07092568929,23
"75",0.2,3899.79125133382,23
"76",0.25,5402.41386456325,23
"77",0.3,6987.99829063324,23
"78",0.35,8766.2456236712,23
"79",0.4,10525.402677612,23
"80",0.45,12948.292150392,23
"81",0.5,15168.7766780499,23
"82",0.55,16821.9255451053,23
"83",0.6,18048.2396327277,23
