"","quantile","value","horizon"
"1",0.01,24.0670703744,30
"2",0.025,30.21894525,30
"3",0.05,39.023437524,30
"4",0.1,108.072842970131,30
"5",0.15,211.920560499687,30
"6",0.2,462.955010581884,30
"7",0.25,709.954169255516,30
"8",0.3,1358.21717187748,30
"9",0.35,2092.8977486295,30
"10",0.4,2693.75942143233,30
"11",0.45,3227.22036552133,30
"12",0.5,3835.21612174826,30
"13",0.55,4488.61561610366,30
"14",0.6,5440.34970900487,30
"15",0.65,6601.81987760418,30
"16",0.7,7332.94435984538,30
"17",0.75,7876.62931126814,30
"18",0.8,8433.61217671904,30
"19",0.85,9101.72227280035,30
"20",0.9,10456.6824231713,30
"21",0.95,12932.6354826357,30
"22",0.975,15224.8082651326,30
"23",0.99,16963.146073327,30
"24",0.01,14.1310156135,31
"25",0.025,17.808593742,31
"26",0.05,23.297656258,31
"27",0.1,53.7234216134628,31
"28",0.15,120.279359020969,31
"29",0.2,279.076993344676,31
"30",0.25,438.582112231501,31
"31",0.3,996.444074372037,31
"32",0.35,1552.94678710611,31
"33",0.4,1935.69153503839,31
"34",0.45,2275.29965086653,31
"35",0.5,2754.18936737984,31
"36",0.55,3393.65404154938,31
"37",0.6,4294.85859391272,31
"38",0.65,5244.26610563241,31
"39",0.7,5786.90904057824,31
"40",0.75,6268.00821608267,31
"41",0.8,6857.03411508334,31
"42",0.85,7593.89358751385,31
"43",0.9,9204.24524466781,31
"44",0.95,11800.6588304276,31
"45",0.975,13957.5350737909,31
"46",0.99,16070.344497228,31
"47",0.01,8.3056640641,32
"48",0.025,10.365234367,32
"49",0.05,13.678906254,32
"50",0.1,28.4984296921899,32
"51",0.15,64.5414078942465,32
"52",0.2,157.517204489922,32
"53",0.25,299.512763796743,32
"54",0.3,851.863671134427,32
"55",0.35,1209.96732462444,32
"56",0.4,1530.42867080824,32
"57",0.45,1822.88616370432,32
"58",0.5,2132.35651175717,32
"59",0.55,2645.11418622704,32
"60",0.6,3382.25088456701,32
"61",0.65,4047.81594070089,32
"62",0.7,4536.26119189108,32
"63",0.75,5012.60418639969,32
"64",0.8,5574.58780204199,32
"65",0.85,6446.10328451974,32
"66",0.9,7942.66414500804,32
"67",0.95,10412.3169797362,32
"68",0.975,12684.061325669,32
"69",0.99,14881.2859949517,32
"70",0.01,4.8171875,33
"71",0.025,6.0640625,33
"72",0.05,8.000390627,33
"73",0.1,14.9814452422176,33
"74",0.15,33.594738183536,33
"75",0.2,94.4376263602966,33
"76",0.25,212.133511375099,33
"77",0.3,705.420438742373,33
"78",0.35,970.220880466272,33
"79",0.4,1245.89325997982,33
"80",0.45,1497.1017816015,33
"81",0.5,1733.76824704629,33
"82",0.55,2021.70521414647,33
"83",0.6,2657.98074557401,33
"84",0.65,3107.39065141773,33
"85",0.7,3538.43588387332,33
"86",0.75,3975.0929933264,33
"87",0.8,4487.07434443007,33
"88",0.85,5415.58873594724,33
"89",0.9,6753.89012891693,33
"90",0.95,9114.34492348427,33
"91",0.975,11460.0891365311,33
"92",0.99,13698.2969030789,33
