"","quantile","value","horizon"
"1",0.01,4785.33,27
"2",0.025,5666.60256205741,27
"3",0.05,5835.53034553241,27
"4",0.1,5984.95100484989,27
"5",0.15,6126.22793054143,27
"6",0.2,6321.96673877813,27
"7",0.25,7191.44746068372,27
"8",0.3,8115.20865666855,27
"9",0.35,10068.129229466,27
"10",0.4,12609.1287127049,27
"11",0.45,14025.4088528854,27
"12",0.5,14758.1918065687,27
"13",0.55,15396.9326986952,27
"14",0.6,16220.8452060996,27
"15",0.65,17480.1606029729,27
"16",0.7,19076.1209398147,27
"17",0.75,20759.7487933876,27
"18",0.8,22680.031407087,27
"19",0.85,25066.8336297284,27
"20",0.9,28005.3963441724,27
"21",0.95,32248.3378275994,27
"22",0.975,36435.0522587034,27
"23",0.99,41658.8927180062,27
"24",0.01,4032.96982650525,28
"25",0.025,4163.64587000737,28
"26",0.05,4273.73306067992,28
"27",0.1,4413.65357634109,28
"28",0.15,4624.15854082245,28
"29",0.2,6114.0519684868,28
"30",0.25,6947.13957169006,28
"31",0.3,7638.79004831892,28
"32",0.35,8136.19725116698,28
"33",0.4,10266.9511619566,28
"34",0.45,11115.4369107042,28
"35",0.5,11610.3737555454,28
"36",0.55,12210.5633250967,28
"37",0.6,13212.2706901493,28
"38",0.65,14277.2295503643,28
"39",0.7,15420.3348940223,28
"40",0.75,16980.0770554022,28
"41",0.8,18818.9860178583,28
"42",0.85,21077.4965682895,28
"43",0.9,23814.3046592753,28
"44",0.95,27561.8180159159,28
"45",0.975,30809.5272208455,28
"46",0.99,34668.8249210926,28
"47",0.01,2984.76084485855,29
"48",0.025,3057.17866170426,29
"49",0.05,3131.89699657086,29
"50",0.1,3253.04046135101,29
"51",0.15,3520.98917741867,29
"52",0.2,5824.32358503125,29
"53",0.25,6230.6757028839,29
"54",0.3,6799.50468441098,29
"55",0.35,7341.44761498514,29
"56",0.4,7726.74507461107,29
"57",0.45,8300.46112753855,29
"58",0.5,8708.76430578318,29
"59",0.55,9323.76660650652,29
"60",0.6,10045.5799537979,29
"61",0.65,10882.876144228,29
"62",0.7,11752.5894912142,29
"63",0.75,12890.5177566319,29
"64",0.8,14216.911424602,29
"65",0.85,15806.2895090638,29
"66",0.9,17669.0616088869,29
"67",0.95,20737.3356269998,29
"68",0.975,23434.5246651675,29
"69",0.99,26557.0362793713,29
"70",0.01,2206.50058084201,30
"71",0.025,2271.74260822824,30
"72",0.05,2333.36732967639,30
"73",0.1,2442.11085440233,30
"74",0.15,2751.47817672514,30
"75",0.2,4350.9017327132,30
"76",0.25,5299.43883092402,30
"77",0.3,5763.77778817623,30
"78",0.35,5943.71132627362,30
"79",0.4,6136.50182241063,30
"80",0.45,6452.74359156442,30
"81",0.5,6718.15753438382,30
"82",0.55,7051.8111946757,30
"83",0.6,7360.2630940782,30
"84",0.65,7899.43626713396,30
"85",0.7,8545.8063255,30
"86",0.75,9271.28557250591,30
"87",0.8,10262.0743103504,30
"88",0.85,11384.8589634012,30
"89",0.9,12911.6461772705,30
"90",0.95,15257.6335416289,30
"91",0.975,17740.2268156412,30
"92",0.99,20648.8345150729,30
"93",0.01,1651.5691347329,31
"94",0.025,1700.35413707745,31
