"","quantile","value","horizon"
"1",0.01,389.709865592751,33
"2",0.025,559.324690886487,33
"3",0.05,891.367018993096,33
"4",0.1,1018.14326318483,33
"5",0.15,1083.94861524313,33
"6",0.2,1184.95936020153,33
"7",0.25,1443.68694945988,33
"8",0.3,1611.86210133738,33
"9",0.35,2022.18156339571,33
"10",0.4,2384.2262642116,33
"11",0.45,2758.34919183889,33
"12",0.5,3185.38682890909,33
"13",0.55,3602.63970339867,33
"14",0.6,4163.98662176868,33
"15",0.65,4591.50684461767,33
"16",0.7,4788.93936828264,33
"17",0.75,4998.87802422644,33
"18",0.8,5264.54721971859,33
"19",0.85,5892.1420588723,33
"20",0.9,7041.88172815816,33
"21",0.95,8571.52942655839,33
"22",0.975,10072.9453128923,33
"23",0.99,12052.8682917839,33
"24",0.01,196.726056083452,34
"25",0.025,265.883312991182,34
"26",0.05,436.671685296073,34
"27",0.1,763.303903433569,34
"28",0.15,805.698710868003,34
"29",0.2,852.405037969643,34
"30",0.25,899.225477344952,34
"31",0.3,1058.79914959106,34
"32",0.35,1361.7474822319,34
"33",0.4,1636.72421527498,34
"34",0.45,1920.70157628583,34
"35",0.5,2241.80869782816,34
"36",0.55,2570.822636408,34
"37",0.6,3092.23442379691,34
"38",0.65,3722.76148370613,34
"39",0.7,4287.692563562,34
"40",0.75,4484.19538955107,34
"41",0.8,4641.88581085313,34
"42",0.85,4861.53250341614,34
"43",0.9,5406.06375943405,34
"44",0.95,6676.38988585649,34
"45",0.975,7869.17208075505,34
"46",0.99,9229.08124166492,34
"47",0.01,95.688952383343,35
"48",0.025,133.406214555606,35
"49",0.05,216.261024367617,35
"50",0.1,533.081707492059,35
"51",0.15,585.563804053649,35
"52",0.2,623.042813645495,35
"53",0.25,668.287398136977,35
"54",0.3,754.575182763741,35
"55",0.35,961.505040795216,35
"56",0.4,1144.54452122999,35
"57",0.45,1336.70678823228,35
"58",0.5,1554.84904620308,35
"59",0.55,1805.1121689565,35
"60",0.6,2162.0774219941,35
"61",0.65,2651.74318518691,35
"62",0.7,3208.57273761826,35
"63",0.75,3873.64334791833,35
"64",0.8,4213.31690566215,35
"65",0.85,4388.59085442424,35
"66",0.9,4559.77555262577,35
"67",0.95,5034.20972912412,35
"68",0.975,5955.26374253582,35
"69",0.99,7067.04911118232,35
"70",0.01,47.2529750053499,36
"71",0.025,68.8666915490837,36
"72",0.05,120.01219202631,36
"73",0.1,379.583358734605,36
"74",0.15,438.411730052853,36
"75",0.2,481.207363482499,36
"76",0.25,517.282690301754,36
"77",0.3,567.688949095049,36
"78",0.35,722.340362452671,36
"79",0.4,849.393983779082,36
"80",0.45,975.28898472412,36
"81",0.5,1118.11434779764,36
"82",0.55,1279.50443439205,36
"83",0.6,1508.21106952504,36
"84",0.65,1826.91765239573,36
"85",0.7,2221.8645939388,36
"86",0.75,2747.14525043003,36
"87",0.8,3477.53486475356,36
"88",0.85,4017.15357578713,36
"89",0.9,4192.52401445492,36
"90",0.95,4389.13205649108,36
"91",0.975,4604.64972838427,36
"92",0.99,5264.43070584107,36
"93",0.01,26.0483748105936,37
"94",0.025,38.1547188605118,37
"95",0.05,74.3465191562153,37
"96",0.1,296.791842902467,37
"97",0.15,338.767489849673,37
"98",0.2,370.67791855353,37
"99",0.25,397.349455139111,37
"100",0.3,430.152526050224,37
"101",0.35,548.508893750965,37
"102",0.4,666.946500177475,37
"103",0.45,752.148215818246,37
"104",0.5,844.644281357188,37
"105",0.55,941.89790149593,37
"106",0.6,1069.43745607152,37
"107",0.65,1258.53162851525,37
"108",0.7,1517.72032704543,37
"109",0.75,1900.1339308232,37
"110",0.8,2470.68993750969,37
"111",0.85,3588.31262240276,37
"112",0.9,3948.7133905612,37
"113",0.95,4149.52151708495,37
"114",0.975,4284.61075405346,37
"115",0.99,4485.56744020206,37
"116",0.01,15.4305614880588,38
"117",0.025,24.6930180207076,38
"118",0.05,48.2817024074078,38
"119",0.1,240.966592345557,38
"120",0.15,274.927621089628,38
"121",0.2,292.879273487939,38
"122",0.25,308.830177452461,38
"123",0.3,330.382773249966,38
"124",0.35,381.607119683146,38
"125",0.4,519.230925052018,38
"126",0.45,609.478231358346,38
"127",0.5,677.975123878869,38
"128",0.55,744.213422159756,38
"129",0.6,817.488792686093,38
"130",0.65,922.034702903075,38
"131",0.7,1081.73861109458,38
"132",0.75,1358.74825868342,38
"133",0.8,1836.61644702414,38
"134",0.85,3189.01069935362,38
"135",0.9,3717.32483488052,38
"136",0.95,3965.85636285423,38
"137",0.975,4117.97476427669,38
"138",0.99,4263.19607331494,38
