"","quantile","value","horizon"
"1",0.01,163.6,10
"2",0.025,173,10
"3",0.05,181,10
"4",0.1,195,10
"5",0.15,207,10
"6",0.2,221,10
"7",0.25,468.67,10
"8",0.3,1839.18,10
"9",0.35,2917.58,10
"10",0.4,4550.85060805014,10
"11",0.45,5389.00622727924,10
"12",0.5,6097.73318515546,10
"13",0.55,6923.57563045138,10
"14",0.6,7765.75380561118,10
"15",0.65,8595.93905929753,10
"16",0.7,9650.9525597786,10
"17",0.75,10634.2016205044,10
"18",0.8,12038.1431654921,10
"19",0.85,13766.844890476,10
"20",0.9,16798.929629259,10
"21",0.95,20091.9714056189,10
"22",0.975,23358.3264562965,10
"23",0.99,26666.8670728021,10
"24",0.01,125.6,11
"25",0.025,135,11
"26",0.05,142,11
"27",0.1,152,11
"28",0.15,162,11
"29",0.2,174,11
"30",0.25,353.3115,11
"31",0.3,1695.5,11
"32",0.35,2723.4,11
"33",0.4,4570.5,11
"34",0.45,5364.6459122252,11
"35",0.5,6255.4385236621,11
"36",0.55,7102.98488376585,11
"37",0.6,7872.80433262327,11
"38",0.65,8696.61017015339,11
"39",0.7,9620.88275784782,11
"40",0.75,10663.5895763422,11
"41",0.8,11984.7837841515,11
"42",0.85,13968.3822225722,11
"43",0.9,16610.0930376503,11
"44",0.95,20186.9019032272,11
"45",0.975,22790.5183939604,11
"46",0.99,27995.4854519716,11
"47",0.01,88.4,12
"48",0.025,99,12
"49",0.05,106,12
"50",0.1,115,12
"51",0.15,124,12
"52",0.2,135,12
"53",0.25,258.216,12
"54",0.3,1313.52,12
"55",0.35,2662.4,12
"56",0.4,4145.46,12
"57",0.45,5512.13234576739,12
"58",0.5,6441.88797041694,12
"59",0.55,7341.54232688933,12
"60",0.6,8236.31761167655,12
"61",0.65,9138.71244317415,12
"62",0.7,9937.42515703562,12
"63",0.75,10914.5816669874,12
"64",0.8,12293.160332961,12
"65",0.85,14016.5860405027,12
"66",0.9,16603.1028744949,12
"67",0.95,19972.2694541922,12
"68",0.975,24161.376214144,12
"69",0.99,35213.3599333077,12
"70",0.01,64.76,13
"71",0.025,71,13
"72",0.05,77,13
"73",0.1,84,13
"74",0.15,93,13
"75",0.2,102,13
"76",0.25,191.803,13
"77",0.3,1069.72,13
"78",0.35,2494.8,13
"79",0.4,4099.12,13
"80",0.45,5730.50512671499,13
"81",0.5,6755.57358158723,13
"82",0.55,7463.23532426845,13
"83",0.6,8337.25293359232,13
"84",0.65,8943.92404114271,13
"85",0.7,9781.44256888771,13
"86",0.75,10780.7797053788,13
"87",0.8,11870.5983967291,13
"88",0.85,13418.6735207289,13
"89",0.9,15857.3190920169,13
"90",0.95,22002.699072577,13
"91",0.975,27438.7397287163,13
"92",0.99,39004.4807250315,13
"93",0.01,43.8,14
"94",0.025,50,14
"95",0.05,55,14
"96",0.1,60,14
"97",0.15,68,14
"98",0.2,74.2,14
"99",0.25,133.6015,14
"100",0.3,976.78,14
"101",0.35,2298.08,14
"102",0.4,3861.1,14
"103",0.45,5538.68767661142,14
"104",0.5,6363.64381250214,14
"105",0.55,7000.50376645149,14
"106",0.6,7597.85597223004,14
"107",0.65,8290.88947029073,14
"108",0.7,9028.58372325299,14
"109",0.75,9743.08292842577,14
"110",0.8,10925.6938185312,14
"111",0.85,12462.685364688,14
"112",0.9,15056.5539862256,14
"113",0.95,20968.9367738589,14
"114",0.975,28579.8731543777,14
"115",0.99,38064.6736886499,14
"116",0.01,31.2,15
"117",0.025,36,15
"118",0.05,39,15
"119",0.1,44,15
