"","quantile","value","horizon"
"1",0.01,6552.052,25
"2",0.025,6619.39,25
"3",0.05,6768.14,25
"4",0.1,8209.36,25
"5",0.15,10899.7762045168,25
"6",0.2,11210.14951059,25
"7",0.25,11307.4722181111,25
"8",0.3,14513.28,25
"9",0.35,19062.1235711277,25
"10",0.4,23879.4246964483,25
"11",0.45,24955.5701908017,25
"12",0.5,25532.325831609,25
"13",0.55,26007.3236265336,25
"14",0.6,26750.0795971969,25
"15",0.65,27702.1116956269,25
"16",0.7,28222.3382774512,25
"17",0.75,28912.9737132012,25
"18",0.8,29704.371037926,25
"19",0.85,30352.557648786,25
"20",0.9,31458.1476194836,25
"21",0.95,32450.793047518,25
"22",0.975,33476.3558587633,25
"23",0.99,34909.5441029298,25
"24",0.01,6618.076,26
"25",0.025,6675.255,26
"26",0.05,6774.635,26
"27",0.1,8102.15647513004,26
"28",0.15,8241.19694809872,26
"29",0.2,8375.10161274166,26
"30",0.25,8468.76852373021,26
"31",0.3,12661.38,26
"32",0.35,16186.9968931129,26
"33",0.4,19389.5532291518,26
"34",0.45,20026.8437876482,26
"35",0.5,21835.1985633415,26
"36",0.55,23026.6732984605,26
"37",0.6,23994.341355882,26
"38",0.65,24819.1959015907,26
"39",0.7,25850.6789839178,26
"40",0.75,26724.8346439549,26
"41",0.8,27939.7817577097,26
"42",0.85,29751.3892104948,26
"43",0.9,31205.4436722481,26
"44",0.95,32263.8254453703,26
"45",0.975,33132.380082993,26
"46",0.99,36491.43,26
"47",0.01,5965.28,27
"48",0.025,6066.25,27
"49",0.05,6107.8,27
"50",0.1,6161.8,27
"51",0.15,6660.2,27
"52",0.2,6939.42,27
"53",0.25,8042.55,27
"54",0.3,10297.5286386341,27
"55",0.35,13635.7369740545,27
"56",0.4,14810.8623200528,27
"57",0.45,15769.3328300917,27
"58",0.5,17211.5356777591,27
"59",0.55,18797.3391903433,27
"60",0.6,19799.0178599117,27
"61",0.65,20656.823987332,27
"62",0.7,21425.9057185496,27
"63",0.75,22450.0758067777,27
"64",0.8,23941.1069028537,27
"65",0.85,27940.8604410055,27
"66",0.9,30742.0868210788,27
"67",0.95,32933.275,27
"68",0.975,33772.725,27
"69",0.99,35813.81,27
"70",0.01,4382.82,28
"71",0.025,4438.1,28
"72",0.05,4499.6,28
"73",0.1,4540.8,28
"74",0.15,6556.245,28
"75",0.2,6856.14657837812,28
"76",0.25,7816.6623107379,28
"77",0.3,8141.57951340596,28
"78",0.35,10901.5648401629,28
"79",0.4,11370.1961031917,28
"80",0.45,12124.9645154587,28
"81",0.5,12957.2774359182,28
"82",0.55,14283.3300217263,28
"83",0.6,15011.1047552981,28
"84",0.65,15519.0394435976,28
"85",0.7,16111.3703406184,28
"86",0.75,17196.2353606979,28
"87",0.8,19084.5703659972,28
"88",0.85,23289.0143082727,28
"89",0.9,26137.4856564364,28
"90",0.95,28996.2687716678,28
"91",0.975,30823.8511442084,28
"92",0.99,31805.550384383,28
"93",0.01,3240.84,29
"94",0.025,3293.1,29
"95",0.05,3340.6,29
"96",0.1,3389,29
"97",0.15,6265.46220230579,29
"98",0.2,6674.29705398279,29
"99",0.25,7450.66434983436,29
"100",0.3,7647.60722101449,29
"101",0.35,8212.47316465761,29
"102",0.4,8511.51807790261,29
"103",0.45,8872.0926871288,29
"104",0.5,9898.04772529823,29
"105",0.55,10319.8735629524,29
"106",0.6,10809.7384712625,29
"107",0.65,11230.3537547224,29
"108",0.7,11620.9542313742,29
"109",0.75,12375.2150776221,29
"110",0.8,13813.5855326434,29
"111",0.85,16553.607021887,29
"112",0.9,18706.9472359188,29
"113",0.95,21823.3749991053,29
"114",0.975,23124.331090574,29
"115",0.99,24965.9926495307,29
"116",0.01,2407.7,30
"117",0.025,2476.8,30
"118",0.05,2499.4,30
"119",0.1,2547.8,30
"120",0.15,5047.13549026221,30
"121",0.2,5855.68371958781,30
"122",0.25,6029.7683833072,30
"123",0.3,6245.17690541273,30
"124",0.35,6540.67347792517,30
"125",0.4,6769.74372604284,30
"126",0.45,7061.44590999033,30
"127",0.5,7218.8129034656,30
"128",0.55,7290.52343661396,30
"129",0.6,7497.72582619118,30
