,year_week,year_week_short,A (H3),A (H1N1)pdm09,dominant
164,202448,24-48,81,51,A/H3N2
165,202449,24-49,122,111,A/H3N2
166,202450,24-50,238,163,A/H3N2
167,202451,24-51,382,297,A/H3N2
168,202452,24-52,652,551,A/H3N2
169,202501,25-01,781,660,A/H3N2
170,202502,25-02,575,527,A/H3N2
171,202503,25-03,468,583,A/H1N1
172,202504,25-04,720,895,A/H1N1
173,202505,25-05,981,1317,A/H1N1
174,202506,25-06,958,1458,A/H1N1
175,202507,25-07,770,1354,A/H1N1
176,202508,25-08,541,1183,A/H1N1
177,202509,25-09,509,920,A/H1N1
178,202510,25-10,304,748,A/H1N1
179,202511,25-11,206,598,A/H1N1
180,202512,25-12,168,473,A/H1N1
