"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0.23,1
"5",0.15,16.010516572,1
"6",0.2,16.314636066,1
"7",0.25,65.7310734422505,1
"8",0.3,136.113994655992,1
"9",0.35,148.65062331284,1
"10",0.4,188.884012376117,1
"11",0.45,220.291821767097,1
"12",0.5,362.645197808153,1
"13",0.55,480.911900714613,1
"14",0.6,590.681815176053,1
"15",0.65,667.987018208426,1
"16",0.7,828.283759437292,1
"17",0.75,928.355257076765,1
"18",0.8,1014.17398654687,1
"19",0.85,1072.75203704893,1
"20",0.9,1221.39460059844,1
"21",0.95,1911.61274177581,1
"22",0.975,2599.79780463735,1
"23",0.99,3077.59314534565,1
"24",0.01,2.024,2
"25",0.025,2.76,2
"26",0.05,3.98666666666667,2
"27",0.1,6.44,2
"28",0.15,18.49203743,2
"29",0.2,19.71756906,2
"30",0.25,71.7414919090505,2
"31",0.3,162.98,2
"32",0.35,208.734897422741,2
"33",0.4,291.228744218545,2
"34",0.45,351.704498198945,2
"35",0.5,420.888535087975,2
"36",0.55,548.398669512671,2
"37",0.6,602.068018647639,2
"38",0.65,682.545691193623,2
"39",0.7,807.885080210043,2
"40",0.75,927.667900798075,2
"41",0.8,1033.55804117425,2
"42",0.85,1175.87268117307,2
"43",0.9,1378.14125648079,2
"44",0.95,2021.00403070707,2
"45",0.975,2741.02508583021,2
"46",0.99,3316.14576831899,2
"47",0.01,8.2616,3
"48",0.025,10.12,3
"49",0.05,11.96,3
"50",0.1,16.1,3
"51",0.15,33.621101922,3
"52",0.2,38.185670642,3
"53",0.25,90.1403405258004,3
"54",0.3,201.894,3
"55",0.35,308.693987207864,3
"56",0.4,410.307963568182,3
"57",0.45,490.494662567219,3
"58",0.5,544.737892880396,3
"59",0.55,600.732275509455,3
"60",0.6,675.613720148192,3
"61",0.65,762.564336891382,3
"62",0.7,889.681057347472,3
"63",0.75,1016.60797774173,3
"64",0.8,1135.07341366484,3
"65",0.85,1337.21607821061,3
"66",0.9,1759.98127276167,3
"67",0.95,2390.77002437615,3
"68",0.975,2975.33302948718,3
"69",0.99,3598.29761054115,3
"70",0.01,25.5208,4
"71",0.025,28.52,4
"72",0.05,33.12,4
"73",0.1,40.48,4
"74",0.15,61.602747216,4
"75",0.2,73.58713551,4
"76",0.25,128.3571929421,4
"77",0.3,249.595028402253,4
"78",0.35,332.915369834371,4
"79",0.4,468.43631266537,4
"80",0.45,545.66917397044,4
"81",0.5,629.601126569255,4
"82",0.55,717.417187288263,4
"83",0.6,834.19448018742,4
"84",0.65,933.27080538752,4
"85",0.7,1046.07050805793,4
"86",0.75,1141.21129633704,4
"87",0.8,1381.90382236403,4
"88",0.85,1743.56708855736,4
"89",0.9,2301.97004949934,4
"90",0.95,3116.65830293825,4
