"","quantile","value","horizon"
"1",0.01,24.9810932749293,1
"2",0.025,26.409500967941,1
"3",0.05,28.2601776334048,1
"4",0.1,32.0585908381171,1
"5",0.15,36.3342249497571,1
"6",0.2,81.5091033227128,1
"7",0.25,88.128025477707,1
"8",0.3,97.9705882352941,1
"9",0.35,106.564328231846,1
"10",0.4,107.414741982997,1
"11",0.45,120.971100917431,1
"12",0.5,145.935417019117,1
"13",0.55,161.059647614955,1
"14",0.6,203.955761245675,1
"15",0.65,225.051408154687,1
"16",0.7,497.726070923323,1
"17",0.75,585.587305398947,1
"18",0.8,611.874698795181,1
"19",0.85,625.763484358145,1
"20",0.9,637.797368421053,1
"21",0.95,663.027742625849,1
"22",0.975,707,1
"23",0.99,768.065,1
"24",0.01,16.4182712184456,2
"25",0.025,17.442764112008,2
"26",0.05,18.7328818390747,2
"27",0.1,21.2684158362698,2
"28",0.15,24.2062715815839,2
"29",0.2,104.403520871143,2
"30",0.25,106.771071768961,2
"31",0.3,107.634942763972,2
"32",0.35,121.74320996225,2
"33",0.4,140.806808283029,2
"34",0.45,193.503543968184,2
"35",0.5,229.698048687132,2
"36",0.55,520.15,2
"37",0.6,600.4,2
"38",0.65,669.316222334004,2
"39",0.7,702.555939524838,2
"40",0.75,725.428865979381,2
"41",0.8,743.986428982174,2
"42",0.85,1068.75,2
"43",0.9,1113.65,2
"44",0.95,1143.5,2
"45",0.975,1156.3625,2
"46",0.99,1173.57,2
"47",0.01,11.8807867600803,3
"48",0.025,13.1245974964758,3
"49",0.05,14.0520596642977,3
"50",0.1,16.7884694101416,3
"51",0.15,19.4973341705947,3
"52",0.2,75.9272083035075,3
"53",0.25,106.396448148105,3
"54",0.3,108.071083045718,3
"55",0.35,111.766025159812,3
"56",0.4,149.112334710643,3
"57",0.45,210.90084644383,3
"58",0.5,393.438030336289,3
"59",0.55,547.758848452413,3
"60",0.6,611.02959566207,3
"61",0.65,684.984079401986,3
"62",0.7,827.244068988509,3
"63",0.75,855.795251575518,3
"64",0.8,882.073903459664,3
"65",0.85,1330.975,3
"66",0.9,1396,3
"67",0.95,1427.15,3
"68",0.975,1450.3625,3
"69",0.99,1469.165,3
"70",0.01,0.591,4
"71",0.025,9.50534995202198,4
"72",0.05,11.0273687408091,4
"73",0.1,13.5918028904146,4
"74",0.15,16.9970137963974,4
"75",0.2,44.3800000000001,4
"76",0.25,95.2603771083059,4
"77",0.3,109.244495729726,4
"78",0.35,113.149825499367,4
"79",0.4,170.158168102333,4
"80",0.45,206.403002384486,4
"81",0.5,530.935534118866,4
"82",0.55,607.00985441263,4
"83",0.6,674.860510344365,4
"84",0.65,921.514601482501,4
"85",0.7,1125.3891214208,4
"86",0.75,1159.58259691613,4
"87",0.8,1224.64292600555,4
"88",0.85,1463.63360433905,4
"89",0.9,1499.15343224741,4
"90",0.95,1529.28184987513,4
"91",0.975,1647.81396726779,4
"92",0.99,3036.518,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,5.34000000000001,5
"96",0.1,10.9385279751968,5
"97",0.15,15.9784993558778,5
"98",0.2,19.9351120110737,5
"99",0.25,96.8531580185351,5
"100",0.3,111.959385862433,5
"101",0.35,119.246665933364,5
"102",0.4,179.678178388281,5
"103",0.45,267.759833333304,5
"104",0.5,546.362876426422,5
"105",0.55,623.585710347869,5
"106",0.6,698.376433509557,5
"107",0.65,1414.01903137665,5
"108",0.7,1461.79244546988,5
"109",0.75,1490.8484314291,5
"110",0.8,1533.8850966532,5
"111",0.85,1606.6536829213,5
"112",0.9,1681.48459940437,5
"113",0.95,1817.97953556025,5
"114",0.975,5166.4075,5
"115",0.99,10243.643,5
"116",0.01,0,6
"117",0.025,0,6
"118",0.05,1.77000000000001,6
"119",0.1,10.042737569265,6
"120",0.15,17.2561867516367,6
"121",0.2,22.7591847146403,6
"122",0.25,108.624662434893,6
"123",0.3,119.955700843041,6
"124",0.35,136.5032898834,6
"125",0.4,242.699186546484,6
"126",0.45,393.280953125,6
"127",0.5,549.582554827196,6
"128",0.55,625.495451006851,6
"129",0.6,708.28000712308,6
"130",0.65,1424.58631573394,6
"131",0.7,1459.50441639986,6
"132",0.75,1493.43317633068,6
"133",0.8,2150.12844757544,6
"134",0.85,2311.83761954453,6
"135",0.9,2430.47555180843,6
"136",0.95,3496.135,6
"137",0.975,9904.915,6
"138",0.99,19529.6465,6
"139",0.01,0,7
"140",0.025,0.2,7
"141",0.05,8.19001205843335,7
"142",0.1,13.9924557892151,7
"143",0.15,23.2364263480707,7
