"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,14.31936406,1
"6",0.2,14.57880966,1
"7",0.25,61.9267343432505,1
"8",0.3,115.28,1
"9",0.35,127.564,1
"10",0.4,184.19983028815,1
"11",0.45,221.600436882538,1
"12",0.5,276.991570781333,1
"13",0.55,502.648587248073,1
"14",0.6,586.221205330604,1
"15",0.65,707.009240374035,1
"16",0.7,827.178733178143,1
"17",0.75,919.589647971998,1
"18",0.8,987.418327804293,1
"19",0.85,1090.44298952832,1
"20",0.9,1201.02072630662,1
"21",0.95,1337.49032289304,1
"22",0.975,1534.01677142045,1
"23",0.99,1757.28905254883,1
"24",0.01,1.59466666666667,2
"25",0.025,2.76,2
"26",0.05,3.68,2
"27",0.1,6.44,2
"28",0.15,13.106666814,2
"29",0.2,14.431545456,2
"30",0.25,63.8321037990005,2
"31",0.3,121.662,2
"32",0.35,143.532,2
"33",0.4,283.424639122826,2
"34",0.45,358.960521800035,2
"35",0.5,410.467634701889,2
"36",0.55,475.890288109796,2
"37",0.6,574.068848254972,2
"38",0.65,690.786530294519,2
"39",0.7,785.624614843827,2
"40",0.75,898.513703600837,2
"41",0.8,1029.57651561432,2
"42",0.85,1173.53035776361,2
"43",0.9,1324.52472661008,2
"44",0.95,1556.54049375789,2
"45",0.975,1734.66076624511,2
"46",0.99,2016.00185083678,2
"47",0.01,9.384,3
"48",0.025,11.776,3
"49",0.05,12.5733333333333,3
"50",0.1,16.744,3
"51",0.15,22.653496268,3
"52",0.2,27.429993908,3
"53",0.25,75.9625843225504,3
"54",0.3,132.492,3
"55",0.35,164.105964679925,3
"56",0.4,417.11096380627,3
"57",0.45,484.193405731851,3
"58",0.5,554.940333855349,3
"59",0.55,615.663452478121,3
"60",0.6,688.772562985397,3
"61",0.65,748.415287967868,3
"62",0.7,827.588757039005,3
"63",0.75,965.686114694156,3
"64",0.8,1119.33155603144,3
"65",0.85,1301.49341833005,3
"66",0.9,1526.53278822048,3
"67",0.95,1943.25768952178,3
"68",0.975,2364.24419501101,3
"69",0.99,2854.50686783745,3
"70",0.01,25.5208,4
"71",0.025,28.52,4
"72",0.05,30.9766214280639,4
"73",0.1,35.3359180936456,4
"74",0.15,42.5874840107629,4
"75",0.2,54.266936308,4
"76",0.25,103.0596834457,4
"77",0.3,150.368,4
"78",0.35,215.272,4
"79",0.4,459.342463032214,4
"80",0.45,567.49893628065,4
"81",0.5,691.809079489328,4
"82",0.55,767.645720381653,4
"83",0.6,868.297740375721,4
"84",0.65,981.868776494392,4
"85",0.7,1108.20261111079,4
"86",0.75,1231.36865373808,4
"87",0.8,1362.08247625957,4
"88",0.85,1576.24291078092,4
"89",0.9,1915.11102953485,4
"90",0.95,2609.83302469159,4
