"","quantile","value","horizon"
"1",0.01,11.9146056136296,1
"2",0.025,12.5804474225653,1
"3",0.05,13.4133640255177,1
"4",0.1,14.8985804666903,1
"5",0.15,18.1472501657326,1
"6",0.2,81.8274596847255,1
"7",0.25,88.7519430051813,1
"8",0.3,99.0395077720207,1
"9",0.35,107.348929195804,1
"10",0.4,109.100475930575,1
"11",0.45,112.448151296218,1
"12",0.5,153.982617426821,1
"13",0.55,166.764213265126,1
"14",0.6,173.702932628798,1
"15",0.65,187.261670196944,1
"16",0.7,501.902086456239,1
"17",0.75,527.558853298409,1
"18",0.8,540.205308590077,1
"19",0.85,555.773768206233,1
"20",0.9,585.395822793464,1
"21",0.95,646.125,1
"22",0.975,701.6875,1
"23",0.99,762.795,1
"24",0.01,6.18926677810104,2
"25",0.025,6.80637766842756,2
"26",0.05,7.17187622971487,2
"27",0.1,8.00830930481271,2
"28",0.15,9.96407246991139,2
"29",0.2,107.117653137172,2
"30",0.25,108.967896945261,2
"31",0.3,111.434054058661,2
"32",0.35,119.89549568803,2
"33",0.4,148.408575979611,2
"34",0.45,163.727537599528,2
"35",0.5,202.766774001193,2
"36",0.55,498.888310473815,2
"37",0.6,533.349592021759,2
"38",0.65,550.333716885202,2
"39",0.7,564.850606264736,2
"40",0.75,597.166840336392,2
"41",0.8,677.6,2
"42",0.85,1068.975,2
"43",0.9,1119,2
"44",0.95,1144,2
"45",0.975,1160.05,2
"46",0.99,1173.405,2
"47",0.01,3.73294593913617,3
"48",0.025,3.91373846078399,3
"49",0.05,4.33751314383723,3
"50",0.1,5.07872299987496,3
"51",0.15,6.34889576684818,3
"52",0.2,88.5039969027171,3
"53",0.25,108.740396806779,3
"54",0.3,112.475606260458,3
"55",0.35,116.952105111484,3
"56",0.4,124.160898137015,3
"57",0.45,147.986409266409,3
"58",0.5,257.668702785197,3
"59",0.55,521.386048726491,3
"60",0.6,579.471440187778,3
"61",0.65,596.668390022802,3
"62",0.7,611.365316506929,3
"63",0.75,631.614757633344,3
"64",0.8,662.79481785728,3
"65",0.85,1343.975,3
"66",0.9,1392.65,3
"67",0.95,1424.825,3
"68",0.975,1445,3
"69",0.99,1461.365,3
"70",0.01,0.24,4
"71",0.025,2.52915206502816,4
"72",0.05,2.8865361530557,4
"73",0.1,3.69398074533529,4
"74",0.15,4.56409728107179,4
"75",0.2,44.3000000000001,4
"76",0.25,105.993260143198,4
"77",0.3,110.621337902886,4
"78",0.35,117.203083373688,4
"79",0.4,124.992897354641,4
"80",0.45,149.151742306542,4
"81",0.5,437.597545238164,4
"82",0.55,549.709951120539,4
"83",0.6,622.736930792991,4
"84",0.65,689.086155081387,4
"85",0.7,724.700454592743,4
"86",0.75,750.317631656392,4
"87",0.8,778.202039876052,4
"88",0.85,1450.67582423279,4
"89",0.9,1493.945602352,4
"90",0.95,1523.72015128583,4
"91",0.975,1543.5301674614,4
"92",0.99,1902.92174767207,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,1.77539053750157,5
"96",0.1,2.56392204524803,5
"97",0.15,3.58572744203294,5
"98",0.2,5.13880116055111,5
"99",0.25,92.1368199699547,5
"100",0.3,113.599314199655,5
"101",0.35,124.009130748886,5
"102",0.4,135.900069822625,5
"103",0.45,176.15701202739,5
"104",0.5,500.366705757737,5
"105",0.55,602.17514951975,5
"106",0.6,675.817365365332,5
"107",0.65,846.583552719837,5
"108",0.7,947.472125818462,5
"109",0.75,979.630009357121,5
"110",0.8,1051.55935530747,5
"111",0.85,1429.06684070535,5
"112",0.9,1471.62909163267,5
"113",0.95,1504.05234227365,5
"114",0.975,1542.03771489099,5
"115",0.99,5003.29999999999,5
"116",0.01,0,6
"117",0.025,0,6
"118",0.05,0.535000000000004,6
"119",0.1,2.2400611441621,6
"120",0.15,3.54857332257497,6
"121",0.2,4.77239700677535,6
"122",0.25,89.3590346307079,6
"123",0.3,120.784506607173,6
"124",0.35,140.030749054008,6
"125",0.4,159.11390367933,6
"126",0.45,240.578267782427,6
"127",0.5,530.282492454507,6
"128",0.55,612.338424098975,6
"129",0.6,683.863489055705,6
"130",0.65,1102.3038338646,6
"131",0.7,1233.32613883161,6
"132",0.75,1281.42645521507,6
"133",0.8,1380.41397041486,6
"134",0.85,1443.17189188494,6
"135",0.9,1475.63344269879,6
"136",0.95,1525.5944615816,6
"137",0.975,2925.1275,6
"138",0.99,11344.3735,6
"139",0.01,0,7
"140",0.025,0.05,7
"141",0.05,1.48722089027954,7
"142",0.1,2.66650318869441,7
"143",0.15,4.73519432480197,7
"144",0.2,7.80500370435125,7
"145",0.25,117.94781475623,7
"146",0.3,143.585899998235,7
"147",0.35,170.193964928512,7
"148",0.4,207.831797313179,7
"149",0.45,489.846673383654,7
"150",0.5,579.260410447761,7
"151",0.55,639.386380737397,7
"152",0.6,726.330236620613,7
"153",0.65,1462.87979840595,7
"154",0.7,1594.75838192112,7
"155",0.75,1625.20579265125,7
"156",0.8,1647.55280736842,7
"157",0.85,1668.06261431178,7
"158",0.9,1702.47853350602,7
"159",0.95,1968.17026628141,7
"160",0.975,6707.7875,7
"161",0.99,15004.3225,7
"162",0.01,0.351,8
"163",0.025,1.3295927900966,8
"164",0.05,2.10981064069902,8
"165",0.1,4.51761122104062,8
"166",0.15,7.27721756966008,8
"167",0.2,62.12,8
"168",0.25,136.812236103953,8
"169",0.3,180.986054112518,8
"170",0.35,235.915753450003,8
"171",0.4,322.537940393863,8
"172",0.45,524.778581194703,8
"173",0.5,603.519772701472,8
"174",0.55,671.563534348225,8
"175",0.6,1131.3,8
"176",0.65,1846.0636821461,8
"177",0.7,1882.93134400862,8
"178",0.75,1911.78379884612,8
"179",0.8,1971.14410552741,8
"180",0.85,2073.61178404326,8
"181",0.9,2211.70241258741,8
"182",0.95,3787.06999999998,8
"183",0.975,9157.47125,8
"184",0.99,16031.218,8
"185",0.01,1.19296327774292,9
"186",0.025,1.79783723216147,9
"187",0.05,3.6095416740067,9
"188",0.1,7.75686802797845,9
"189",0.15,13.810134127609,9
"190",0.2,135.608569009314,9
"191",0.25,174.350937245009,9
"192",0.3,245.426405819186,9
"193",0.35,333.13621930298,9
"194",0.4,513.959360572189,9
"195",0.45,590.816062941846,9
"196",0.5,644.283363507338,9
"197",0.55,736.379979303837,9
"198",0.6,2260.76867799374,9
"199",0.65,2557.53718681915,9
"200",0.7,2714.944660567,9
"201",0.75,2876.80779972065,9
"202",0.8,2995.18114169445,9
"203",0.85,3064.40614364185,9
"204",0.9,3159.21658193025,9
"205",0.95,7115.52749999999,9
"206",0.975,12091.3125,9
"207",0.99,23557.0685,9
"208",0.01,1.74684817244597,10
"209",0.025,2.55477184720974,10
"210",0.05,6.80624798779445,10
"211",0.1,14.2277964376543,10
"212",0.15,31.2350202352787,10
"213",0.2,161.969301119711,10
"214",0.25,245.145583604777,10
"215",0.3,325.930898315421,10
"216",0.35,454.851002388124,10
"217",0.4,605.438847301717,10
"218",0.45,692.653710425574,10
"219",0.5,768.571932479654,10
"220",0.55,1022.89184739018,10
"221",0.6,2998.36694511899,10
"222",0.65,3218.19776532883,10
"223",0.7,3428.14963603197,10
"224",0.75,4186.32406155383,10
"225",0.8,4404.15610888137,10
"226",0.85,4518.36241756926,10
"227",0.9,4715.91461391772,10
"228",0.95,12762.415,10
"229",0.975,19023.41375,10
"230",0.99,28989.915,10
"231",0.01,2.36792648298463,11
"232",0.025,5.27436190021091,11
"233",0.05,14.2307576950444,11
"234",0.1,34.0096588429492,11
"235",0.15,77.9203633584876,11
"236",0.2,204.887695118366,11
"237",0.25,311.697193187617,11
"238",0.3,475.033934164216,11
"239",0.35,637.635625527168,11
"240",0.4,760.064127602325,11
"241",0.45,866.26058059908,11
"242",0.5,1006.99504658145,11
"243",0.55,1622.45282680223,11
"244",0.6,3717.28149151247,11
"245",0.65,3997.19496773203,11
"246",0.7,4257.22325757576,11
"247",0.75,6145.38841626499,11
"248",0.8,6321.24032580561,11
"249",0.85,6484.52688040686,11
"250",0.9,7824.37500000002,11
"251",0.95,19274.07,11
"252",0.975,28120.685,11
"253",0.99,40218.475,11
"254",0.01,3.77858730631378,12
"255",0.025,16.1180022965461,12
"256",0.05,32.5936428911439,12
"257",0.1,97.126393628783,12
"258",0.15,214.441715540325,12
"259",0.2,319.605876029743,12
"260",0.25,499.996753154567,12
"261",0.3,720.767108626176,12
"262",0.35,917.524573576836,12
"263",0.4,1053.08882977415,12
"264",0.45,1185.7776674949,12
"265",0.5,1434.68659035736,12
"266",0.55,2776.05181623232,12
"267",0.6,4405.71152071144,12
"268",0.65,4729.04877903871,12
"269",0.7,5138.47262703076,12
"270",0.75,8750.69936047538,12
"271",0.8,9004.66106734057,12
"272",0.85,9275.41883825882,12
"273",0.9,10978.185,12
"274",0.95,21790.9875,12
"275",0.975,32453.77125,12
"276",0.99,44303.016,12
"277",0.01,11.0594343252222,13
"278",0.025,50.6902635585392,13
"279",0.05,93.5976051437023,13
"280",0.1,253.83570632558,13
"281",0.15,411.467483200276,13
"282",0.2,616.692629670703,13
"283",0.25,908.773714682679,13
"284",0.3,1152.68617191824,13
"285",0.35,1322.19786039077,13
"286",0.4,1504.5792478037,13
"287",0.45,1760.12900507148,13
"288",0.5,2335.50207611792,13
"289",0.55,4247.58724902896,13
"290",0.6,5190.32349014436,13
"291",0.65,5582.54454848567,13
"292",0.7,6176.22238079432,13
"293",0.75,11726.5777796912,13
"294",0.8,12227.8913487345,13
"295",0.85,12617.0676897637,13
"296",0.9,13872.9110740922,13
"297",0.95,23464.2775,13
"298",0.975,33115.21875,13
"299",0.99,45518.064,13
"300",0.01,57.8122864703029,14
"301",0.025,149.019665703306,14
"302",0.05,322.995256630211,14
"303",0.1,504.847994070155,14
"304",0.15,768.417040865258,14
"305",0.2,1171.5220594608,14
"306",0.25,1509.33501580824,14
"307",0.3,1754.9591916478,14
"308",0.35,2004.23565020745,14
"309",0.4,2278.42470673552,14
"310",0.45,2808.89023712331,14
"311",0.5,3907.09250762134,14
"312",0.55,5623.11079690119,14
"313",0.6,6073.56421743365,14
"314",0.65,6554.72904285535,14
"315",0.7,7420.77726993021,14
"316",0.75,12504.61,14
"317",0.8,15676.5799957284,14
"318",0.85,16176.8922477851,14
"319",0.9,17091.5238687957,14
