"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,15.976580806,1
"6",0.2,16.300661056,1
"7",0.25,64.4451632280505,1
"8",0.3,136.031689767352,1
"9",0.35,159.08991313435,1
"10",0.4,193.581446693364,1
"11",0.45,225.406660493191,1
"12",0.5,378.933416273664,1
"13",0.55,517.523876709257,1
"14",0.6,637.201873994212,1
"15",0.65,726.661578862994,1
"16",0.7,829.559782872493,1
"17",0.75,921.868237716413,1
"18",0.8,1005.33218701711,1
"19",0.85,1069.70500085347,1
"20",0.9,1210.36252990049,1
"21",0.95,2382.74773970979,1
"22",0.975,3026.76839545795,1
"23",0.99,3527.87965477255,1
"24",0.01,2.898,2
"25",0.025,3.45,2
"26",0.05,4.37,2
"27",0.1,7.01500000000001,2
"28",0.15,17.953486652,2
"29",0.2,19.859797786,2
"30",0.25,69.4124357022005,2
"31",0.3,163.150223435149,2
"32",0.35,219.01178509599,2
"33",0.4,294.579881353385,2
"34",0.45,357.977601582029,2
"35",0.5,432.919349149401,2
"36",0.55,553.287545470015,2
"37",0.6,631.177961936946,2
"38",0.65,681.705096157353,2
"39",0.7,780.234430443036,2
"40",0.75,885.503776187953,2
"41",0.8,1021.41323705555,2
"42",0.85,1179.29286745689,2
"43",0.9,1358.94273498315,2
"44",0.95,2535.62033236503,2
"45",0.975,3203.06752316088,2
"46",0.99,3746.01986572207,2
"47",0.01,7.8936,3
"48",0.025,9.66,3
"49",0.05,12.512,3
"50",0.1,16.56,3
"51",0.15,31.885858254,3
"52",0.2,38.223204872,3
"53",0.25,85.5427154698004,3
"54",0.3,199.156414619359,3
"55",0.35,310.031422331028,3
"56",0.4,388.857828394808,3
"57",0.45,483.459833243477,3
"58",0.5,560.174340117,3
"59",0.55,609.669562795644,3
"60",0.6,655.638993281548,3
"61",0.65,738.538056988583,3
"62",0.7,847.086934170886,3
"63",0.75,942.199178073848,3
"64",0.8,1101.37646541125,3
"65",0.85,1344.50226208519,3
"66",0.9,1762.16633506388,3
"67",0.95,2861.12883530621,3
"68",0.975,3485.27398429705,3
"69",0.99,4052.26134089042,3
"70",0.01,24.9688,4
"71",0.025,27.416,4
"72",0.05,31.832,4
"73",0.1,40.664,4
"74",0.15,57.715139538,4
"75",0.2,73.811928964,4
"76",0.25,118.24414826485,4
"77",0.3,263.413720217313,4
"78",0.35,405.791304317436,4
"79",0.4,503.697594490784,4
"80",0.45,572.699887523935,4
"81",0.5,638.109988218822,4
"82",0.55,721.07765945264,4
"83",0.6,814.118923699014,4
"84",0.65,895.743163839415,4
"85",0.7,1021.76929604569,4
"86",0.75,1142.67241189413,4
"87",0.8,1367.45921176125,4
"88",0.85,1752.93184404159,4
"89",0.9,2525.20550196947,4
"90",0.95,3380.18843042128,4
