"","quantile","value","horizon"
"1",0.01,25.0701902809888,1
"2",0.025,26.4749483253926,1
"3",0.05,28.3389114020991,1
"4",0.1,32.1443028839643,1
"5",0.15,36.6067771322797,1
"6",0.2,82.7842428601031,1
"7",0.25,89.5126948798838,1
"8",0.3,100.71842050732,1
"9",0.35,106.664955576126,1
"10",0.4,107.622708889602,1
"11",0.45,123.680364952038,1
"12",0.5,147.399497665086,1
"13",0.55,199.168320784693,1
"14",0.6,211.811715542522,1
"15",0.65,388.465,1
"16",0.7,534.508320726173,1
"17",0.75,593.28834120721,1
"18",0.8,614.405848613759,1
"19",0.85,627.616983355652,1
"20",0.9,639.967665577017,1
"21",0.95,667.694791611236,1
"22",0.975,701.996046057767,1
"23",0.99,757.421726100151,1
"24",0.01,16.6844853533083,2
"25",0.025,17.6944509548205,2
"26",0.05,18.9990059023496,2
"27",0.1,21.5440942748386,2
"28",0.15,25.0800356658238,2
"29",0.2,106.385407515516,2
"30",0.25,107.142716607182,2
"31",0.3,108.631995839005,2
"32",0.35,127.914542773537,2
"33",0.4,191.495244733091,2
"34",0.45,218.051323365997,2
"35",0.5,316.822236917113,2
"36",0.55,528.413513720681,2
"37",0.6,603.564701479097,2
"38",0.65,666.864300798078,2
"39",0.7,702.603923884479,2
"40",0.75,722.421039405614,2
"41",0.8,741.142299895229,2
"42",0.85,1069.925,2
"43",0.9,1120,2
"44",0.95,1146.65,2
"45",0.975,1159.75,2
"46",0.99,1182.47,2
"47",0.01,12.3825621941999,3
"48",0.025,13.3627743717319,3
"49",0.05,14.4722681656279,3
"50",0.1,16.9957001610399,3
"51",0.15,20.5373604557253,3
"52",0.2,87.4746088193457,3
"53",0.25,107.597302338571,3
"54",0.3,109.549329591491,3
"55",0.35,140.944125541885,3
"56",0.4,183.306000713521,3
"57",0.45,258.207420231934,3
"58",0.5,426.339124845172,3
"59",0.55,548.196059857897,3
"60",0.6,612.030108977973,3
"61",0.65,699.631916693527,3
"62",0.7,829.794717598198,3
"63",0.75,853.552497224082,3
"64",0.8,888.686908277177,3
"65",0.85,1334.85,3
"66",0.9,1393,3
"67",0.95,1421.8,3
"68",0.975,1443.9125,3
"69",0.99,1463.47,3
"70",0.01,9.41778997026226,4
"71",0.025,10.6312610002403,4
"72",0.05,11.5768183772928,4
"73",0.1,15.1760565721268,4
"74",0.15,18.0226773826905,4
"75",0.2,72.8500620017715,4
"76",0.25,107.313788326291,4
"77",0.3,110.454669158362,4
"78",0.35,124.519033398328,4
"79",0.4,180.135823475768,4
"80",0.45,249.553945379422,4
"81",0.5,535.884778750839,4
"82",0.55,608.855982420824,4
"83",0.6,670.673753219615,4
