"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,14.353717716,1
"6",0.2,14.60309107,1
"7",0.25,61.9918680874005,1
"8",0.3,115.858,1
"9",0.35,134.366,1
"10",0.4,191.327444737258,1
"11",0.45,224.440648236378,1
"12",0.5,283.060562233094,1
"13",0.55,550.147789891246,1
"14",0.6,627.836448665623,1
"15",0.65,726.070936782408,1
"16",0.7,834.644569553208,1
"17",0.75,933.201169847062,1
"18",0.8,1017.90896033311,1
"19",0.85,1114.32897174741,1
"20",0.9,1235.90718927443,1
"21",0.95,1418.27253740709,1
"22",0.975,1758.19436275999,1
"23",0.99,2062.26232291448,1
"24",0.01,2.116,2
"25",0.025,3.06666666666667,2
"26",0.05,4.38533333333334,2
"27",0.1,6.9,2
"28",0.15,13.165600972,2
"29",0.2,14.492961028,2
"30",0.25,64.4879445633005,2
"31",0.3,122.896,2
"32",0.35,152.605159173834,2
"33",0.4,293.798075432484,2
"34",0.45,364.473948577041,2
"35",0.5,416.150553601754,2
"36",0.55,512.972359547069,2
"37",0.6,623.398919048246,2
"38",0.65,702.970898698745,2
"39",0.7,799.783758017121,2
"40",0.75,890.945588020197,2
"41",0.8,1017.21891009064,2
"42",0.85,1170.07293493398,2
"43",0.9,1366.94747182827,2
"44",0.95,1671.21777704216,2
"45",0.975,1923.58831023127,2
"46",0.99,2145.9260198349,2
"47",0.01,9.7336,3
"48",0.025,11.3466666666667,3
"49",0.05,12.88,3
"50",0.1,16.56,3
"51",0.15,22.792774776,3
"52",0.2,27.724886008,3
"53",0.25,78.2794345294004,3
"54",0.3,134.944,3
"55",0.35,194.298,3
"56",0.4,430.841496530518,3
"57",0.45,504.092803840942,3
"58",0.5,580.603670370631,3
"59",0.55,645.105881100713,3
"60",0.6,699.935795771229,3
"61",0.65,764.113405777101,3
"62",0.7,843.771196417541,3
"63",0.75,993.021551285849,3
"64",0.8,1155.76865742152,3
"65",0.85,1352.26828566053,3
"66",0.9,1638.63201648514,3
"67",0.95,2038.15095742027,3
"68",0.975,2449.83131359289,3
"69",0.99,2800.658,3
"70",0.01,24.0488,4
"71",0.025,26.68,4
"72",0.05,30.36,4
"73",0.1,36.3226089139245,4
"74",0.15,42.7881120275994,4
"75",0.2,55.4663142,4
"76",0.25,109.2911294915,4
"77",0.3,155.204,4
"78",0.35,237.39073441503,4
"79",0.4,510.465961573184,4
"80",0.45,631.889744890419,4
"81",0.5,725.270085620313,4
"82",0.55,798.310623010259,4
"83",0.6,898.357707165389,4
"84",0.65,1015.08618222885,4
"85",0.7,1127.16270668157,4
"86",0.75,1230.62657239587,4
"87",0.8,1378.96576002577,4
"88",0.85,1628.23184449042,4
"89",0.9,1948.80447849478,4
"90",0.95,2680.43419637481,4
