"","quantile","value","horizon"
"1",0.01,11.9146056136296,1
"2",0.025,12.5804474225653,1
"3",0.05,13.4133640255177,1
"4",0.1,14.8985804666903,1
"5",0.15,18.1472501657326,1
"6",0.2,82.7,1
"7",0.25,89.7705743392884,1
"8",0.3,102.701388725433,1
"9",0.35,107.707473541063,1
"10",0.4,109.563012775217,1
"11",0.45,115.381784754049,1
"12",0.5,163.319592279613,1
"13",0.55,170.739411517885,1
"14",0.6,181.993439252336,1
"15",0.65,359.5,1
"16",0.7,514.250914122831,1
"17",0.75,530.377693249136,1
"18",0.8,542.812197987257,1
"19",0.85,558.435587696477,1
"20",0.9,598.981138790036,1
"21",0.95,664.359649274361,1
"22",0.975,716.472800879648,1
"23",0.99,767.937216476905,1
"24",0.01,6.24044726291947,2
"25",0.025,6.82178739951602,2
"26",0.05,7.18758446421546,2
"27",0.1,8.02661603375982,2
"28",0.15,10.0454146235092,2
"29",0.2,107.982456199715,2
"30",0.25,110.236136492096,2
"31",0.3,114.744513632236,2
"32",0.35,134.399683631362,2
"33",0.4,155.303961718228,2
"34",0.45,185.391304977376,2
"35",0.5,270.843884892086,2
"36",0.55,507.347496849896,2
"37",0.6,536.807081484178,2
"38",0.65,551.045243060113,2
"39",0.7,566.82786429699,2
"40",0.75,597.961724771417,2
"41",0.8,668.340718904526,2
"42",0.85,1064.975,2
"43",0.9,1117.65,2
"44",0.95,1142.5,2
"45",0.975,1160.05,2
"46",0.99,1179.435,2
"47",0.01,3.77082737702799,3
"48",0.025,3.97445906163076,3
"49",0.05,4.35182061204719,3
"50",0.1,5.1207033583329,3
"51",0.15,6.61654954099867,3
"52",0.2,107.767270046467,3
"53",0.25,110.80164037848,3
"54",0.3,114.776521261803,3
"55",0.35,121.609570420515,3
"56",0.4,136.430019187144,3
"57",0.45,187.803305084746,3
"58",0.5,298.505245792462,3
"59",0.55,541.855640597239,3
"60",0.6,579.641725270024,3
"61",0.65,597.280738920765,3
"62",0.7,611.475609913579,3
"63",0.75,631.526960426751,3
"64",0.8,673.721452409231,3
"65",0.85,1342.975,3
"66",0.9,1394,3
"67",0.95,1429.825,3
"68",0.975,1452,3
"69",0.99,1472.04,3
"70",0.01,2.49384801955975,4
"71",0.025,2.6842750823969,4
"72",0.05,3.0929392964062,4
"73",0.1,3.91549452928532,4
"74",0.15,5.13113182770934,4
"75",0.2,88.3849727559507,4
"76",0.25,108.842965644604,4
"77",0.3,113.742676571793,4
"78",0.35,120.394698748981,4
"79",0.4,134.832565246605,4
"80",0.45,172.861631554307,4
"81",0.5,485.143519787549,4
"82",0.55,556.919337798292,4
"83",0.6,625.167666372915,4
"84",0.65,694.851931015746,4
"85",0.7,729.576597000318,4
"86",0.75,755.108042427596,4
"87",0.8,778.959046917664,4
"88",0.85,1455.15528688114,4
"89",0.9,1488.98880423235,4
"90",0.95,1516.18695811394,4
"91",0.975,1545.3540551769,4
"92",0.99,1965.64350206369,4
"93",0.01,0,5
"94",0.025,1.82474716110491,5
"95",0.05,2.15828921202645,5
"96",0.1,3.10682832867525,5
"97",0.15,4.08261826921096,5
"98",0.2,20.84,5
"99",0.25,94.5970955638932,5
"100",0.3,116.165345242906,5
"101",0.35,126.56051048739,5
"102",0.4,139.176182620941,5
"103",0.45,183.646292686661,5
"104",0.5,493.559425367905,5
"105",0.55,591.516761134264,5
"106",0.6,672.387778924025,5
"107",0.65,859.039921163775,5
"108",0.7,957.413218092792,5
"109",0.75,992.774019105255,5
"110",0.8,1053.2106856302,5
"111",0.85,1437.24291945762,5
"112",0.9,1474.13182633388,5
"113",0.95,1505.76547696099,5
"114",0.975,1537.14234634289,5
"115",0.99,5256.03299999998,5
"116",0.01,0,6
"117",0.025,0.55,6
"118",0.05,1.6643063967927,6
"119",0.1,2.59912733113619,6
"120",0.15,4.02263451286762,6
"121",0.2,11.96,6
"122",0.25,94.1705965362412,6
"123",0.3,122.898540587145,6
"124",0.35,142.114488528699,6
"125",0.4,165.20177187474,6
"126",0.45,246.330657844237,6
"127",0.5,516.193286686132,6
"128",0.55,596.648324136007,6
"129",0.6,666.097355953857,6
"130",0.65,1148.21102355171,6
"131",0.7,1248.63447962301,6
"132",0.75,1295.83528069455,6
"133",0.8,1398.62049112039,6
"134",0.85,1447.23800453635,6
"135",0.9,1476.44439364471,6
"136",0.95,1527.88205580109,6
"137",0.975,3134.95,6
"138",0.99,12044.552,6
"139",0.01,0.06,7
"140",0.025,1.37439281934743,7
"141",0.05,1.81220578952404,7
"142",0.1,3.44395709826336,7
"143",0.15,5.25920353541488,7
"144",0.2,40.02,7
"145",0.25,123.742691364638,7
"146",0.3,148.741428026859,7
"147",0.35,175.613185536329,7
"148",0.4,223.011467897671,7
"149",0.45,488.479786199041,7
"150",0.5,589.840403912105,7
"151",0.55,646.135171213001,7
"152",0.6,733.39104796427,7
"153",0.65,1503.96307423862,7
"154",0.7,1613.7317316022,7
"155",0.75,1638.84749913397,7
"156",0.8,1658.81650326423,7
"157",0.85,1683.79426085454,7
"158",0.9,1722.90759956497,7
"159",0.95,2087.96126660083,7
"160",0.975,7292.8875,7
"161",0.99,15767.4315,7
"162",0.01,1.15438223205838,8
"163",0.025,1.61890741943767,8
"164",0.05,2.51025536004286,8
"165",0.1,5.6025528081821,8
"166",0.15,8.66796587669015,8
"167",0.2,90.5596533333333,8
"168",0.25,155.209862166295,8
"169",0.3,204.227573220012,8
"170",0.35,259.422876692606,8
"171",0.4,363.899957842752,8
"172",0.45,542.464719765873,8
"173",0.5,611.926873893486,8
"174",0.55,688.320715176483,8
"175",0.6,1266.06,8
"176",0.65,1858.6054859014,8
"177",0.7,1889.4268837561,8
"178",0.75,1929.61504414855,8
"179",0.8,2038.57796324017,8
"180",0.85,2150.64229146568,8
"181",0.9,2277.34785728826,8
"182",0.95,4138.70749999999,8
"183",0.975,10045.27625,8
"184",0.99,17004.2025,8
"185",0.01,1.35445100290315,9
"186",0.025,2.05146644467476,9
"187",0.05,3.96298775235513,9
"188",0.1,8.53550772951036,9
"189",0.15,17.0889317513418,9
"190",0.2,154.99552879491,9
"191",0.25,211.490795529255,9
"192",0.3,285.003063711238,9
"193",0.35,397.799487690289,9
"194",0.4,540.507487153878,9
"195",0.45,597.007488203225,9
"196",0.5,662.603284425747,9
"197",0.55,783.922560132181,9
"198",0.6,2388.01227626459,9
"199",0.65,2684.15756369313,9
"200",0.7,2832.98104075829,9
"201",0.75,2976.99518145534,9
"202",0.8,3047.44653416344,9
"203",0.85,3113.62672170853,9
"204",0.9,3205.81057406134,9
"205",0.95,8044.60499999998,9
"206",0.975,13287.71875,9
"207",0.99,25694.4974999999,9
"208",0.01,1.88015135171762,10
"209",0.025,3.04526445468716,10
"210",0.05,7.33383556069178,10
"211",0.1,15.2412823182841,10
"212",0.15,51.7398564208205,10
"213",0.2,193.832698867335,10
"214",0.25,302.017787869319,10
"215",0.3,384.585275872204,10
"216",0.35,521.161898904335,10
"217",0.4,626.504196901411,10
"218",0.45,700.628958065938,10
"219",0.5,792.066507553023,10
"220",0.55,1114.49293696291,10
"221",0.6,3197.35876648483,10
"222",0.65,3421.28089519914,10
"223",0.7,3644.06213003629,10
"224",0.75,4274.40316572744,10
"225",0.8,4470.66498402023,10
"226",0.85,4574.49332103321,10
"227",0.9,5022.01500000002,10
"228",0.95,14202.8025,10
"229",0.975,21438.43125,10
"230",0.99,31320.9895,10
"231",0.01,2.93991434057626,11
"232",0.025,6.0988029442352,11
"233",0.05,18.9664350358847,11
"234",0.1,49.0196285288798,11
"235",0.15,126.193445067433,11
"236",0.2,252.483321952456,11
"237",0.25,388.109165323632,11
"238",0.3,552.283022012036,11
"239",0.35,702.827748349611,11
"240",0.4,794.473787246227,11
"241",0.45,899.346831581615,11
"242",0.5,1039.55406129675,11
"243",0.55,1791.37764628844,11
"244",0.6,4032.26752823832,11
"245",0.65,4313.50696235153,11
"246",0.7,4693.32876228381,11
"247",0.75,6255.09580463049,11
"248",0.8,6433.37044725458,11
"249",0.85,6604.04942254538,11
"250",0.9,9034.17500000002,11
"251",0.95,20744.725,11
"252",0.975,31482.4775,11
"253",0.99,43893,11
"254",0.01,6.71418190363705,12
"255",0.025,20.8068460568341,12
"256",0.05,39.7463072522021,12
"257",0.1,148.587957001151,12
"258",0.15,274.132160481797,12
"259",0.2,401.581359606339,12
"260",0.25,592.137479356195,12
"261",0.3,805.831299230137,12
"262",0.35,959.52860410127,12
"263",0.4,1100.4102570465,12
"264",0.45,1241.85653351374,12
"265",0.5,1499.36631025957,12
"266",0.55,3007.91636230124,12
"267",0.6,4901.98167953694,12
"268",0.65,5282.63733022146,12
"269",0.7,5755.96811277299,12
"270",0.75,8985.78848396681,12
"271",0.8,9276.60625452082,12
"272",0.85,9543.58062573116,12
"273",0.9,12007.955,12
"274",0.95,24122.2075,12
"275",0.975,36131.55625,12
"276",0.99,48241.316,12
"277",0.01,20.4548162782732,13
"278",0.025,77.4431775328425,13
"279",0.05,128.434607631669,13
"280",0.1,342.442474516952,13
"281",0.15,515.232887472098,13
"282",0.2,736.339086026339,13
"283",0.25,1027.50130445144,13
"284",0.3,1246.62923291209,13
"285",0.35,1417.00425570743,13
"286",0.4,1591.87111941723,13
"287",0.45,1840.08318059813,13
"288",0.5,2519.62829432786,13
"289",0.55,4771.27807911767,13
"290",0.6,5852.69952918077,13
"291",0.65,6270.84050615215,13
"292",0.7,6945.58071567892,13
"293",0.75,12246.0331161022,13
"294",0.8,12748.4537239572,13
"295",0.85,13124.1537067135,13
"296",0.9,14582.4223545163,13
"297",0.95,25943.3675,13
"298",0.975,35411.0925,13
"299",0.99,46974.714,13
"300",0.01,83.8300109770261,14
"301",0.025,245.101049979911,14
"302",0.05,418.595786740962,14
"303",0.1,631.26328897546,14
"304",0.15,962.053354633724,14
"305",0.2,1373.08231106238,14
"306",0.25,1670.47788191133,14
"307",0.3,1875.02843799218,14
"308",0.35,2145.8648070815,14
"309",0.4,2394.24394298138,14
"310",0.45,2980.68569466038,14
"311",0.5,4280.85632252568,14
"312",0.55,6235.13618913505,14
"313",0.6,6945.15876501677,14
"314",0.65,7468.91497693778,14
"315",0.7,8373.45509181972,14
"316",0.75,13927.6175,14
"317",0.8,16491.9302908145,14
