"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,16.062703324,1
"6",0.2,16.328605182,1
"7",0.25,64.6697665044505,1
"8",0.3,132.517991942202,1
"9",0.35,147.859356419774,1
"10",0.4,179.012851179623,1
"11",0.45,211.648735663853,1
"12",0.5,287.073361343268,1
"13",0.55,470,1
"14",0.6,638.222140760804,1
"15",0.65,700.350140591473,1
"16",0.7,866.58023527989,1
"17",0.75,944.843145716398,1
"18",0.8,1028.31905892266,1
"19",0.85,1101.34713866045,1
"20",0.9,1244.27344086899,1
"21",0.95,2678.95280935577,1
"22",0.975,3426.98667918084,1
"23",0.99,4074.53467006765,1
"24",0.01,2.7416,2
"25",0.025,3.22,2
"26",0.05,4.29333333333333,2
"27",0.1,6.74666666666667,2
"28",0.15,18.250842568,2
"29",0.2,20.226343184,2
"30",0.25,70.0488666317505,2
"31",0.3,154.42,2
"32",0.35,200.718385153568,2
"33",0.4,260.275410906932,2
"34",0.45,331.582616863246,2
"35",0.5,387.0677110234,2
"36",0.55,513.386425408447,2
"37",0.6,660.558558406767,2
"38",0.65,723.284584250421,2
"39",0.7,835.234837680041,2
"40",0.75,966.738592301794,2
"41",0.8,1062.63666856831,2
"42",0.85,1216.15291849994,2
"43",0.9,1442.31252062974,2
"44",0.95,2879.97032704496,2
"45",0.975,3671.24402621747,2
"46",0.99,4294.30265841624,2
"47",0.01,7.912,3
"48",0.025,10.12,3
"49",0.05,11.799,3
"50",0.1,15.824,3
"51",0.15,32.582289568,3
"52",0.2,39.008571704,3
"53",0.25,87.1734004197504,3
"54",0.3,186.790536990069,3
"55",0.35,270.667762253529,3
"56",0.4,361.413426871785,3
"57",0.45,439.819224080783,3
"58",0.5,517.020214372849,3
"59",0.55,583.47484293418,3
"60",0.6,656.764960813094,3
"61",0.65,711.707739947547,3
"62",0.7,841.595556376287,3
"63",0.75,998.808045413557,3
"64",0.8,1161.82304359778,3
"65",0.85,1346.15974369957,3
"66",0.9,1819.75297866735,3
"67",0.95,3135.96157195301,3
"68",0.975,4010.12278858768,3
"69",0.99,4599.83248226403,3
"70",0.01,25.3368,4
"71",0.025,28.52,4
"72",0.05,32.752,4
"73",0.1,38.64,4
"74",0.15,59.666203786,4
"75",0.2,76.504800268,4
"76",0.25,121.8194613163,4
"77",0.3,229.045677672864,4
"78",0.35,323.25761530211,4
"79",0.4,439.917631635339,4
"80",0.45,523.128821780886,4
"81",0.5,615.50177218421,4
"82",0.55,692.255132646514,4
"83",0.6,796.444071786607,4
"84",0.65,904.755454483723,4
"85",0.7,1020.94506801464,4
"86",0.75,1120.83620794451,4
"87",0.8,1309.67708646996,4
"88",0.85,1792.06124749146,4
"89",0.9,2518.61,4
"90",0.95,3764.01766403275,4
