"","quantile","value","horizon"
"1",0.01,25.0701902809888,1
"2",0.025,26.4749483253926,1
"3",0.05,28.3389114020991,1
"4",0.1,32.1443028839643,1
"5",0.15,36.6067771322797,1
"6",0.2,82,1
"7",0.25,89.5,1
"8",0.3,103,1
"9",0.35,106.65,1
"10",0.4,107.6,1
"11",0.45,123.9575,1
"12",0.5,147.575,1
"13",0.55,196.213884018204,1
"14",0.6,213.293582522534,1
"15",0.65,522.160784313726,1
"16",0.7,587.248814000728,1
"17",0.75,610.692340587509,1
"18",0.8,623.411277318927,1
"19",0.85,636.251373768163,1
"20",0.9,653.377645883821,1
"21",0.95,724.767611138251,1
"22",0.975,814.416346660913,1
"23",0.99,959.497000000001,1
"24",0.01,16.6844853533083,2
"25",0.025,17.6944509548205,2
"26",0.05,18.9990059023496,2
"27",0.1,21.5440942748386,2
"28",0.15,25.0800356658238,2
"29",0.2,106.476125354281,2
"30",0.25,107.273433511003,2
"31",0.3,109.334819974805,2
"32",0.35,130.359676521245,2
"33",0.4,196.684919454771,2
"34",0.45,244.659012610471,2
"35",0.5,482.879639125697,2
"36",0.55,569.146527005315,2
"37",0.6,624.457622918319,2
"38",0.65,681.42861951555,2
"39",0.7,708.711761217603,2
"40",0.75,727.629207602061,2
"41",0.8,748.711218715361,2
"42",0.85,1070.36983517668,2
"43",0.9,1121.40264677703,2
"44",0.95,1141.14844893086,2
"45",0.975,1160.1799840163,2
"46",0.99,1174.56277553308,2
"47",0.01,12.5682180963333,3
"48",0.025,13.4115479649331,3
"49",0.05,14.5603413760962,3
"50",0.1,17.0870204660215,3
"51",0.15,21.1187782683944,3
"52",0.2,101.935150549731,3
"53",0.25,107.917814057779,3
"54",0.3,110.669962620469,3
"55",0.35,149.778606070725,3
"56",0.4,217.502272561579,3
"57",0.45,353.441034292035,3
"58",0.5,488.80674423239,3
"59",0.55,570.395241198957,3
"60",0.6,632.610655033687,3
"61",0.65,728.058777453678,3
"62",0.7,832.986917786452,3
"63",0.75,862.105913834401,3
"64",0.8,885.602493980196,3
"65",0.85,1348.975,3
"66",0.9,1395,3
"67",0.95,1427.475,3
"68",0.975,1449.1125,3
"69",0.99,1478,3
"70",0.01,10.3030914760613,4
"71",0.025,10.9170934398864,4
"72",0.05,11.9352227944533,4
"73",0.1,15.6653950857418,4
"74",0.15,20.1058942752909,4
"75",0.2,96.850515842645,4
"76",0.25,109.154804974791,4
"77",0.3,112.982050937517,4
"78",0.35,166.49999912261,4
"79",0.4,196.520756280368,4
"80",0.45,348.687943984723,4
"81",0.5,548.634100132482,4
"82",0.55,608.384946104917,4
"83",0.6,676.291826541051,4
"84",0.65,1024.87203686926,4
