"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,14.495151394,1
"6",0.2,16.002226398,1
"7",0.25,62.7408422078505,1
"8",0.3,121.29,1
"9",0.35,148.060270704382,1
"10",0.4,187.202186952472,1
"11",0.45,220.873939073672,1
"12",0.5,316.896599003764,1
"13",0.55,507.788475763409,1
"14",0.6,621.00819867683,1
"15",0.65,710.298383334891,1
"16",0.7,840.393526085273,1
"17",0.75,929.338798442346,1
"18",0.8,1008.68465704402,1
"19",0.85,1094.62617500703,1
"20",0.9,1231.0283303572,1
"21",0.95,1607.29632999247,1
"22",0.975,2408.90014467468,1
"23",0.99,3255.82781576424,1
"24",0.01,2.116,2
"25",0.025,3.06666666666667,2
"26",0.05,4.14,2
"27",0.1,6.9,2
"28",0.15,13.884245962,2
"29",0.2,18.19393454,2
"30",0.25,66.5267453776005,2
"31",0.3,132.502,2
"32",0.35,200.440520297964,2
"33",0.4,286.309397096935,2
"34",0.45,355.40528359633,2
"35",0.5,416.874142564533,2
"36",0.55,519.631305577457,2
"37",0.6,618.3366276523,2
"38",0.65,698.2872265187,2
"39",0.7,801.237048305824,2
"40",0.75,899.63785375496,2
"41",0.8,1034.07236487148,2
"42",0.85,1177.73762809738,2
"43",0.9,1376.03866922361,2
"44",0.95,1798.23108977602,2
"45",0.975,2535.00484654253,2
"46",0.99,3424.29889833199,2
"47",0.01,8.832,3
"48",0.025,10.12,3
"49",0.05,12.42,3
"50",0.1,16.56,3
"51",0.15,25.385972644,3
"52",0.2,34.526476562,3
"53",0.25,81.3739551992503,3
"54",0.3,151.402,3
"55",0.35,263.08672461094,3
"56",0.4,405.576648558155,3
"57",0.45,485.198426499074,3
"58",0.5,558.543711899715,3
"59",0.55,624.233446703897,3
"60",0.6,684.273556818232,3
"61",0.65,754.007351819133,3
"62",0.7,847.759089359909,3
"63",0.75,982.529469260465,3
"64",0.8,1141.88855040403,3
"65",0.85,1342.50903828702,3
"66",0.9,1694.27581129751,3
"67",0.95,2297.88196101666,3
"68",0.975,2955.48298984011,3
"69",0.99,3714.22839818372,3
"70",0.01,25.024,4
"71",0.025,28.52,4
"72",0.05,31.1138814189784,4
"73",0.1,37.5563512702363,4
"74",0.15,48.8755122928167,4
"75",0.2,66.686428454,4
"76",0.25,112.47999308905,4
"77",0.3,182.772,4
"78",0.35,318.451773976018,4
"79",0.4,477.185059675812,4
"80",0.45,575.701823091118,4
"81",0.5,671.622653616692,4
"82",0.55,754.63870698933,4
"83",0.6,851.819190690499,4
"84",0.65,957.50082222528,4
"85",0.7,1074.05861671334,4
"86",0.75,1204.92938722613,4
"87",0.8,1377.53881762693,4
"88",0.85,1695.05738311647,4
"89",0.9,2186.64807466128,4
"90",0.95,3071.20068357516,4
