"","quantile","value","horizon"
"1",0.01,12.3263585574812,1
"2",0.025,13.39925097359,1
"3",0.05,15.0146995755237,1
"4",0.1,27.9562272777866,1
"5",0.15,35.7432998399969,1
"6",0.2,81.7139408924997,1
"7",0.25,89.1256328741316,1
"8",0.3,100.948279214466,1
"9",0.35,106.947652750438,1
"10",0.4,108.847443600344,1
"11",0.45,119.512586275288,1
"12",0.5,150.340890561304,1
"13",0.55,168.999295785742,1
"14",0.6,200.696186677304,1
"15",0.65,362.565000000001,1
"16",0.7,524.079316136256,1
"17",0.75,546.562135948937,1
"18",0.8,580.68543936093,1
"19",0.85,615.083620992915,1
"20",0.9,636.286251763336,1
"21",0.95,678.285884691849,1
"22",0.975,734.154813434416,1
"23",0.99,816.792085640634,1
"24",0.01,6.60872044915857,2
"25",0.025,7.18291461216567,2
"26",0.05,8.02170817102037,2
"27",0.1,18.564348541749,2
"28",0.15,24.0128230389783,2
"29",0.2,106.74533876084,2
"30",0.25,107.980701841527,2
"31",0.3,111.304516228956,2
"32",0.35,126.971621153394,2
"33",0.4,162.793912814665,2
"34",0.45,200.881382034932,2
"35",0.5,307.937784819528,2
"36",0.55,523.491095488475,2
"37",0.6,552.647328438247,2
"38",0.65,586.033938513548,2
"39",0.7,640.76228576645,2
"40",0.75,699.91643498464,2
"41",0.8,735.867697559135,2
"42",0.85,1069.00507057899,2
"43",0.9,1118,2
"44",0.95,1144,2
"45",0.975,1158.6125,2
"46",0.99,1177.1,2
"47",0.01,3.82944512923712,3
"48",0.025,4.34236746144799,3
"49",0.05,5.07601678581959,3
"50",0.1,14.0249115260669,3
"51",0.15,19.2435007125707,3
"52",0.2,93.5423630103296,3
"53",0.25,108.21587289682,3
"54",0.3,112.107873843564,3
"55",0.35,122.658882611018,3
"56",0.4,152.303990034369,3
"57",0.45,235.707960076259,3
"58",0.5,425.440048219678,3
"59",0.55,553.283367286741,3
"60",0.6,590.734305060436,3
"61",0.65,615.357110072325,3
"62",0.7,656.351109206707,3
"63",0.75,757.186536281695,3
"64",0.8,860.574824869304,3
"65",0.85,1338,3
"66",0.9,1395,3
"67",0.95,1426.5,3
"68",0.975,1447.25,3
"69",0.99,1469.5,3
"70",0.01,2.51102047744071,4
"71",0.025,2.9346090021043,4
"72",0.05,3.74682966400334,4
"73",0.1,10.8340742978004,4
"74",0.15,16.7454953626124,4
"75",0.2,76.2437342527516,4
"76",0.25,107.886611067475,4
"77",0.3,111.980801071362,4
"78",0.35,120.980094860879,4
"79",0.4,157.249774468253,4
"80",0.45,210.776019078254,4
"81",0.5,507.410513494969,4
"82",0.55,586.764736499062,4
"83",0.6,648.665709314921,4
"84",0.65,714.126262559591,4
"85",0.7,760.059431280676,4
"86",0.75,1076.85081698683,4
"87",0.8,1190.73691524284,4
"88",0.85,1459.59123448014,4
"89",0.9,1494.53428718102,4
"90",0.95,1526.23143342067,4
"91",0.975,1566.11289832563,4
"92",0.99,2421.85000000003,4
"93",0.01,0,5
"94",0.025,1.61165584806271,5
"95",0.05,2.46383355294258,5
