"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,14.331248702,1
"6",0.2,14.660703016,1
"7",0.25,61.7718586765005,1
"8",0.3,115.782,1
"9",0.35,143.933048008404,1
"10",0.4,190.072769034798,1
"11",0.45,222.793101411144,1
"12",0.5,265.722359807542,1
"13",0.55,519.578473589068,1
"14",0.6,656.405377588351,1
"15",0.65,730.759482837563,1
"16",0.7,842.619498795823,1
"17",0.75,929.614955041351,1
"18",0.8,999.331899178377,1
"19",0.85,1109.3818924383,1
"20",0.9,1239.82103903428,1
"21",0.95,1534.19263836067,1
"22",0.975,1926.17502794994,1
"23",0.99,2394.24402823129,1
"24",0.01,2.116,2
"25",0.025,3.06666666666667,2
"26",0.05,4.14,2
"27",0.1,6.9,2
"28",0.15,12.88954142,2
"29",0.2,15.05990221,2
"30",0.25,63.7453893191005,2
"31",0.3,122.878,2
"32",0.35,186.33,2
"33",0.4,303.305891493153,2
"34",0.45,369.309526775393,2
"35",0.5,421.228680186357,2
"36",0.55,510.794740775869,2
"37",0.6,632.741938676881,2
"38",0.65,699.043593079302,2
"39",0.7,792.578713346213,2
"40",0.75,892.11994458825,2
"41",0.8,1004.52637512079,2
"42",0.85,1173.96784864886,2
"43",0.9,1416.28790265178,2
"44",0.95,1742.76091558701,2
"45",0.975,2070.74615715935,2
"46",0.99,2459.62239421077,2
"47",0.01,9.3288,3
"48",0.025,11.04,3
"49",0.05,12.88,3
"50",0.1,17.48,3
"51",0.15,22.8679964779751,3
"52",0.2,29.226148228,3
"53",0.25,75.6230950784504,3
"54",0.3,135.342,3
"55",0.35,223.965619564711,3
"56",0.4,445.411529599999,3
"57",0.45,524.831173376864,3
"58",0.5,588.446087430205,3
"59",0.55,657.782946260964,3
"60",0.6,708.00385835932,3
"61",0.65,773.704364552784,3
"62",0.7,858.241179843813,3
"63",0.75,1002.48953284973,3
"64",0.8,1165.71347909879,3
"65",0.85,1387.58822459295,3
"66",0.9,1728.29235793073,3
"67",0.95,2156.333212631,3
"68",0.975,2605.90027613476,3
"69",0.99,2887.31056853899,3
"70",0.01,25.944,4
"71",0.025,28.52,4
"72",0.05,31.28,4
"73",0.1,36.2863415902196,4
"74",0.15,42.4288536798956,4
"75",0.2,58.44432599,4
"76",0.25,101.9340535695,4
"77",0.3,156.828,4
"78",0.35,290.168186502157,4
"79",0.4,512.844964092622,4
"80",0.45,630.313629281943,4
"81",0.5,719.206923143454,4
"82",0.55,809.607159691588,4
"83",0.6,899.841319116553,4
"84",0.65,996.456443470423,4
"85",0.7,1122.74896479812,4
"86",0.75,1251.50598664541,4
"87",0.8,1454.01032094973,4
"88",0.85,1723.70267142847,4
"89",0.9,2138.92472829078,4
"90",0.95,2804.94410864673,4
"91",0.975,3384.2,4
