"","quantile","value","horizon"
"1",0.01,11.9146056136296,1
"2",0.025,12.5804474225653,1
"3",0.05,13.4133640255177,1
"4",0.1,14.8985804666903,1
"5",0.15,18.1472501657326,1
"6",0.2,83,1
"7",0.25,91,1
"8",0.3,102.05,1
"9",0.35,107.849122807018,1
"10",0.4,109.666666666667,1
"11",0.45,115.865,1
"12",0.5,163.35,1
"13",0.55,170.5925,1
"14",0.6,182.72,1
"15",0.65,508.755307742722,1
"16",0.7,529.296431504733,1
"17",0.75,541.340447774305,1
"18",0.8,555.633028060513,1
"19",0.85,583.026623970723,1
"20",0.9,636.743363215732,1
"21",0.95,710.91418534627,1
"22",0.975,781.204949989048,1
"23",0.99,922.046000000001,1
"24",0.01,6.24044726291947,2
"25",0.025,6.82178739951602,2
"26",0.05,7.18758446421546,2
"27",0.1,8.02661603375982,2
"28",0.15,10.0454146235092,2
"29",0.2,108.26035934015,2
"30",0.25,110.505968441426,2
"31",0.3,116.725350674984,2
"32",0.35,142.090679624344,2
"33",0.4,164.295310261375,2
"34",0.45,205.830900496337,2
"35",0.5,456.59859935259,2
"36",0.55,527.031530678676,2
"37",0.6,545.540366717575,2
"38",0.65,559.343067603229,2
"39",0.7,574.346334817727,2
"40",0.75,617.406638894399,2
"41",0.8,692.831827414292,2
"42",0.85,1076.99845884944,2
"43",0.9,1121.59628842201,2
"44",0.95,1145.21387605775,2
"45",0.975,1157.45719390707,2
"46",0.99,1178.68933834866,2
"47",0.01,3.77082737702799,3
"48",0.025,3.97445906163076,3
"49",0.05,4.35427652289442,3
"50",0.1,5.13353224828881,3
"51",0.15,6.6971942747939,3
"52",0.2,108.318474283568,3
"53",0.25,111.982894610796,3
"54",0.3,116.256968029507,3
"55",0.35,123.599502279991,3
"56",0.4,147.93906213192,3
"57",0.45,262.751097696467,3
"58",0.5,467.728050023011,3
"59",0.55,560.427785414294,3
"60",0.6,587.565653853764,3
"61",0.65,602.84970876897,3
"62",0.7,617.526174387262,3
"63",0.75,641.640523172155,3
"64",0.8,692.350272236632,3
"65",0.85,1342.925,3
"66",0.9,1398.65,3
"67",0.95,1428.5,3
"68",0.975,1443.75,3
"69",0.99,1463.83,3
"70",0.01,2.52662510934954,4
"71",0.025,2.72270122561355,4
"72",0.05,3.12276919339976,4
"73",0.1,3.96196846808331,4
"74",0.15,5.32378900058714,4
"75",0.2,106.790729086723,4
"76",0.25,110.660153483596,4
"77",0.3,117.33093615326,4
"78",0.35,125.255002050217,4
"79",0.4,148.574511602229,4
"80",0.45,232.690292804722,4
"81",0.5,493.684246184443,4
"82",0.55,557.731905969061,4
"83",0.6,625.902012915466,4
"84",0.65,687.046715214082,4
"85",0.7,735.248946977934,4
"86",0.75,755.280015180787,4
"87",0.8,786.530913994269,4
"88",0.85,1453.06635747539,4
"89",0.9,1487.65472331744,4
"90",0.95,1518.33745616699,4
"91",0.975,1549.77754071849,4
"92",0.99,2032.68902360142,4
"93",0.01,1.73329919515468,5
"94",0.025,1.99751645469148,5
"95",0.05,2.32085886836993,5
"96",0.1,3.47599770718466,5
"97",0.15,4.49112170287551,5
"98",0.2,73.3190524617557,5
"99",0.25,109.252564730487,5
"100",0.3,118.911188318558,5
"101",0.35,129.798858991492,5
"102",0.4,146.723667001661,5
"103",0.45,211.114362614709,5
"104",0.5,504.498468491553,5
"105",0.55,598.223052877548,5
"106",0.6,667.583904219908,5
"107",0.65,856.800497759032,5
"108",0.7,963.866641059004,5
"109",0.75,1000.34775059522,5
"110",0.8,1069.37800019075,5
"111",0.85,1437.03992679939,5
"112",0.9,1474.45616585612,5
"113",0.95,1509.06902347328,5
"114",0.975,1541.97388217212,5
"115",0.99,5568.36599999998,5
"116",0.01,0.351,6
"117",0.025,1.62448277288395,6
"118",0.05,1.94676899266846,6
"119",0.1,3.35469148914026,6
"120",0.15,4.48468172639011,6
"121",0.2,53.1468826932785,6
"122",0.25,105.217282164738,6
"123",0.3,127.525132329736,6
"124",0.35,146.950909583293,6
"125",0.4,176.919870539451,6
"126",0.45,266.202869846213,6
"127",0.5,538.065469168901,6
"128",0.55,608.532581179393,6
"129",0.6,675.388978518323,6
"130",0.65,1167.02968493371,6
"131",0.7,1268.52109864767,6
"132",0.75,1329.66661930268,6
"133",0.8,1408.90790999727,6
"134",0.85,1453.30443963363,6
"135",0.9,1481.26632441802,6
"136",0.95,1546.50357716451,6
"137",0.975,3369.89125,6
"138",0.99,12765.697,6
"139",0.01,1.27638431204149,7
"140",0.025,1.57916976369533,7
"141",0.05,2.17977131390698,7
"142",0.1,4.12972803266102,7
"143",0.15,5.96883469086319,7
"144",0.2,85.3614803798192,7
"145",0.25,132.208121665845,7
"146",0.3,160.685863244303,7
"147",0.35,191.694068854,7
"148",0.4,258.034807470117,7
"149",0.45,501.663983889349,7
"150",0.5,589.040467050801,7
"151",0.55,644.198172460469,7
"152",0.6,748.524972337264,7
"153",0.65,1544.77603789313,7
"154",0.7,1624.03546252147,7
"155",0.75,1654.14839649352,7
"156",0.8,1673.44615210701,7
"157",0.85,1705.4902461207,7
"158",0.9,1748.1442511338,7
"159",0.95,2211.17275442528,7
"160",0.975,7919.43875,7
"161",0.99,16490.4605,7
"162",0.01,1.27242697699068,8
"163",0.025,1.70730556537414,8
"164",0.05,2.68918292834545,8
"165",0.1,5.95616028795482,8
"166",0.15,10.2155417990768,8
"167",0.2,134.68779286455,8
"168",0.25,177.415305876552,8
"169",0.3,227.133587476353,8
"170",0.35,322.649346261628,8
"171",0.4,446.819871704621,8
"172",0.45,560.986624410924,8
"173",0.5,613.128399107566,8
"174",0.55,676.841854347079,8
"175",0.6,1447.53792992627,8
"176",0.65,1865.14106714628,8
"177",0.7,1903.48201630522,8
"178",0.75,1939.2080451181,8
"179",0.8,2126.37870265582,8
"180",0.85,2236.76890700383,8
"181",0.9,2396.64682801988,8
"182",0.95,4488.34499999999,8
"183",0.975,10988.51,8
"184",0.99,18799.836,8
"185",0.01,1.37541489642564,9
"186",0.025,2.05705271392752,9
"187",0.05,4.00563545973229,9
"188",0.1,8.77766193105155,9
"189",0.15,19.9608027721236,9
"190",0.2,174.170974442951,9
"191",0.25,248.869827705223,9
"192",0.3,334.838434761903,9
"193",0.35,485.933377402781,9
"194",0.4,569.559217901984,9
"195",0.45,623.352718940615,9
"196",0.5,699.031586954837,9
"197",0.55,854.536513747771,9
"198",0.6,2525.03222991658,9
"199",0.65,2815.68374977456,9
"200",0.7,2940.87702662259,9
"201",0.75,3031.23675490177,9
"202",0.8,3089.8631767843,9
"203",0.85,3162.51473576138,9
"204",0.9,3302.32111038014,9
"205",0.95,9072.27749999998,9
"206",0.975,14611.2525,9
"207",0.99,26257.7955,9
"208",0.01,1.88751741438039,10
"209",0.025,3.0701969347581,10
"210",0.05,7.40312491758563,10
"211",0.1,15.5975014861699,10
"212",0.15,74.4219084332396,10
"213",0.2,238.216510661614,10
"214",0.25,360.386956498462,10
"215",0.3,458.013290936711,10
"216",0.35,585.374219196955,10
"217",0.4,651.209269005622,10
"218",0.45,729.809419800187,10
"219",0.5,835.327200387909,10
"220",0.55,1315.21353049064,10
"221",0.6,3437.74131827946,10
"222",0.65,3638.86171485226,10
"223",0.7,3938.06259508957,10
"224",0.75,4379.63479583723,10
"225",0.8,4531.61676840302,10
"226",0.85,4653.80002881953,10
"227",0.9,5723.61000000002,10
"228",0.95,15609.74,10
"229",0.975,23625.1575,10
"230",0.99,34361.4915,10
"231",0.01,3.0906685839992,11
"232",0.025,6.652251473831,11
"233",0.05,19.61107578984,11
"234",0.1,53.1452160941345,11
"235",0.15,195.618435949148,11
"236",0.2,320.482243531111,11
"237",0.25,484.174221725206,11
"238",0.3,646.845094584999,11
"239",0.35,756.614255980548,11
"240",0.4,850.028943524609,11
"241",0.45,937.966992968368,11
"242",0.5,1102.33999705038,11
"243",0.55,1918.02447578247,11
"244",0.6,4408.94727729947,11
"245",0.65,4638.02974569077,11
"246",0.7,5110.6465659867,11
"247",0.75,6410.70348442076,11
"248",0.8,6578.65105042405,11
"249",0.85,6753.17418655461,11
"250",0.9,9972.66500000002,11
"251",0.95,22590.975,11
"252",0.975,33790.77875,11
"253",0.99,45216.4015,11
"254",0.01,7.44935037681972,12
"255",0.025,23.3807960752452,12
"256",0.05,47.1153758705832,12
"257",0.1,189.756111842089,12
"258",0.15,339.79740484208,12
"259",0.2,511.899755616348,12
"260",0.25,709.029670558553,12
"261",0.3,894.474362798959,12
"262",0.35,1019.33333968607,12
"263",0.4,1132.35343256804,12
"264",0.45,1272.40547061502,12
"265",0.5,1695.05103417984,12
"266",0.55,3396.2834826801,12
"267",0.6,5464.09228353537,12
"268",0.65,5799.55036411487,12
"269",0.7,6427.56556314649,12
"270",0.75,9284.00856484014,12
"271",0.8,9524.28994751033,12
"272",0.85,9847.98931359321,12
"273",0.9,13257.2,12
"274",0.95,26656.95,12
"275",0.975,37359.9225,12
"276",0.99,47096.448,12
"277",0.01,27.7579940878018,13
"278",0.025,86.4571373659261,13
"279",0.05,150.909962997923,13
"280",0.1,438.435285182577,13
"281",0.15,644.34892036012,13
"282",0.2,906.146586561705,13
"283",0.25,1164.16274175046,13
"284",0.3,1338.35552701399,13
"285",0.35,1496.47784704621,13
"286",0.4,1649.41817912293,13
"287",0.45,1968.89216973769,13
"288",0.5,2796.2776396989,13
"289",0.55,5334.05785755219,13
"290",0.6,6632.60275439995,13
"291",0.65,7085.224974144,13
"292",0.7,7847.06639873526,13
"293",0.75,12805.6840286716,13
"294",0.8,13229.3960800963,13
"295",0.85,13696.2628133705,13
"296",0.9,15387.0048822664,13
"297",0.95,28338.6699999999,13
"298",0.975,35853.17625,13
"299",0.99,49285.3405,13
"300",0.01,112.578497810417,14
"301",0.025,349.290006416043,14
"302",0.05,515.627710652212,14
"303",0.1,834.532630347485,14
"304",0.15,1212.78005788712,14
"305",0.2,1594.9903186814,14
"306",0.25,1834.55603272169,14
"307",0.3,2047.32426835851,14
"308",0.35,2279.04268073866,14
"309",0.4,2567.51915652031,14
"310",0.45,3245.68817636355,14
"311",0.5,4743.77218777395,14
"312",0.55,7017.60758669691,14
"313",0.6,7976.0865222993,14
"314",0.65,8502.65041558392,14
"315",0.7,9489.96179096192,14
"316",0.75,15711.225,14
