"","quantile","value","horizon"
"1",0.01,20.0307104460007,1
"2",0.025,36.1610749147985,1
"3",0.05,42.8761552174486,1
"4",0.1,48.5952327459388,1
"5",0.15,52.3561982148565,1
"6",0.2,56.1171636837742,1
"7",0.25,61.9131530029897,1
"8",0.3,148.983631274903,1
"9",0.35,405.23797267291,1
"10",0.4,546.564030789086,1
"11",0.45,748.499075385685,1
"12",0.5,844.359649873202,1
"13",0.55,914.555010091673,1
"14",0.6,986.053502361567,1
"15",0.65,1067.7080956336,1
"16",0.7,1211.69533984121,1
"17",0.75,1591.14397841848,1
"18",0.8,2000.31328775557,1
"19",0.85,2406.30313890597,1
"20",0.9,2885.95134544227,1
"21",0.95,3977.7013787451,1
"22",0.975,4762.88832342878,1
"23",0.99,6017.93529375078,1
"24",0.01,56.6717264554722,2
"25",0.025,63.3812846907838,2
"26",0.05,68.7592978351231,2
"27",0.1,76.5259821463084,2
"28",0.15,85.2635019963919,2
"29",0.2,94.0015107397575,2
"30",0.25,110.508113480016,2
"31",0.3,528.873633987803,2
"32",0.35,884.83496879871,2
"33",0.4,1027.21637311897,2
"34",0.45,1117.80439505686,2
"35",0.5,1197.50794758422,2
"36",0.55,1290.33096713232,2
"37",0.6,1395.22155136199,2
"38",0.65,1606.58030928189,2
"39",0.7,2104.19973217511,2
"40",0.75,2639.57439240942,2
"41",0.8,3200.18118416883,2
"42",0.85,3921.6393987093,2
"43",0.9,4941.32849018512,2
"44",0.95,6325.68310542247,2
"45",0.975,7389.68680730622,2
"46",0.99,9534.87092385901,2
"47",0.01,80.19,3
"48",0.025,84,3
"49",0.05,91,3
"50",0.1,109.326940319915,3
"51",0.15,134.917572233939,3
"52",0.2,148.784327909505,3
"53",0.25,175.943633645296,3
"54",0.3,1015.45600007472,3
"55",0.35,1231.79947964022,3
"56",0.4,1370.70593442861,3
"57",0.45,1533.37244407242,3
"58",0.5,1680.67074937085,3
"59",0.55,1872.85946229382,3
"60",0.6,2173.32474051162,3
"61",0.65,2734.62207343929,3
"62",0.7,3337.75450064395,3
"63",0.75,4055.42005717436,3
"64",0.8,5171.44767064632,3
"65",0.85,6539.68817273526,3
"66",0.9,8434.0016105453,3
"67",0.95,10563.0501922554,3
"68",0.975,12356.5351335916,3
"69",0.99,15157.1913995563,3
"70",0.01,95.4,4
"71",0.025,102,4
"72",0.05,110,4
"73",0.1,153.6,4
"74",0.15,191,4
"75",0.2,207,4
"76",0.25,376.75,4
