quantile,value,horizon,scenario_id,n_bootstrapping
0.01,12.224028230038446,1,D-2024-08-01,0
0.025,13.185044595173546,1,D-2024-08-01,0
0.05,14.870948480747602,1,D-2024-08-01,0
0.1,80.0,1,D-2024-08-01,0
0.15,88.0,1,D-2024-08-01,0
0.2,102.30000000000001,1,D-2024-08-01,0
0.25,107.651968503937,1,D-2024-08-01,0
0.3,109.76,1,D-2024-08-01,0
0.35,117.08,1,D-2024-08-01,0
0.4,164.6081439547109,1,D-2024-08-01,0
0.45,171.7898734177215,1,D-2024-08-01,0
0.5,184.77970802919708,1,D-2024-08-01,0
0.55,276.8371428571429,1,D-2024-08-01,0
0.6,310.5682008368201,1,D-2024-08-01,0
0.65,418.71999999999997,1,D-2024-08-01,0
0.7,512.3329458096639,1,D-2024-08-01,0
0.75,528.0862962183991,1,D-2024-08-01,0
0.8,542.5885459619444,1,D-2024-08-01,0
0.85,562.0014058305313,1,D-2024-08-01,0
0.9,602.2600324280504,1,D-2024-08-01,0
0.95,655.9634070017601,1,D-2024-08-01,0
0.975,706.4540398740816,1,D-2024-08-01,0
0.99,802.1969707071123,1,D-2024-08-01,0
0.01,6.524962363993964,2,D-2024-08-01,0
0.025,7.2137104830500345,2,D-2024-08-01,0
0.05,7.979371747823936,2,D-2024-08-01,0
0.1,107.12912381200364,2,D-2024-08-01,0
0.15,109.31424836601308,2,D-2024-08-01,0
0.2,112.60641659464132,2,D-2024-08-01,0
0.25,122.53101479540805,2,D-2024-08-01,0
0.3,152.2055835962145,2,D-2024-08-01,0
0.35,175.012568735271,2,D-2024-08-01,0
0.4,205.18752336100863,2,D-2024-08-01,0
0.45,242.42693378457835,2,D-2024-08-01,0
0.5,281.8380719680142,2,D-2024-08-01,0
0.55,459.91028938906754,2,D-2024-08-01,0
0.6,525.5452844354089,2,D-2024-08-01,0
0.65,543.4190808941571,2,D-2024-08-01,0
0.7,560.4479692099816,2,D-2024-08-01,0
0.75,579.0013503599948,2,D-2024-08-01,0
0.8,615.9921049464436,2,D-2024-08-01,0
0.85,745.6812134725967,2,D-2024-08-01,0
0.9,1119.1,2,D-2024-08-01,0
0.95,1144.05,2,D-2024-08-01,0
