k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_rel_original2
5,2024-11-23,7568.682239550814,4768.647961047382,1.58717571550164
5,2024-11-30,7862.203933898624,4941.808243615357,1.5909569020724985
5,2024-12-07,8187.080566053404,5125.126754179272,1.5974396261277382
5,2024-12-14,8321.071203216265,5311.092101823443,1.5667344952198086
5,2024-12-21,7941.546491004112,5495.633985718677,1.445064666177105
5,2024-12-28,7308.34519279938,5652.07991668768,1.29303642208271
5,2025-01-04,6294.093737602216,5672.449646767913,1.109590058889021
5,2025-01-11,4966.813811841505,5498.506590581535,0.9033023294632813
5,2025-01-18,5007.429738877248,5485.334959436747,0.9128758363721562
5,2025-01-25,4351.807519987544,5453.397724080024,0.7979992914823912
5,2025-02-01,3446.9214677310333,5248.431186594242,0.6567527219439023
5,2025-02-08,2529.8930620926044,4695.813263385327,0.5387550399030864
5,2025-02-15,1785.3539232503508,3928.4593676640425,0.4544666893963487
5,2025-02-22,1494.47056463537,3259.638036940306,0.4584774590611204
5,2025-03-01,1309.4652265798873,2670.9919145885206,0.4902542832225746
5,2025-03-08,1103.386551495209,2168.7017739097487,0.5087774468437019
5,2025-03-15,947.4969112431006,1781.78861249517,0.53176729528889
5,2025-03-22,786.1508732736362,1456.5275670078247,0.539743216044062
5,2025-03-29,696.1173877195911,1149.633321057759,0.605512536013748
5,2025-04-05,635.137673433657,928.839240603993,0.6837972015702614
5,2025-04-12,591.2145139805742,779.9447525017905,0.7580210163401503
5,2025-04-19,536.4497313953223,691.3652678680359,0.7759280894303139
5,2025-04-26,501.4127390385645,629.443205093012,0.796597270383547
5,2025-05-03,498.65614827263045,564.5537722152656,0.8832748496497368
15,2024-11-23,6621.004980275987,4768.647961047382,1.3884449081499728
15,2024-11-30,6858.707191418092,4941.808243615357,1.3878942389720001
15,2024-12-07,7285.851414749024,5125.126754179272,1.421594384725762
15,2024-12-14,7714.341954719896,5311.092101823443,1.452496361731583
15,2024-12-21,7607.174761279127,5495.633985718677,1.3842215076636548
15,2024-12-28,7084.0670876159365,5652.07991668768,1.253355789733322
15,2025-01-04,6574.70909007934,5672.449646767913,1.1590599299238422
15,2025-01-11,5534.239096557176,5498.506590581535,1.0064985838221685
15,2025-01-18,5086.646965959647,5485.334959436747,0.9273174753364489
15,2025-01-25,4396.784975231892,5453.397724080024,0.8062468937149856
15,2025-02-01,3519.2970910021327,5248.431186594242,0.6705426756839769
15,2025-02-08,2565.333510831721,4695.813263385327,0.5463022839588618
15,2025-02-15,2004.549344567324,3928.4593676640425,0.5102634791305676
15,2025-02-22,1669.3174143609053,3259.638036940306,0.5121174177755724
15,2025-03-01,1398.2135523757834,2670.9919145885206,0.5234810127050441
15,2025-03-08,1193.282599456349,2168.7017739097487,0.5502289958960526
15,2025-03-15,963.7607900393725,1781.78861249517,0.5408951338451689
15,2025-03-22,806.7908019975876,1456.5275670078247,0.5539138566769423
15,2025-03-29,702.6946228549397,1149.633321057759,0.6112336951128049
15,2025-04-05,631.9483579405211,928.839240603993,0.6803635444273288
15,2025-04-12,581.2705581714819,779.9447525017905,0.7452714519931941
15,2025-04-19,517.404068737524,691.3652678680359,0.7483801874124277
15,2025-04-26,488.0383882705424,629.443205093012,0.7753493632494223
15,2025-05-03,486.8354612981097,564.5537722152656,0.8623367432083658
25,2024-11-23,6066.938746323575,4768.647961047382,1.2722555315219868
25,2024-11-30,6632.87992599655,4941.808243615357,1.3421969447248379
25,2024-12-07,7097.6163628561735,5125.126754179272,1.3848665024857072
25,2024-12-14,7321.106197846226,5311.092101823443,1.3784558914601932
25,2024-12-21,7179.88520724017,5495.633985718677,1.306470777693402
25,2024-12-28,6788.940647575426,5652.07991668768,1.2011402435289673
25,2025-01-04,6315.1886594820035,5672.449646767913,1.1133088969913227
25,2025-01-11,5593.825342784032,5498.506590581535,1.0173353892792942
25,2025-01-18,5284.710927603504,5485.334959436747,0.9634253818013251
25,2025-01-25,4626.615971810626,5453.397724080024,0.8483914443616206
25,2025-02-01,3630.180376506658,5248.431186594242,0.6916696146800998
25,2025-02-08,2804.664174102149,4695.813263385327,0.5972691026644866
25,2025-02-15,2212.932136585718,3928.4593676640425,0.5633078847145061
25,2025-02-22,1730.797752855404,3259.638036940306,0.530978511491428
25,2025-03-01,1438.8604336438075,2670.9919145885206,0.5386989102381731
25,2025-03-08,1203.9909186056204,2168.7017739097487,0.5551666591921758
25,2025-03-15,972.0794836285643,1781.78861249517,0.5455638658882715
25,2025-03-22,806.0308120766276,1456.5275670078247,0.5533920746398736
25,2025-03-29,687.4977013469053,1149.633321057759,0.5980147658858302
25,2025-04-05,617.7182059802486,928.839240603993,0.6650431839836647
25,2025-04-12,561.0171641326153,779.9447525017905,0.7193037229022544
25,2025-04-19,505.0199806926436,691.3652678680359,0.7304676762979062
25,2025-04-26,474.41716423781713,629.443205093012,0.7537092471555287
25,2025-05-03,474.2290123098609,564.5537722152656,0.8400068082957319
50,2024-11-23,5642.534749994312,4768.647961047382,1.1832567210004301
50,2024-11-30,5941.899073133269,4941.808243615357,1.2023734593121846
50,2024-12-07,6313.945862143886,5125.126754179272,1.2319589670626574
50,2024-12-14,6677.695905951722,5311.092101823443,1.2573112606462025
50,2024-12-21,6849.593455832454,5495.633985718677,1.246370022754839
50,2024-12-28,6498.725420735427,5652.07991668768,1.1497936187257436
50,2025-01-04,6139.796099629511,5672.449646767913,1.0823888235178758
50,2025-01-11,5772.414453014986,5498.506590581535,1.0498149557377328
50,2025-01-18,5548.982991077408,5485.334959436747,1.0116033081136027
50,2025-01-25,4806.53260200301,5453.397724080024,0.8813831019108112
50,2025-02-01,3851.5219059122187,5248.431186594242,0.7338425081669993
50,2025-02-08,3115.997532810485,4695.813263385327,0.6635693027035078
50,2025-02-15,2469.8115423237564,3928.4593676640425,0.6286972350161704
50,2025-02-22,1976.9405444429658,3259.638036940306,0.6064908195446885
50,2025-03-01,1621.0882540472642,2670.9919145885206,0.6069236844908237
50,2025-03-08,1325.935234351659,2168.7017739097487,0.6113958361187001
50,2025-03-15,1052.2713597816498,1781.78861249517,0.5905702575504042
50,2025-03-22,863.3199648177952,1456.5275670078247,0.5927247683964757
50,2025-03-29,734.8513170799675,1149.633321057759,0.639204956588978
50,2025-04-05,659.2055600335003,928.839240603993,0.7097089907666273
50,2025-04-12,606.0122769287477,779.9447525017905,0.7769938511476254
50,2025-04-19,544.5374429358683,691.3652678680359,0.7876262639213266
50,2025-04-26,510.88552933283245,629.443205093012,0.8116467462022082
50,2025-05-03,509.8994363181294,564.5537722152656,0.9031902033305406
75,2024-11-23,5464.063651448921,4768.647961047382,1.1458307881147927
75,2024-11-30,5697.979213239333,4941.808243615357,1.1530150366722387
75,2024-12-07,5909.102604845875,5125.126754179272,1.1529671144284015
75,2024-12-14,6135.516349574968,5311.092101823443,1.1552268783793973
75,2024-12-21,6220.793857669874,5495.633985718677,1.1319519956815987
75,2024-12-28,5997.868986551199,5652.07991668768,1.061179083622399
75,2025-01-04,5897.256866762069,5672.449646767913,1.0396314174639256
75,2025-01-11,5745.73080077729,5498.506590581535,1.0449620649030826
75,2025-01-18,5493.448412239245,5485.334959436747,1.0014791171118074
75,2025-01-25,4843.494923513965,5453.397724080024,0.8881609536981004
75,2025-02-01,3982.8632651736457,5248.431186594242,0.7588673879057114
75,2025-02-08,3258.397795486369,4695.813263385327,0.6938942442394547
75,2025-02-15,2652.78239362505,3928.4593676640425,0.6752729620829601
75,2025-02-22,2140.201227029298,3259.638036940306,0.6565763446048816
75,2025-03-01,1743.2525707402415,2670.9919145885206,0.6526611185975073
75,2025-03-08,1424.7905098435706,2168.7017739097487,0.6569785329565851
75,2025-03-15,1122.0650112310918,1781.78861249517,0.6297408140126014
75,2025-03-22,907.1742408745232,1456.5275670078247,0.6228335538737179
75,2025-03-29,765.852349463364,1149.633321057759,0.6661709742013354
75,2025-04-05,684.5656109011924,928.839240603993,0.7370119402535603
75,2025-04-12,627.6898584601694,779.9447525017905,0.8047875909758472
75,2025-04-19,563.3323655689816,691.3652678680359,0.8148114922031453
75,2025-04-26,528.020949558665,629.443205093012,0.8388698857756993
75,2025-05-03,526.3448686973758,564.5537722152656,0.9323201696661046
