k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_original_ensembleA,wis_original_ensembleB,wis_original_ensembleC,wis_original_ensembleD,wis_original_ensembleE,wis_original_ensembleF,wis_rel_original2,wis_rel_originalA,wis_rel_originalB,wis_rel_originalC,wis_rel_originalD,wis_rel_originalE,wis_rel_originalF
5,2024-11-30,8936.250127026373,9525.863198410632,9795.3911551506,11212.197616781634,9364.992825594536,10325.903897053853,8956.259889290477,9387.42408662582,0.9381039745056768,0.9122912996003764,0.797011472010734,0.9542185769329786,0.86542061751863,0.9977658350124441,0.9519384705073428
5,2024-12-07,9468.334303114832,9742.669193534617,9936.110195335128,11610.93247671797,9442.004824265825,10665.209665551125,8970.127321765305,9659.926540675315,0.9718419167303928,0.9529216279787326,0.8154671747596985,1.0027885474895482,0.8877776058822145,1.055540681138457,0.9801662842099534
5,2024-12-14,9952.18896674134,9960.507297161148,10067.623546018724,12041.346996280465,9494.82388210985,11026.297125316381,8940.059146389776,9939.5981412918,0.9991648687991846,0.9885340786979433,0.826501301707819,1.0481699387276955,0.9025866846895602,1.1132128774293721,1.001266733852874
5,2024-12-21,11150.832072463003,10211.012612792125,10235.295479404413,12519.85347792244,9572.634823107473,11431.409493209958,8916.4805164764,10251.922685847918,1.0920397903038033,1.089448965581975,0.8906519626708432,1.1648655023950045,0.975455570818838,1.250586714327232,1.0876820294261453
5,2024-12-28,11861.566545478896,10554.065012697252,10538.566417687378,13016.852984712239,9796.579072921551,11889.660352566236,9035.449583725724,10655.775430058397,1.123886060130256,1.1255389087429448,0.9112468704540045,1.2107865875614803,0.99763712282317,1.3127810006093616,1.1131584579024758
5,2025-01-04,10755.377166794366,10900.412702406846,10886.278908837667,13354.000479771126,10144.546251512471,12222.53730999446,9374.774765504018,10983.541655756553,0.9866944913397219,0.9879755292750186,0.8054048809633337,1.0602127389572327,0.8799627191973971,1.1472677942482943,0.9792266924355311
5,2025-01-11,10261.789670786122,10867.276394192555,10870.024739440374,13193.237892404875,10166.682470245563,12111.371757807552,9450.420185266914,10925.471556557817,0.9442834891242847,0.9440447392500078,0.7778067639251515,1.0093547920689867,0.8472854996108015,1.0858553873386627,0.9392537079671099
5,2025-01-18,10949.11227122118,11078.650022411312,11067.063594797743,13352.672348196766,10392.159148865587,12303.925181227092,9700.579595113388,11166.208335969428,0.9883074426100575,0.989342130135404,0.8199940795147139,1.0535935905500822,0.8898877480112575,1.1287070183658647,0.9805577633681685
5,2025-02-01,10553.524934810239,10855.354372649348,10896.275337892454,12783.388365912646,10340.011990655059,11862.414806500763,9792.581652169682,10904.763633865025,0.972195339969777,0.9685442600839683,0.8255655412106218,1.0206491969591664,0.8896607568491675,1.077706095253437,0.9677903427485576
5,2025-02-08,9046.907869631319,9802.761959055539,9938.207602617511,11317.58856640009,9471.835217403992,10511.74259961238,9022.140134914132,9723.130944784363,0.9228937627393898,0.9103158468181484,0.7993670927824661,0.9551378019127812,0.8606477740393799,1.0027452172485483,0.9304521270984445
5,2025-02-15,7262.115787782252,8287.017379645888,8506.184440124676,9324.757096561785,8143.849818039998,8642.00542025876,7812.779943438064,8027.612741033644,0.8763244307438111,0.8537453941776755,0.7787994596084366,0.8917300723910014,0.840327613166992,0.9295175136580783,0.9046420177522382
5,2025-02-22,5857.174113278584,6958.820070080151,7277.323117837765,7567.099614244405,7016.551158597095,7004.7267543428725,6774.438322638983,6581.726593332284,0.8416906967406504,0.8048528309704716,0.774031585662354,0.8347653969717054,0.8361745316685172,0.8645992234817368,0.889914527779425
5,2025-03-01,4890.845808131346,5834.600642994391,6203.01815071056,6107.069992013706,6022.718861096772,5673.288405413351,5865.6050058761775,5393.429126399399,0.8382485978716963,0.7884622758311768,0.8008498043295996,0.812066098539538,0.8620830563566251,0.8338177908726695,0.906815625738356
5,2025-03-08,3840.200566112244,4749.871828774115,5157.402931939308,4796.002517372504,5038.653066596286,4485.685931593389,4924.598977465673,4315.943582589276,0.8084850927658302,0.7445996787123701,0.8007086218578764,0.7621482398879227,0.8561010790044639,0.7797996514405547,0.8897707981178896
5,2025-03-15,2983.7011393936473,3783.499334387025,4174.283795776,3673.7069236168036,4108.199642467749,3498.013193592242,4022.1967757998195,3407.7583206590807,0.7886088712308561,0.7147815734073674,0.8121772371695241,0.7262794895725593,0.8529702360354942,0.7418088437009236,0.8755612513086262
5,2025-03-22,2248.742350013535,2975.5022530880306,3322.534446056862,2798.5308553068858,3273.1580759318067,2713.2574525920677,3211.0475236069656,2662.2345938373282,0.755752191980278,0.6768153608406713,0.8035438829445885,0.6870252819590329,0.8287979999337087,0.7003142536761728,0.8446822662507033
5,2025-03-29,1697.4511408613228,2329.8807442587067,2629.3982686929216,2144.144435817883,2595.569922918195,2096.6966443880888,2557.755724322051,2070.5534688093708,0.728557092479597,0.6455663872119033,0.7916682815324569,0.6539801243161584,0.8095835634614258,0.6636486528873835,0.8198055092184637
5,2025-04-05,1320.3368177511613,1861.5729142530804,2131.5950736180266,1665.2032893544324,2110.9037123645508,1643.00829634591,2097.3631410973903,1629.6620305261981,0.7092587175296975,0.6194125864206048,0.7928982762597296,0.6254841516537826,0.8036093431102096,0.6295222757945148,0.8101905751125836
5,2025-04-12,1108.6810354652353,1562.2427710501188,1819.3847090373545,1356.5972804874366,1813.0684379732988,1353.5395538129153,1805.3317210559917,1343.5839087799154,0.7096726936492685,0.609371415489055,0.8172514064504662,0.6114943111052947,0.819097626177296,0.6141148590779401,0.8251669495446762
5,2025-04-19,1020.6711683485496,1393.9173368749236,1630.1637640152587,1195.3536822306253,1632.2539290072473,1203.0085324991705,1625.96203749148,1194.5118190023243,0.7322322072819836,0.6261157258424963,0.8538654153337243,0.625313960168766,0.8484321937668828,0.6277337015341589,0.854467199161772
