k,n_downsampling,wis_absolute,wis_original,wis_relative
0.05,0,5405.781327360682,8059.021097013888,0.6707739392025773
0.05,1,5297.619404919174,8114.399937966489,0.652866440577094
0.05,2,5326.9487547909375,8092.639626037427,0.6582461348769197
0.05,3,5335.139199478764,8053.923154203924,0.6624273782267179
0.05,4,5424.2504685944505,8023.373367882854,0.6760560950967884
0.05,5,5289.902921987265,8007.167222801649,0.6606459906224322
0.05,6,5384.743037313664,8054.518623167836,0.6685369156419988
0.05,7,5296.190371336006,8011.501102406544,0.6610734122903763
0.05,8,5282.3661142780875,8019.529194045057,0.6586878090300533
0.05,9,5220.586955489133,7982.865977690146,0.6539740201174864
0.15,0,6057.126140894053,8059.021097013888,0.7515957667784742
0.15,1,5978.416455221301,8114.399937966489,0.7367663044618827
0.15,2,6060.373352559191,8092.639626037427,0.7488747346490532
0.15,3,5833.725238596681,8053.923154203924,0.724333362375284
0.15,4,5973.702309834707,8023.373367882854,0.7445374951323002
0.15,5,5877.9558405224425,8007.167222801649,0.7340868096002857
0.15,6,6003.436878622779,8054.518623167836,0.7453501766517279
0.15,7,5959.728928347209,8011.501102406544,0.7438966620820896
0.15,8,5882.980447382117,8019.529194045057,0.7335817733228722
0.15,9,5876.665309054409,7982.865977690146,0.7361598360135354
0.25,0,6352.982534786578,8059.021097013888,0.7883069740493112
0.25,1,6293.108910331429,8114.399937966489,0.7755482794096189
0.25,2,6423.576240541187,8092.639626037427,0.7937553798730688
0.25,3,6195.09078373716,8053.923154203924,0.7692016257323605
0.25,4,6321.953667992256,8023.373367882854,0.7879421009246195
0.25,5,6209.677358860533,8007.167222801649,0.7755148838627367
0.25,6,6347.98022522616,8054.518623167836,0.7881265811425369
0.25,7,6290.35009846952,8011.501102406544,0.7851649794543479
0.25,8,6208.6373129743815,8019.529194045057,0.7741897513864826
0.25,9,6222.269803916214,7982.865977690146,0.7794531213859408
0.5,0,7006.134993248106,8059.021097013888,0.8693531024312732
0.5,1,6970.850691867637,8114.399937966489,0.8590716189932546
0.5,2,7048.716276014499,8092.639626037427,0.8710033563506044
0.5,3,6913.694974203359,8053.923154203924,0.8584257438059367
0.5,4,6967.586308278237,8023.373367882854,0.8684110770874908
0.5,5,6925.243966718429,8007.167222801649,0.8648806468032445
0.5,6,6999.960343102433,8054.518623167836,0.8690724636191051
0.5,7,6963.671093961939,8011.501102406544,0.8692092786294628
0.5,8,6956.765307579846,8019.529194045057,0.8674780201243769
0.5,9,6923.152968848811,7982.865977690146,0.8672515595523045
0.75,0,7423.595777911296,8059.021097013888,0.9211535357144013
0.75,1,7407.15059366837,8114.399937966489,0.912840216195289
0.75,2,7457.457778498109,8092.639626037427,0.9215111660853313
0.75,3,7370.219012339013,8053.923154203924,0.915109179864966
0.75,4,7410.386469473166,8023.373367882854,0.9235998537892499
0.75,5,7328.693766879172,8007.167222801649,0.9152667307870855
0.75,6,7401.9074158018575,8054.518623167836,0.9189757652941762
0.75,7,7360.653014433261,8011.501102406544,0.9187607815746568
0.75,8,7356.216071467871,8019.529194045057,0.9172877725702735
0.75,9,7347.353363177015,7982.865977690146,0.9203904191440506
