model,n_bootstrapping,wis_absolute,wis_original,wis_relative
NIH-Flu_TS,0,6745.335901046699,8059.021097013888,0.8369919646377463
NIH-Flu_TS,1,6753.773414653783,8114.399937966489,0.8323195142321657
NIH-Flu_TS,2,6760.470639549115,8092.639626037427,0.8353851094268224
NIH-Flu_TS,3,6495.959792431561,8053.923154203924,0.806558452080692
NIH-Flu_TS,4,6576.877835942029,8023.373367882854,0.8197147925670428
NIH-Flu_TS,5,6587.632769194846,8007.167222801649,0.8227170216247691
NIH-Flu_TS,6,6754.1668619645725,8054.518623167836,0.8385562412801478
NIH-Flu_TS,7,6558.9823387681145,8011.501102406544,0.8186958043103666
NIH-Flu_TS,8,6580.7799494766505,8019.529194045057,0.8205943005186941
NIH-Flu_TS,9,6713.678966827697,7982.865977690146,0.8410111087409625
USC-SIkJalpha,0,7624.292943317229,8059.021097013888,0.9460569530140902
USC-SIkJalpha,1,7931.94963321256,8114.399937966489,0.9775152437458423
USC-SIkJalpha,2,7801.241762077292,8092.639626037427,0.9639922352377357
USC-SIkJalpha,3,7644.7370668921085,8053.923154203924,0.9491941902750547
USC-SIkJalpha,4,7743.135138285023,8023.373367882854,0.9650722686395712
USC-SIkJalpha,5,7612.7710569243145,8007.167222801649,0.9507446073120304
USC-SIkJalpha,6,7655.778985466988,8054.518623167836,0.9504949139289439
USC-SIkJalpha,7,7578.717327294686,8011.501102406544,0.9459796897510435
USC-SIkJalpha,8,7627.041447101448,8019.529194045057,0.9510585051258306
USC-SIkJalpha,9,7593.432975547503,7982.865977690146,0.9512163923043431
UVA-FluXSim,0,7059.635801809337,8059.021097013888,0.8759917261446488
UVA-FluXSim,1,6996.027936246643,8114.399937966489,0.8621744047286735
UVA-FluXSim,2,7091.499436880392,8092.639626037427,0.8762900320019261
UVA-FluXSim,3,7001.067596262729,8053.923154203924,0.8692741987000915
UVA-FluXSim,4,6881.25846788523,8023.373367882854,0.8576515328864726
UVA-FluXSim,5,6978.906654835155,8007.167222801649,0.8715824786276022
UVA-FluXSim,6,6974.3772523723155,8054.518623167836,0.865896222812295
UVA-FluXSim,7,7013.2095639789295,8011.501102406544,0.8753926978643563
