week,k,scenario,posterior_value
2023-11-04,0.05,A-2023-08-14,0.14814814814814814
2023-11-04,0.05,B-2023-08-14,0.16296296296296298
2023-11-04,0.05,C-2023-08-14,0.18888888888888888
2023-11-04,0.05,D-2023-08-14,0.16666666666666666
2023-11-04,0.05,E-2023-08-14,0.2
2023-11-04,0.05,F-2023-08-14,0.13333333333333333
2023-11-11,0.05,A-2023-08-14,0.17037037037037037
2023-11-11,0.05,B-2023-08-14,0.1814814814814815
2023-11-11,0.05,C-2023-08-14,0.17777777777777778
2023-11-11,0.05,D-2023-08-14,0.16296296296296298
2023-11-11,0.05,E-2023-08-14,0.14444444444444443
2023-11-11,0.05,F-2023-08-14,0.16296296296296298
2023-11-18,0.05,A-2023-08-14,0.1814814814814815
2023-11-18,0.05,B-2023-08-14,0.2037037037037037
2023-11-18,0.05,C-2023-08-14,0.15555555555555556
2023-11-18,0.05,D-2023-08-14,0.17407407407407408
2023-11-18,0.05,E-2023-08-14,0.11481481481481481
2023-11-18,0.05,F-2023-08-14,0.17037037037037037
2023-11-25,0.05,A-2023-08-14,0.16296296296296298
2023-11-25,0.05,B-2023-08-14,0.2074074074074074
2023-11-25,0.05,C-2023-08-14,0.15925925925925927
2023-11-25,0.05,D-2023-08-14,0.1925925925925926
2023-11-25,0.05,E-2023-08-14,0.11851851851851852
2023-11-25,0.05,F-2023-08-14,0.15925925925925927
2023-12-02,0.05,A-2023-08-14,0.17037037037037037
2023-12-02,0.05,B-2023-08-14,0.2074074074074074
2023-12-02,0.05,C-2023-08-14,0.14074074074074075
2023-12-02,0.05,D-2023-08-14,0.2037037037037037
2023-12-02,0.05,E-2023-08-14,0.11851851851851852
2023-12-02,0.05,F-2023-08-14,0.15925925925925927
2023-12-09,0.05,A-2023-08-14,0.17037037037037037
2023-12-09,0.05,B-2023-08-14,0.23703703703703705
2023-12-09,0.05,C-2023-08-14,0.12962962962962962
2023-12-09,0.05,D-2023-08-14,0.1925925925925926
2023-12-09,0.05,E-2023-08-14,0.1037037037037037
2023-12-09,0.05,F-2023-08-14,0.16666666666666666
2023-12-16,0.05,A-2023-08-14,0.17037037037037037
2023-12-16,0.05,B-2023-08-14,0.24074074074074073
2023-12-16,0.05,C-2023-08-14,0.1259259259259259
2023-12-16,0.05,D-2023-08-14,0.2111111111111111
2023-12-16,0.05,E-2023-08-14,0.0962962962962963
2023-12-16,0.05,F-2023-08-14,0.15555555555555556
2023-12-23,0.05,A-2023-08-14,0.17407407407407408
2023-12-23,0.05,B-2023-08-14,0.23333333333333334
2023-12-23,0.05,C-2023-08-14,0.1
2023-12-23,0.05,D-2023-08-14,0.22962962962962963
2023-12-23,0.05,E-2023-08-14,0.07407407407407407
2023-12-23,0.05,F-2023-08-14,0.18888888888888888
2023-12-30,0.05,A-2023-08-14,0.13703703703703704
2023-12-30,0.05,B-2023-08-14,0.2037037037037037
2023-12-30,0.05,C-2023-08-14,0.10740740740740741
2023-12-30,0.05,D-2023-08-14,0.2
2023-12-30,0.05,E-2023-08-14,0.1
2023-12-30,0.05,F-2023-08-14,0.2518518518518518
2024-01-06,0.05,A-2023-08-14,0.13333333333333333
2024-01-06,0.05,B-2023-08-14,0.16296296296296298
2024-01-06,0.05,C-2023-08-14,0.12962962962962962
2024-01-06,0.05,D-2023-08-14,0.18888888888888888
2024-01-06,0.05,E-2023-08-14,0.12222222222222222
2024-01-06,0.05,F-2023-08-14,0.26296296296296295
2024-01-13,0.05,A-2023-08-14,0.1814814814814815
2024-01-13,0.05,B-2023-08-14,0.16666666666666666
2024-01-13,0.05,C-2023-08-14,0.1
2024-01-13,0.05,D-2023-08-14,0.2074074074074074
