week,k,scenario,posterior_value
2024-11-30,0.05,A-2024-08-01,0.06798245614035088
2024-11-30,0.05,B-2024-08-01,0.30701754385964913
2024-11-30,0.05,C-2024-08-01,0.09868421052631579
2024-11-30,0.05,D-2024-08-01,0.18201754385964913
2024-11-30,0.05,E-2024-08-01,0.14473684210526316
2024-11-30,0.05,F-2024-08-01,0.19956140350877194
2024-12-07,0.05,A-2024-08-01,0.06578947368421052
2024-12-07,0.05,B-2024-08-01,0.31359649122807015
2024-12-07,0.05,C-2024-08-01,0.09429824561403509
2024-12-07,0.05,D-2024-08-01,0.20394736842105263
2024-12-07,0.05,E-2024-08-01,0.1206140350877193
2024-12-07,0.05,F-2024-08-01,0.20175438596491227
2024-12-14,0.05,A-2024-08-01,0.08114035087719298
2024-12-14,0.05,B-2024-08-01,0.3267543859649123
2024-12-14,0.05,C-2024-08-01,0.08991228070175439
2024-12-14,0.05,D-2024-08-01,0.20833333333333334
2024-12-14,0.05,E-2024-08-01,0.12280701754385964
2024-12-14,0.05,F-2024-08-01,0.17105263157894737
2024-12-21,0.05,A-2024-08-01,0.08114035087719298
2024-12-21,0.05,B-2024-08-01,0.3333333333333333
2024-12-21,0.05,C-2024-08-01,0.08991228070175439
2024-12-21,0.05,D-2024-08-01,0.19736842105263158
2024-12-21,0.05,E-2024-08-01,0.14912280701754385
2024-12-21,0.05,F-2024-08-01,0.14912280701754385
2024-12-28,0.05,A-2024-08-01,0.09649122807017543
2024-12-28,0.05,B-2024-08-01,0.3355263157894737
2024-12-28,0.05,C-2024-08-01,0.10526315789473684
2024-12-28,0.05,D-2024-08-01,0.17982456140350878
2024-12-28,0.05,E-2024-08-01,0.1513157894736842
2024-12-28,0.05,F-2024-08-01,0.13157894736842105
2025-01-04,0.05,A-2024-08-01,0.09649122807017543
2025-01-04,0.05,B-2024-08-01,0.3201754385964912
2025-01-04,0.05,C-2024-08-01,0.125
2025-01-04,0.05,D-2024-08-01,0.18421052631578946
2025-01-04,0.05,E-2024-08-01,0.10964912280701754
2025-01-04,0.05,F-2024-08-01,0.16447368421052633
2025-01-11,0.05,A-2024-08-01,0.013157894736842105
2025-01-11,0.05,B-2024-08-01,0.21271929824561403
2025-01-11,0.05,C-2024-08-01,0.1337719298245614
2025-01-11,0.05,D-2024-08-01,0.11842105263157894
2025-01-11,0.05,E-2024-08-01,0.32894736842105265
2025-01-11,0.05,F-2024-08-01,0.19298245614035087
2025-01-18,0.05,A-2024-08-01,0.02412280701754386
2025-01-18,0.05,B-2024-08-01,0.21710526315789475
2025-01-18,0.05,C-2024-08-01,0.09868421052631579
2025-01-18,0.05,D-2024-08-01,0.06359649122807018
2025-01-18,0.05,E-2024-08-01,0.41885964912280704
2025-01-18,0.05,F-2024-08-01,0.17763157894736842
2025-01-25,0.05,A-2024-08-01,0.02850877192982456
2025-01-25,0.05,B-2024-08-01,0.21052631578947367
2025-01-25,0.05,C-2024-08-01,0.10964912280701754
2025-01-25,0.05,D-2024-08-01,0.06140350877192982
2025-01-25,0.05,E-2024-08-01,0.40789473684210525
2025-01-25,0.05,F-2024-08-01,0.18201754385964913
2025-02-01,0.05,A-2024-08-01,0.02631578947368421
2025-02-01,0.05,B-2024-08-01,0.20614035087719298
2025-02-01,0.05,C-2024-08-01,0.08771929824561403
2025-02-01,0.05,D-2024-08-01,0.05263157894736842
2025-02-01,0.05,E-2024-08-01,0.44298245614035087
2025-02-01,0.05,F-2024-08-01,0.18421052631578946
2025-02-08,0.05,A-2024-08-01,0.021929824561403508
2025-02-08,0.05,B-2024-08-01,0.18201754385964913
2025-02-08,0.05,C-2024-08-01,0.07236842105263158
2025-02-08,0.05,D-2024-08-01,0.07017543859649122
2025-02-08,0.05,E-2024-08-01,0.4692982456140351
2025-02-08,0.05,F-2024-08-01,0.18421052631578946
2025-02-15,0.05,A-2024-08-01,0.02631578947368421
2025-02-15,0.05,B-2024-08-01,0.17543859649122806
2025-02-15,0.05,C-2024-08-01,0.06359649122807018
2025-02-15,0.05,D-2024-08-01,0.07456140350877193
2025-02-15,0.05,E-2024-08-01,0.4780701754385965
2025-02-15,0.05,F-2024-08-01,0.18201754385964913
2025-02-22,0.05,A-2024-08-01,0.02412280701754386
2025-02-22,0.05,B-2024-08-01,0.16228070175438597
