week,k,scenario,posterior_value
2023-11-04,0.05,A-2023-08-14,0.14444444444444443
2023-11-04,0.05,B-2023-08-14,0.15555555555555556
2023-11-04,0.05,C-2023-08-14,0.2111111111111111
2023-11-04,0.05,D-2023-08-14,0.15925925925925927
2023-11-04,0.05,E-2023-08-14,0.2
2023-11-04,0.05,F-2023-08-14,0.12962962962962962
2023-11-11,0.05,A-2023-08-14,0.17777777777777778
2023-11-11,0.05,B-2023-08-14,0.17777777777777778
2023-11-11,0.05,C-2023-08-14,0.17037037037037037
2023-11-11,0.05,D-2023-08-14,0.17407407407407408
2023-11-11,0.05,E-2023-08-14,0.15555555555555556
2023-11-11,0.05,F-2023-08-14,0.14444444444444443
2023-11-18,0.05,A-2023-08-14,0.17407407407407408
2023-11-18,0.05,B-2023-08-14,0.1962962962962963
2023-11-18,0.05,C-2023-08-14,0.17037037037037037
2023-11-18,0.05,D-2023-08-14,0.17777777777777778
2023-11-18,0.05,E-2023-08-14,0.12222222222222222
2023-11-18,0.05,F-2023-08-14,0.15925925925925927
2023-11-25,0.05,A-2023-08-14,0.17037037037037037
2023-11-25,0.05,B-2023-08-14,0.2
2023-11-25,0.05,C-2023-08-14,0.15925925925925927
2023-11-25,0.05,D-2023-08-14,0.1925925925925926
2023-11-25,0.05,E-2023-08-14,0.11851851851851852
2023-11-25,0.05,F-2023-08-14,0.15925925925925927
2023-12-02,0.05,A-2023-08-14,0.16666666666666666
2023-12-02,0.05,B-2023-08-14,0.23703703703703705
2023-12-02,0.05,C-2023-08-14,0.13703703703703704
2023-12-02,0.05,D-2023-08-14,0.2037037037037037
2023-12-02,0.05,E-2023-08-14,0.1111111111111111
2023-12-02,0.05,F-2023-08-14,0.14444444444444443
2023-12-09,0.05,A-2023-08-14,0.16296296296296298
2023-12-09,0.05,B-2023-08-14,0.24814814814814815
2023-12-09,0.05,C-2023-08-14,0.13703703703703704
2023-12-09,0.05,D-2023-08-14,0.2
2023-12-09,0.05,E-2023-08-14,0.10740740740740741
2023-12-09,0.05,F-2023-08-14,0.14444444444444443
2023-12-16,0.05,A-2023-08-14,0.16296296296296298
2023-12-16,0.05,B-2023-08-14,0.24074074074074073
2023-12-16,0.05,C-2023-08-14,0.12222222222222222
2023-12-16,0.05,D-2023-08-14,0.2074074074074074
2023-12-16,0.05,E-2023-08-14,0.1037037037037037
2023-12-16,0.05,F-2023-08-14,0.16296296296296298
2023-12-23,0.05,A-2023-08-14,0.16666666666666666
2023-12-23,0.05,B-2023-08-14,0.24444444444444444
2023-12-23,0.05,C-2023-08-14,0.11481481481481481
2023-12-23,0.05,D-2023-08-14,0.2
2023-12-23,0.05,E-2023-08-14,0.08518518518518518
2023-12-23,0.05,F-2023-08-14,0.18888888888888888
2023-12-30,0.05,A-2023-08-14,0.15555555555555556
2023-12-30,0.05,B-2023-08-14,0.25925925925925924
2023-12-30,0.05,C-2023-08-14,0.10740740740740741
2023-12-30,0.05,D-2023-08-14,0.2111111111111111
2023-12-30,0.05,E-2023-08-14,0.06666666666666667
2023-12-30,0.05,F-2023-08-14,0.2
2024-01-06,0.05,A-2023-08-14,0.14444444444444443
2024-01-06,0.05,B-2023-08-14,0.21481481481481482
2024-01-06,0.05,C-2023-08-14,0.10740740740740741
2024-01-06,0.05,D-2023-08-14,0.21481481481481482
2024-01-06,0.05,E-2023-08-14,0.1111111111111111
2024-01-06,0.05,F-2023-08-14,0.2074074074074074
2024-01-13,0.05,A-2023-08-14,0.16666666666666666
2024-01-13,0.05,B-2023-08-14,0.1925925925925926
2024-01-13,0.05,C-2023-08-14,0.09259259259259259
2024-01-13,0.05,D-2023-08-14,0.21851851851851853
2024-01-13,0.05,E-2023-08-14,0.08888888888888889
2024-01-13,0.05,F-2023-08-14,0.24074074074074073
2024-01-20,0.05,A-2023-08-14,0.17407407407407408
2024-01-20,0.05,B-2023-08-14,0.2
2024-01-20,0.05,C-2023-08-14,0.07037037037037037
2024-01-20,0.05,D-2023-08-14,0.24444444444444444
2024-01-20,0.05,E-2023-08-14,0.08148148148148149
2024-01-20,0.05,F-2023-08-14,0.22962962962962963
2024-01-27,0.05,A-2023-08-14,0.17777777777777778
2024-01-27,0.05,B-2023-08-14,0.2518518518518518
2024-01-27,0.05,C-2023-08-14,0.040740740740740744
2024-01-27,0.05,D-2023-08-14,0.28888888888888886
2024-01-27,0.05,E-2023-08-14,0.07037037037037037
2024-01-27,0.05,F-2023-08-14,0.17037037037037037
2024-02-03,0.05,A-2023-08-14,0.16296296296296298
2024-02-03,0.05,B-2023-08-14,0.2851851851851852
2024-02-03,0.05,C-2023-08-14,0.02962962962962963
2024-02-03,0.05,D-2023-08-14,0.2962962962962963
2024-02-03,0.05,E-2023-08-14,0.04814814814814815
2024-02-03,0.05,F-2023-08-14,0.17777777777777778
2024-02-10,0.05,A-2023-08-14,0.15925925925925927
2024-02-10,0.05,B-2023-08-14,0.337037037037037
2024-02-10,0.05,C-2023-08-14,0.040740740740740744
2024-02-10,0.05,D-2023-08-14,0.2777777777777778
2024-02-10,0.05,E-2023-08-14,0.03333333333333333
2024-02-10,0.05,F-2023-08-14,0.15185185185185185
2024-02-17,0.05,A-2023-08-14,0.14814814814814814
2024-02-17,0.05,B-2023-08-14,0.35185185185185186
2024-02-17,0.05,C-2023-08-14,0.040740740740740744
2024-02-17,0.05,D-2023-08-14,0.2777777777777778
2024-02-17,0.05,E-2023-08-14,0.02962962962962963
2024-02-17,0.05,F-2023-08-14,0.15185185185185185
2024-02-24,0.05,A-2023-08-14,0.15185185185185185
2024-02-24,0.05,B-2023-08-14,0.362962962962963
2024-02-24,0.05,C-2023-08-14,0.037037037037037035
2024-02-24,0.05,D-2023-08-14,0.25555555555555554
2024-02-24,0.05,E-2023-08-14,0.037037037037037035
2024-02-24,0.05,F-2023-08-14,0.15555555555555556
2024-03-02,0.05,A-2023-08-14,0.16296296296296298
2024-03-02,0.05,B-2023-08-14,0.37037037037037035
2024-03-02,0.05,C-2023-08-14,0.04814814814814815
2024-03-02,0.05,D-2023-08-14,0.2222222222222222
2024-03-02,0.05,E-2023-08-14,0.044444444444444446
2024-03-02,0.05,F-2023-08-14,0.15185185185185185
2024-03-09,0.05,A-2023-08-14,0.15555555555555556
2024-03-09,0.05,B-2023-08-14,0.36666666666666664
2024-03-09,0.05,C-2023-08-14,0.04814814814814815
2024-03-09,0.05,D-2023-08-14,0.23333333333333334
2024-03-09,0.05,E-2023-08-14,0.05555555555555555
2024-03-09,0.05,F-2023-08-14,0.14074074074074075
2024-03-16,0.05,A-2023-08-14,0.15925925925925927
2024-03-16,0.05,B-2023-08-14,0.3592592592592593
2024-03-16,0.05,C-2023-08-14,0.05555555555555555
2024-03-16,0.05,D-2023-08-14,0.22592592592592592
2024-03-16,0.05,E-2023-08-14,0.05925925925925926
2024-03-16,0.05,F-2023-08-14,0.14074074074074075
2024-03-23,0.05,A-2023-08-14,0.15925925925925927
2024-03-23,0.05,B-2023-08-14,0.3592592592592593
2024-03-23,0.05,C-2023-08-14,0.05185185185185185
2024-03-23,0.05,D-2023-08-14,0.2222222222222222
2024-03-23,0.05,E-2023-08-14,0.06296296296296296
2024-03-23,0.05,F-2023-08-14,0.14444444444444443
2024-03-30,0.05,A-2023-08-14,0.15555555555555556
2024-03-30,0.05,B-2023-08-14,0.35555555555555557
2024-03-30,0.05,C-2023-08-14,0.05925925925925926
2024-03-30,0.05,D-2023-08-14,0.21851851851851853
2024-03-30,0.05,E-2023-08-14,0.06296296296296296
2024-03-30,0.05,F-2023-08-14,0.14814814814814814
2024-04-06,0.05,A-2023-08-14,0.15555555555555556
2024-04-06,0.05,B-2023-08-14,0.35185185185185186
2024-04-06,0.05,C-2023-08-14,0.05925925925925926
2024-04-06,0.05,D-2023-08-14,0.21481481481481482
2024-04-06,0.05,E-2023-08-14,0.06296296296296296
2024-04-06,0.05,F-2023-08-14,0.15555555555555556
2024-04-13,0.05,A-2023-08-14,0.15925925925925927
2024-04-13,0.05,B-2023-08-14,0.34814814814814815
2024-04-13,0.05,C-2023-08-14,0.05555555555555555
2024-04-13,0.05,D-2023-08-14,0.2111111111111111
2024-04-13,0.05,E-2023-08-14,0.07037037037037037
2024-04-13,0.05,F-2023-08-14,0.15555555555555556
2024-04-20,0.05,A-2023-08-14,0.15925925925925927
2024-04-20,0.05,B-2023-08-14,0.34074074074074073
2024-04-20,0.05,C-2023-08-14,0.05555555555555555
2024-04-20,0.05,D-2023-08-14,0.21851851851851853
2024-04-20,0.05,E-2023-08-14,0.07407407407407407
2024-04-20,0.05,F-2023-08-14,0.15185185185185185
2023-11-04,0.15,A-2023-08-14,0.15432098765432098
2023-11-04,0.15,B-2023-08-14,0.1728395061728395
2023-11-04,0.15,C-2023-08-14,0.16049382716049382
2023-11-04,0.15,D-2023-08-14,0.15555555555555556
2023-11-04,0.15,E-2023-08-14,0.19753086419753085
2023-11-04,0.15,F-2023-08-14,0.15925925925925927
2023-11-11,0.15,A-2023-08-14,0.1617283950617284
2023-11-11,0.15,B-2023-08-14,0.1814814814814815
2023-11-11,0.15,C-2023-08-14,0.15679012345679014
2023-11-11,0.15,D-2023-08-14,0.15925925925925927
2023-11-11,0.15,E-2023-08-14,0.1814814814814815
2023-11-11,0.15,F-2023-08-14,0.15925925925925927
2023-11-18,0.15,A-2023-08-14,0.15185185185185185
2023-11-18,0.15,B-2023-08-14,0.1925925925925926
2023-11-18,0.15,C-2023-08-14,0.1469135802469136
2023-11-18,0.15,D-2023-08-14,0.18024691358024691
2023-11-18,0.15,E-2023-08-14,0.15925925925925927
2023-11-18,0.15,F-2023-08-14,0.16913580246913582
2023-11-25,0.15,A-2023-08-14,0.12098765432098765
2023-11-25,0.15,B-2023-08-14,0.22469135802469137
2023-11-25,0.15,C-2023-08-14,0.14444444444444443
2023-11-25,0.15,D-2023-08-14,0.18395061728395062
2023-11-25,0.15,E-2023-08-14,0.15308641975308643
2023-11-25,0.15,F-2023-08-14,0.1728395061728395
2023-12-02,0.15,A-2023-08-14,0.11851851851851852
2023-12-02,0.15,B-2023-08-14,0.22469135802469137
2023-12-02,0.15,C-2023-08-14,0.11728395061728394
2023-12-02,0.15,D-2023-08-14,0.2
2023-12-02,0.15,E-2023-08-14,0.1506172839506173
2023-12-02,0.15,F-2023-08-14,0.18888888888888888
