week,k,scenario,posterior_value
2024-11-09,0.05,A-2024-08-01,0.13170731707317074
2024-11-09,0.05,B-2024-08-01,0.2634146341463415
2024-11-09,0.05,C-2024-08-01,0.15121951219512195
2024-11-09,0.05,D-2024-08-01,0.2731707317073171
2024-11-09,0.05,E-2024-08-01,0.18048780487804877
2024-11-09,0.05,F-2024-08-01,0.0
2024-11-16,0.05,A-2024-08-01,0.12195121951219512
2024-11-16,0.05,B-2024-08-01,0.2
2024-11-16,0.05,C-2024-08-01,0.1951219512195122
2024-11-16,0.05,D-2024-08-01,0.2097560975609756
2024-11-16,0.05,E-2024-08-01,0.2731707317073171
2024-11-16,0.05,F-2024-08-01,0.0
2024-11-23,0.05,A-2024-08-01,0.15609756097560976
2024-11-23,0.05,B-2024-08-01,0.18048780487804877
2024-11-23,0.05,C-2024-08-01,0.17560975609756097
2024-11-23,0.05,D-2024-08-01,0.2048780487804878
2024-11-23,0.05,E-2024-08-01,0.28292682926829266
2024-11-23,0.05,F-2024-08-01,0.0
2024-11-30,0.05,A-2024-08-01,0.13170731707317074
2024-11-30,0.05,B-2024-08-01,0.2097560975609756
2024-11-30,0.05,C-2024-08-01,0.16097560975609757
2024-11-30,0.05,D-2024-08-01,0.1951219512195122
2024-11-30,0.05,E-2024-08-01,0.3024390243902439
2024-11-30,0.05,F-2024-08-01,0.0
2024-12-07,0.05,A-2024-08-01,0.12682926829268293
2024-12-07,0.05,B-2024-08-01,0.1951219512195122
2024-12-07,0.05,C-2024-08-01,0.15609756097560976
2024-12-07,0.05,D-2024-08-01,0.2048780487804878
2024-12-07,0.05,E-2024-08-01,0.3170731707317073
2024-12-07,0.05,F-2024-08-01,0.0
2024-12-14,0.05,A-2024-08-01,0.07804878048780488
2024-12-14,0.05,B-2024-08-01,0.18048780487804877
2024-12-14,0.05,C-2024-08-01,0.2048780487804878
2024-12-14,0.05,D-2024-08-01,0.1951219512195122
2024-12-14,0.05,E-2024-08-01,0.34146341463414637
2024-12-14,0.05,F-2024-08-01,0.0
2024-12-21,0.05,A-2024-08-01,0.06341463414634146
2024-12-21,0.05,B-2024-08-01,0.15609756097560976
2024-12-21,0.05,C-2024-08-01,0.16097560975609757
2024-12-21,0.05,D-2024-08-01,0.18048780487804877
2024-12-21,0.05,E-2024-08-01,0.43902439024390244
2024-12-21,0.05,F-2024-08-01,0.0
2024-12-28,0.05,A-2024-08-01,0.1024390243902439
2024-12-28,0.05,B-2024-08-01,0.14634146341463414
2024-12-28,0.05,C-2024-08-01,0.09268292682926829
2024-12-28,0.05,D-2024-08-01,0.12682926829268293
2024-12-28,0.05,E-2024-08-01,0.5317073170731708
2024-12-28,0.05,F-2024-08-01,0.0
2025-01-04,0.05,A-2024-08-01,0.08292682926829269
2025-01-04,0.05,B-2024-08-01,0.14634146341463414
2025-01-04,0.05,C-2024-08-01,0.08780487804878048
2025-01-04,0.05,D-2024-08-01,0.11707317073170732
2025-01-04,0.05,E-2024-08-01,0.5658536585365853
2025-01-04,0.05,F-2024-08-01,0.0
2025-01-11,0.05,A-2024-08-01,0.07804878048780488
2025-01-11,0.05,B-2024-08-01,0.15121951219512195
2025-01-11,0.05,C-2024-08-01,0.07317073170731707
2025-01-11,0.05,D-2024-08-01,0.1073170731707317
2025-01-11,0.05,E-2024-08-01,0.5902439024390244
2025-01-11,0.05,F-2024-08-01,0.0
2025-01-18,0.05,A-2024-08-01,0.07804878048780488
2025-01-18,0.05,B-2024-08-01,0.14634146341463414
2025-01-18,0.05,C-2024-08-01,0.07804878048780488
2025-01-18,0.05,D-2024-08-01,0.11219512195121951
2025-01-18,0.05,E-2024-08-01,0.5853658536585366
2025-01-18,0.05,F-2024-08-01,0.0
2025-01-25,0.05,A-2024-08-01,0.06829268292682927
2025-01-25,0.05,B-2024-08-01,0.13170731707317074
2025-01-25,0.05,C-2024-08-01,0.11219512195121951
2025-01-25,0.05,D-2024-08-01,0.0975609756097561
2025-01-25,0.05,E-2024-08-01,0.5902439024390244
2025-01-25,0.05,F-2024-08-01,0.0
2025-02-01,0.05,A-2024-08-01,0.1024390243902439
2025-02-01,0.05,B-2024-08-01,0.1073170731707317
2025-02-01,0.05,C-2024-08-01,0.1073170731707317
2025-02-01,0.05,D-2024-08-01,0.07804878048780488
2025-02-01,0.05,E-2024-08-01,0.6048780487804878
2025-02-01,0.05,F-2024-08-01,0.0
2025-02-08,0.05,A-2024-08-01,0.1073170731707317
2025-02-08,0.05,B-2024-08-01,0.1024390243902439
2025-02-08,0.05,C-2024-08-01,0.11707317073170732
2025-02-08,0.05,D-2024-08-01,0.06829268292682927
2025-02-08,0.05,E-2024-08-01,0.6048780487804878
2025-02-08,0.05,F-2024-08-01,0.0
2025-02-15,0.05,A-2024-08-01,0.11219512195121951
2025-02-15,0.05,B-2024-08-01,0.0975609756097561
2025-02-15,0.05,C-2024-08-01,0.12682926829268293
2025-02-15,0.05,D-2024-08-01,0.06341463414634146
2025-02-15,0.05,E-2024-08-01,0.6
2025-02-15,0.05,F-2024-08-01,0.0
