"","quantile","value","horizon"
"1",0.01,5,10
"2",0.025,6.41021516187412,10
"3",0.05,9.07527352056512,10
"4",0.1,12.3472984686507,10
"5",0.15,15.9801817898567,10
"6",0.2,19.1308114532946,10
"7",0.25,21.8211723935041,10
"8",0.3,24.4909404909209,10
"9",0.35,27.1325687681601,10
"10",0.4,30.6229858122475,10
"11",0.45,34.4656819822212,10
"12",0.5,39.7895714924317,10
"13",0.55,47.4402905931667,10
"14",0.6,54.6217939227073,10
"15",0.65,63.5044303742221,10
"16",0.7,76.8940725680461,10
"17",0.75,95.1885188018063,10
"18",0.8,118.97555230306,10
"19",0.85,152.169512848571,10
"20",0.9,210.798739108005,10
"21",0.95,304.4075,10
"22",0.975,389.791,10
"23",0.99,495.929,10
"24",0.01,4,11
"25",0.025,8.6604720937967,11
"26",0.05,12.209829790581,11
"27",0.1,16.9293402023385,11
"28",0.15,21.1230186035689,11
"29",0.2,24.2491723669993,11
"30",0.25,27.3783413888649,11
"31",0.3,30.3116828164909,11
"32",0.35,33.8243525642339,11
"33",0.4,37.8872644723396,11
"34",0.45,43.0083182275891,11
"35",0.5,50.853533348699,11
"36",0.55,60.3766243127995,11
"37",0.6,69.0274308778237,11
"38",0.65,81.5496005214341,11
"39",0.7,104.102799450515,11
"40",0.75,139.855349416383,11
"41",0.8,189.120391591096,11
"42",0.85,245.648890215852,11
"43",0.9,315.543218810358,11
"44",0.95,413.496205204965,11
"45",0.975,514.94075,11
"46",0.99,603.4875,11
"47",0.01,8,12
"48",0.025,10.3793103448276,12
"49",0.05,14.0951952108277,12
"50",0.1,21.1590746274221,12
"51",0.15,25.4101569281278,12
"52",0.2,29.694880703575,12
"53",0.25,33.8419484897853,12
"54",0.3,37.5666156340676,12
"55",0.35,41.7630204110785,12
"56",0.4,47.1314080582504,12
"57",0.45,55.3260985107835,12
"58",0.5,65.059998528967,12
"59",0.55,75.3219458136377,12
"60",0.6,88.8299580113056,12
"61",0.65,106.970225435094,12
"62",0.7,141.039062693971,12
"63",0.75,203.498143696721,12
"64",0.8,285.488358893412,12
"65",0.85,361.568062832057,12
"66",0.9,455.122382936356,12
"67",0.95,541.031455290021,12
"68",0.975,617.833192590078,12
"69",0.99,694.904,12
"70",0.01,10.2557025765677,13
"71",0.025,12.0915186880845,13
"72",0.05,15.9348759188909,13
"73",0.1,22.5195394177685,13
"74",0.15,27.6517745838011,13
"75",0.2,33.6751576833934,13
"76",0.25,39.4983024009879,13
"77",0.3,44.1870224642561,13
"78",0.35,51.8396618807742,13
"79",0.4,59.7525935506153,13
"80",0.45,70.1112408552472,13
"81",0.5,80.1884827174399,13
"82",0.55,92.6925241343628,13
