"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,0,1
"8",0.3,0.0600652765873879,1
"9",0.35,0.0958514992855568,1
"10",0.4,0.124984990578689,1
"11",0.45,0.191011515143304,1
"12",0.5,0.274030822245621,1
"13",0.55,0.296812482052264,1
"14",0.6,0.328098833218943,1
"15",0.65,0.360768702814001,1
"16",0.7,0.39343857240906,1
"17",0.75,0.856115107913669,1
"18",0.8,1.5698421975453,1
"19",0.85,2.00394265232975,1
"20",0.9,2.30952380952381,1
"21",0.95,3.00256735340729,1
"22",0.975,3.69927163293789,1
"23",0.99,5.06857142857144,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0,2
"30",0.25,0,2
"31",0.3,0,2
"32",0.35,0.0529827467214944,2
"33",0.4,0.0841993214733317,2
"34",0.45,0.104439688519157,2
"35",0.5,0.237900874635569,2
"36",0.55,0.321115358668766,2
"37",0.6,0.408114961961116,2
"38",0.65,0.979529946929492,2
"39",0.7,1.515625,2
"40",0.75,1.86696265507904,2
"41",0.8,2.17259786476868,2
"42",0.85,2.67590822179732,2
"43",0.9,3.34722222222222,2
"44",0.95,4.64517787374049,2
"45",0.975,5.31213217559093,2
"46",0.99,6.3920792079208,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,0,3
"54",0.3,0.0201646250700508,3
"55",0.35,0.0495683333688071,3
"56",0.4,0.0993358923259338,3
"57",0.45,0.171307751135903,3
"58",0.5,0.21162471395881,3
"59",0.55,0.334960548632108,3
"60",0.6,0.55388744403672,3
"61",0.65,0.906965502087453,3
"62",0.7,1.28768656716418,3
"63",0.75,1.64434523809524,3
"64",0.8,2.1036036036036,3
"65",0.85,2.61463352777073,3
"66",0.9,3.196911482193,3
"67",0.95,4.41670185810811,3
"68",0.975,5.33817360438851,3
"69",0.99,6.12436037486345,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0,4
"77",0.3,0.0222590112126256,4
"78",0.35,0.0615820405436961,4
"79",0.4,0.0969574821297342,4
"80",0.45,0.189809915873624,4
"81",0.5,0.306132381570409,4
"82",0.55,0.441762530813476,4
"83",0.6,0.622816166883964,4
"84",0.65,0.975798026697621,4
"85",0.7,1.49216691068814,4
"86",0.75,1.98467471379656,4
"87",0.8,2.9907240725408,4
"88",0.85,4.06659724745765,4
"89",0.9,5.41087613293051,4
"90",0.95,7.07166419229108,4
"91",0.975,8.5364238410596,4
"92",0.99,9.87710843373493,4
"93",0.01,0,5
