"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,0,1
"8",0.3,0.0378949915155842,1
"9",0.35,0.0645928733622828,1
"10",0.4,0.0969523874013445,1
"11",0.45,0.147045650864697,1
"12",0.5,0.198014301943578,1
"13",0.55,0.199968599245014,1
"14",0.6,0.328944032150232,1
"15",0.65,0.379310344827586,1
"16",0.7,0.448,1
"17",0.75,0.9095,1
"18",0.8,1.27941176470589,1
"19",0.85,1.51612903225807,1
"20",0.9,1.82274247491639,1
"21",0.95,2.19373818028998,1
"22",0.975,2.43179255918827,1
"23",0.99,2.75333116672083,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0,2
"30",0.25,0,2
"31",0.3,0.0711015278943284,2
"32",0.35,0.0977121439357004,2
"33",0.4,0.137290016968226,2
"34",0.45,0.191971348611424,2
"35",0.5,0.25485981821237,2
"36",0.55,0.365987628350659,2
"37",0.6,0.432985082354535,2
"38",0.65,0.554660510711467,2
"39",0.7,0.662658491576879,2
"40",0.75,0.921514818880352,2
"41",0.8,1.69885641677255,2
"42",0.85,2.22929566563467,2
"43",0.9,2.72953736654804,2
"44",0.95,3.4825,2
"45",0.975,3.90725,2
"46",0.99,4.1635,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,0.0697052018926815,3
"54",0.3,0.103911274811537,3
"55",0.35,0.155378380666175,3
"56",0.4,0.209500894839312,3
"57",0.45,0.296909544946172,3
"58",0.5,0.404591303156978,3
"59",0.55,0.515840174344343,3
"60",0.6,0.645524656562318,3
"61",0.65,0.773917888465777,3
"62",0.7,0.940887256876494,3
"63",0.75,1.31909636427815,3
"64",0.8,2.316,3
"65",0.85,3.6475,3
"66",0.9,4.43,3
"67",0.95,5.8175,3
"68",0.975,6.49025,3
"69",0.99,6.9845,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0.0615276721696384,4
"76",0.25,0.123727924856636,4
"77",0.3,0.187975710404209,4
"78",0.35,0.261780253456058,4
"79",0.4,0.383188343764612,4
"80",0.45,0.504197352653306,4
"81",0.5,0.617806717627214,4
"82",0.55,0.744538351526652,4
"83",0.6,0.890113206223451,4
"84",0.65,1.16175694828675,4
"85",0.7,1.50182692188393,4
"86",0.75,2.04479426177896,4
"87",0.8,3.56666943521595,4
"88",0.85,5.9425,4
"89",0.9,7.215,4
"90",0.95,9.475,4
"91",0.975,10.518,4
"92",0.99,11.405,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0,5
