"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0.0651347193578329,1
"5",0.15,0.129685573631763,1
"6",0.2,0.246547093428297,1
"7",0.25,0.363408613224831,1
"8",0.3,0.480270133021364,1
"9",0.35,1.13643533123028,1
"10",0.4,1.60787305462313,1
"11",0.45,1.81828839390387,1
"12",0.5,1.92527662020405,1
"13",0.55,1.98060066101451,1
"14",0.6,2.11292875989446,1
"15",0.65,2.46728971962617,1
"16",0.7,3.00466855957191,1
"17",0.75,5.21149773504845,1
"18",0.8,7.25,1
"19",0.85,8.5,1
"20",0.9,9.64285714285714,1
"21",0.95,11.3824451410658,1
"22",0.975,13.1591304347826,1
"23",0.99,15.4972496025437,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.0231939064525037,2
"30",0.25,0.818605255903116,2
"31",0.3,1.40847659743615,2
"32",0.35,1.8610433934666,2
"33",0.4,1.99670564981058,2
"34",0.45,2.19494252873563,2
"35",0.5,2.6083903492978,2
"36",0.55,3.0269480756591,2
"37",0.6,4.74254664919391,2
"38",0.65,6.75,2
"39",0.7,8.51046153846154,2
"40",0.75,10.0547275267816,2
"41",0.8,11.7,2
"42",0.85,14.0712166172107,2
"43",0.9,16.1921614802355,2
"44",0.95,18.4670648611765,2
"45",0.975,21.2794534387525,2
"46",0.99,23.1283430649947,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0.00112973017501961,3
"53",0.25,0.993220140515223,3
"54",0.3,1.19393208760297,3
"55",0.35,1.77045916294189,3
"56",0.4,2.02416356877323,3
"57",0.45,2.71331058020478,3
"58",0.5,3.2436067262759,3
"59",0.55,4.19678754659735,3
"60",0.6,5.44471540847615,3
"61",0.65,7.06238990629498,3
"62",0.7,8.96183825112756,3
"63",0.75,10.7019807907409,3
"64",0.8,12.5817706387748,3
"65",0.85,15.526794523185,3
"66",0.9,18.743716436306,3
"67",0.95,22.7448531870778,3
"68",0.975,25.1161863730122,3
"69",0.99,28.0932126098738,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0.419999999999999,4
"77",0.3,1.20578365843678,4
"78",0.35,1.99933159717193,4
"79",0.4,2.13269827641524,4
"80",0.45,3.14036725313169,4
"81",0.5,3.96270226680558,4
"82",0.55,4.85060427952149,4
"83",0.6,6.54508968038144,4
"84",0.65,8.25815148971884,4
"85",0.7,10.0749175573704,4
"86",0.75,12.2957827756363,4
"87",0.8,15.3371188522205,4
"88",0.85,20.40157916031,4
"89",0.9,23.7109276778429,4
"90",0.95,28.0446777487794,4
