"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,2.89,1
"8",0.3,3.2,1
"9",0.35,4.70576683903911,1
"10",0.4,8.94471738049732,1
"11",0.45,11.0106368802771,1
"12",0.5,13.0227650564923,1
"13",0.55,14.570144551363,1
"14",0.6,15.8220058591923,1
"15",0.65,17.2020549909327,1
"16",0.7,19.3199733407105,1
"17",0.75,22.3502119774472,1
"18",0.8,40.4095,1
"19",0.85,49.55,1
"20",0.9,61.55,1
"21",0.95,69.575,1
"22",0.975,76.535,1
"23",0.99,82.105,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,1.455,2
"30",0.25,3.59010175763182,2
"31",0.3,4.04096834264432,2
"32",0.35,4.87840585603904,2
"33",0.4,9.49866365328599,2
"34",0.45,12.9030011920408,2
"35",0.5,15.0951489246408,2
"36",0.55,16.935008096286,2
"37",0.6,19.1974214738101,2
"38",0.65,21.3696286607831,2
"39",0.7,24.6337982774947,2
"40",0.75,28.0388155129726,2
"41",0.8,38.0867500943115,2
"42",0.85,52.775,2
"43",0.9,70.4,2
"44",0.95,88.9,2
"45",0.975,103.0225,2
"46",0.99,114.49,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,2.445,3
"53",0.25,4.88518518518519,3
"54",0.3,5.62038273253227,3
"55",0.35,6.80069204152249,3
"56",0.4,10.9160042348655,3
"57",0.45,14.5515538637376,3
"58",0.5,17.1365152209383,3
"59",0.55,19.8367752348999,3
"60",0.6,22.9444470970225,3
"61",0.65,26.8772868735634,3
"62",0.7,31.6953758961932,3
"63",0.75,38.5994656962697,3
"64",0.8,45.7558558792491,3
"65",0.85,63.1173094362221,3
"66",0.9,83.75,3
"67",0.95,113.35,3
"68",0.975,139.3025,3
"69",0.99,166.62,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0.46,4
"75",0.2,2.4246,4
"76",0.25,7.05201715635915,4
"77",0.3,8.31440046382883,4
"78",0.35,10.19452488017,4
"79",0.4,13.997434053848,4
"80",0.45,17.6342614676126,4
"81",0.5,20.9870178330859,4
"82",0.55,23.9845671914482,4
"83",0.6,27.3917532398159,4
"84",0.65,32.0385259091067,4
"85",0.7,37.2727472045466,4
"86",0.75,46.5003082346186,4
"87",0.8,60.5343420514548,4
"88",0.85,77.4094452640897,4
"89",0.9,105.280223094052,4
"90",0.95,145.65,4
"91",0.975,185.155,4
"92",0.99,222.89,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0.262857142857143,5
"97",0.15,0.92,5
