"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0.0282840796784111,1
"3",0.05,0.0418637257245628,1
"4",0.1,0.0940556725763529,1
"5",0.15,0.134474638284568,1
"6",0.2,0.174893603992782,1
"7",0.25,1.08264984227129,1
"8",0.3,1.54195583596215,1
"9",0.35,2.00036120642947,1
"10",0.4,2.14087301587302,1
"11",0.45,2.64505776636714,1
"12",0.5,3.50074171748805,1
"13",0.55,3.66401827391002,1
"14",0.6,3.9600282985497,1
"15",0.65,4.41760088142129,1
"16",0.7,6.04629629629629,1
"17",0.75,10.3786885245902,1
"18",0.8,15.6929242329368,1
"19",0.85,20.0018903591682,1
"20",0.9,22.6243614931238,1
"21",0.95,26.5149700598802,1
"22",0.975,30.3164642375169,1
"23",0.99,35.1920308310992,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.00608047159329812,2
"30",0.25,1.40398005741182,2
"31",0.3,1.99509398624313,2
"32",0.35,2.01792123552124,2
"33",0.4,2.13757327729234,2
"34",0.45,2.30453541019579,2
"35",0.5,2.88575428379438,2
"36",0.55,4.88364473567698,2
"37",0.6,9.24766534933897,2
"38",0.65,14.4270462633452,2
"39",0.7,18.741935483871,2
"40",0.75,23.1443298969072,2
"41",0.8,29.3887688984881,2
"42",0.85,40.2422636103152,2
"43",0.9,49.6149651972158,2
"44",0.95,55.5,2
"45",0.975,59.5,2
"46",0.99,62.4,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,1.01942446043165,3
"54",0.3,1.39454545454545,3
"55",0.35,1.81028037383178,3
"56",0.4,1.9803738317757,3
"57",0.45,2.31516853932584,3
"58",0.5,3.13304720631001,3
"59",0.55,7.58122744850125,3
"60",0.6,10.3203382503089,3
"61",0.65,13.8129895561358,3
"62",0.7,17.3691523330006,3
"63",0.75,22.0711976600985,3
"64",0.8,27.2314587169112,3
"65",0.85,45.445,3
"66",0.9,67.2907692614214,3
"67",0.95,76,3
"68",0.975,80.575,3
"69",0.99,84.8,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0.657963667089142,4
"77",0.3,1.05106382978723,4
"78",0.35,1.8386911870074,4
"79",0.4,1.96909481729162,4
"80",0.45,2.48854207822995,4
"81",0.5,3.21896333754741,4
"82",0.55,7.1211376664263,4
"83",0.6,10.9012420657614,4
"84",0.65,14.9863498305799,4
"85",0.7,19.5730309013488,4
"86",0.75,24.656527416397,4
"87",0.8,30.5521296737442,4
"88",0.85,59.3054019396839,4
"89",0.9,70.0065613691194,4
"90",0.95,77.5137303726144,4
"91",0.975,84.3022170207128,4
"92",0.99,98.8681378730556,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0,5
"97",0.15,0,5
"98",0.2,0,5
"99",0.25,0.448275862068966,5
"100",0.3,0.986206896551724,5
"101",0.35,1.61379310344828,5
"102",0.4,2.12056705079602,5
"103",0.45,2.99652688972892,5
"104",0.5,4.2138027986157,5
"105",0.55,7.39746595761824,5
"106",0.6,10.9238850084447,5
"107",0.65,14.4903898158937,5
"108",0.7,18.4674469641551,5
"109",0.75,23.4844895535281,5
"110",0.8,33.5111729023181,5
"111",0.85,39.5898524810013,5
"112",0.9,44.9960130493342,5
"113",0.95,53.9969548613588,5
"114",0.975,91,5
"115",0.99,297.455999999999,5
"116",0.01,0,6
"117",0.025,0,6
"118",0.05,0,6
"119",0.1,0,6
"120",0.15,0,6
"121",0.2,0.00343211914849513,6
"122",0.25,0.285825503355704,6
"123",0.3,1.13749050912499,6
"124",0.35,1.92730243182563,6
"125",0.4,2.50467661839927,6
"126",0.45,3.59181668875851,6
"127",0.5,5.03105732449669,6
"128",0.55,7.18207196992935,6
"129",0.6,9.78178393132812,6
"130",0.65,13.236397047815,6
"131",0.7,17.0836483805087,6
"132",0.75,22.7815900758563,6
"133",0.8,29.6016267683636,6
"134",0.85,34.6625921330504,6
"135",0.9,39.7807483714681,6
"136",0.95,48.683953564969,6
"137",0.975,244.7,6
"138",0.99,467.734999999998,6
"139",0.01,0,7
"140",0.025,0,7
"141",0.05,0,7
"142",0.1,0,7
"143",0.15,0,7
"144",0.2,0.0459713296236756,7
"145",0.25,0.816225577317325,7
"146",0.3,1.90671102966854,7
"147",0.35,2.07742679029359,7
"148",0.4,2.9822289687041,7
"149",0.45,4.8187092468633,7
"150",0.5,6.12723204296264,7
"151",0.55,7.93620627837752,7
"152",0.6,10.1628809562915,7
"153",0.65,12.3606074275855,7
"154",0.7,15.2221976494376,7
"155",0.75,19.9507941975624,7
"156",0.8,25.3772799997456,7
"157",0.85,30.7196060694015,7
"158",0.9,34.5088800048583,7
"159",0.95,42.8375040509887,7
"160",0.975,292.9475,7
"161",0.99,560.002999999998,7
"162",0.01,0,8
"163",0.025,0,8
"164",0.05,0,8
"165",0.1,0,8
"166",0.15,0.013483134643125,8
"167",0.2,0.561319535210378,8
"168",0.25,1.50706186637375,8
"169",0.3,2.10250364172386,8
"170",0.35,2.8297879738647,8
"171",0.4,4.7384043318816,8
"172",0.45,6.43676026907031,8
"173",0.5,8.31569235224706,8
"174",0.55,10.5142856884598,8
"175",0.6,12.8770577331489,8
"176",0.65,15.4318887894179,8
"177",0.7,19.0220382138347,8
"178",0.75,23.7439339255355,8
"179",0.8,28.4090088809462,8
"180",0.85,32.1609712407052,8
"181",0.9,37.0630279754958,8
"182",0.95,42.8952339044953,8
"183",0.975,145.9,8
