"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,1.59373835259038,1
"8",0.3,1.68315669439227,1
"9",0.35,1.76872607982504,1
"10",0.4,1.89368556701031,1
"11",0.45,2.09354082998661,1
"12",0.5,2.3646404744255,1
"13",0.55,3.00404694455686,1
"14",0.6,3.93683210638803,1
"15",0.65,5.69935882213251,1
"16",0.7,8.61934722768383,1
"17",0.75,12.7607388990666,1
"18",0.8,37.0576521548738,1
"19",0.85,65.6775426375534,1
"20",0.9,73.4680096335494,1
"21",0.95,86.6064017907881,1
"22",0.975,99.7603601444423,1
"23",0.99,115.230999575926,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.492002531936933,2
"30",0.25,0.798344692156636,2
"31",0.3,0.973667711598746,2
"32",0.35,1.14814814814815,2
"33",0.4,1.50980392156863,2
"34",0.45,2.09199318568995,2
"35",0.5,2.75250227479527,2
"36",0.55,3.73744693753791,2
"37",0.6,4.47512437810945,2
"38",0.65,5.92363369348579,2
"39",0.7,9.10225007120478,2
"40",0.75,17.2575,2
"41",0.8,57.9479031853551,2
"42",0.85,106.469178056943,2
"43",0.9,121.031771091909,2
"44",0.95,148.461502842854,2
"45",0.975,176.34094793719,2
"46",0.99,207.498261423247,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0.385676855895197,3
"53",0.25,0.475312916111851,3
"54",0.3,0.613333333333333,3
"55",0.35,0.829803921568628,3
"56",0.4,1.1829268292683,3
"57",0.45,2.75750790305585,3
"58",0.5,3.31848329370542,3
"59",0.55,4.63533834586466,3
"60",0.6,6.07379375591296,3
"61",0.65,7.11909871244636,3
"62",0.7,9.79526892128984,3
"63",0.75,28.8075,3
"64",0.8,92.0212060641974,3
"65",0.85,176.111947382431,3
"66",0.9,204.399049662994,3
"67",0.95,256.301421922504,3
"68",0.975,314.550698227149,3
"69",0.99,376.847157237786,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0.127591240875912,4
"75",0.2,0.199785522788204,4
"76",0.25,0.288627450980392,4
"77",0.3,0.50622009569378,4
"78",0.35,0.850752688172043,4
"79",0.4,1.02721969878079,4
"80",0.45,3,4
"81",0.5,4.29508196721312,4
"82",0.55,4.98897252199148,4
"83",0.6,7.21224489795918,4
"84",0.65,9.89820519689258,4
"85",0.7,12.1528356964137,4
"86",0.75,47.695,4
"87",0.8,144.749082515733,4
"88",0.85,284.788116676889,4
"89",0.9,343.34386883336,4
"90",0.95,442.351340835389,4
"91",0.975,534.96365408068,4
"92",0.99,646.538750249469,4
