"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,0,1
"8",0.3,0,1
"9",0.35,0,1
"10",0.4,0.0833333333333333,1
"11",0.45,0.299065420560748,1
"12",0.5,0.402696365767878,1
"13",0.55,0.424197353574726,1
"14",0.6,0.458057395143488,1
"15",0.65,0.49390243902439,1
"16",0.7,0.568673585143481,1
"17",0.75,0.660790993926825,1
"18",0.8,0.794439380127621,1
"19",0.85,0.881546206816735,1
"20",0.9,1.01026853340577,1
"21",0.95,1.22315515417785,1
"22",0.975,1.31397781962754,1
"23",0.99,1.83744091355829,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0,2
"30",0.25,0,2
"31",0.3,0,2
"32",0.35,0.0527522935779814,2
"33",0.4,0.213724088634739,2
"34",0.45,0.417958311063602,2
"35",0.5,0.63128393958308,2
"36",0.55,0.683497425706802,2
"37",0.6,0.71341874578557,2
"38",0.65,0.752191503708699,2
"39",0.7,0.791574889867841,2
"40",0.75,0.85221013131201,2
"41",0.8,0.944231394215145,2
"42",0.85,1.06001304631442,2
"43",0.9,1.23709652667656,2
"44",0.95,1.52387535594671,2
"45",0.975,2.26797057840187,2
"46",0.99,2.83645311218445,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,0,3
"54",0.3,0,3
"55",0.35,0.216847173441251,3
"56",0.4,0.441937732798606,3
"57",0.45,0.650319102843049,3
"58",0.5,0.904267138063557,3
"59",0.55,0.953229545664184,3
"60",0.6,1.03009170694381,3
"61",0.65,1.13489976784856,3
"62",0.7,1.20018706941875,3
"63",0.75,1.27293519123942,3
"64",0.8,1.38202590049115,3
"65",0.85,1.54650361670164,3
"66",0.9,1.74782221811707,3
"67",0.95,2.40099860898628,3
"68",0.975,3.54187578419071,3
"69",0.99,4.18687999999999,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0,4
"77",0.3,0.132946668148548,4
"78",0.35,0.328656334487021,4
"79",0.4,0.523668119425353,4
"80",0.45,0.709334847484522,4
"81",0.5,0.874925549910604,4
"82",0.55,1.12123582979742,4
"83",0.6,1.558282842107,4
"84",0.65,1.80851726456913,4
"85",0.7,1.91142322008818,4
"86",0.75,1.99962949287633,4
"87",0.8,2.11586746953148,4
"88",0.85,2.37900575775652,4
"89",0.9,2.78790234556531,4
"90",0.95,3.37369989215113,4
"91",0.975,4.02507180067951,4
"92",0.99,5.53312144226973,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
