"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0.0963195512632262,1
"4",0.1,0.149765126860852,1
"5",0.15,0.281023139169975,1
"6",0.2,0.42914627178665,1
"7",0.25,0.577269404403326,1
"8",0.3,0.833333333333333,1
"9",0.35,1.8625,1
"10",0.4,2.55150925024343,1
"11",0.45,3.08351132986627,1
"12",0.5,3.1970863704052,1
"13",0.55,3.34142363775902,1
"14",0.6,3.51707110609481,1
"15",0.65,3.67815379163714,1
"16",0.7,3.97251583329354,1
"17",0.75,7.28301886792452,1
"18",0.8,9.78571428571429,1
"19",0.85,11.4166666666667,1
"20",0.9,13.1974921630094,1
"21",0.95,17.2,1
"22",0.975,22,1
"23",0.99,27.23,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.0652897896199814,2
"30",0.25,1.68181818181818,2
"31",0.3,2.37229437229437,2
"32",0.35,2.96706586826347,2
"33",0.4,3.25872945357619,2
"34",0.45,3.51993898452822,2
"35",0.5,3.85790113900254,2
"36",0.55,4.56564000119264,2
"37",0.6,5.9854432348367,2
"38",0.65,7.72602739726027,2
"39",0.7,9.73333333333333,2
"40",0.75,12.1858407079646,2
"41",0.8,15.3839611178615,2
"42",0.85,19.0895133653187,2
"43",0.9,21.4285714285714,2
"44",0.95,24.75,2
"45",0.975,27.0451253481894,2
"46",0.99,29.8904210526316,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0.00223703276170739,3
"52",0.2,0.0239435391827829,3
"53",0.25,1.23809523809524,3
"54",0.3,1.88129496402878,3
"55",0.35,2.95098039215686,3
"56",0.4,3.29518072289157,3
"57",0.45,3.86994219653179,3
"58",0.5,4.38076923076923,3
"59",0.55,4.96287425149701,3
"60",0.6,6.58864353312303,3
"61",0.65,8.86956521739131,3
"62",0.7,10.5226049515608,3
"63",0.75,12.7344456572587,3
"64",0.8,17.7189947251077,3
"65",0.85,23.8151529351623,3
"66",0.9,29.6685393258427,3
"67",0.95,34,3
"68",0.975,36.5,3
"69",0.99,41.2,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0.0040171036035003,4
"76",0.25,1,4
"77",0.3,1.68988649783493,4
"78",0.35,3.06405761983028,4
"79",0.4,3.78459900638751,4
"80",0.45,4.57331056355209,4
"81",0.5,5.3816796875,4
"82",0.55,6.25882352941177,4
"83",0.6,7.70015022940436,4
"84",0.65,10.1326261573364,4
"85",0.7,12.6847393958366,4
"86",0.75,16.4126229280786,4
"87",0.8,20.4920895637153,4
"88",0.85,24.3385893106983,4
"89",0.9,27.857906522299,4
"90",0.95,30.8942307692308,4
"91",0.975,34.5114439107093,4
