"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,1.96078431372549,1
"8",0.3,2.17472434266327,1
"9",0.35,2.84351145038168,1
"10",0.4,3.59284731774415,1
"11",0.45,4.27415056628914,1
"12",0.5,6,1
"13",0.55,9,1
"14",0.6,11.5789915966387,1
"15",0.65,13.4207373271889,1
"16",0.7,14.8207760711399,1
"17",0.75,15.7095238095238,1
"18",0.8,42.5111014162362,1
"19",0.85,100.611253534262,1
"20",0.9,120.678622659149,1
"21",0.95,141.028846384766,1
"22",0.975,167.385379444255,1
"23",0.99,192.518958537978,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.959600000000002,2
"30",0.25,2.75023741690408,2
"31",0.3,3.05484221980413,2
"32",0.35,3.93016924208977,2
"33",0.4,4.64839549002602,2
"34",0.45,5.71012931034483,2
"35",0.5,6.72450211225105,2
"36",0.55,8,2
"37",0.6,11.7630985915493,2
"38",0.65,14.638506645817,2
"39",0.7,17.25,2
"40",0.75,19.525,2
"41",0.8,54.9775402311064,2
"42",0.85,135.250510881494,2
"43",0.9,168.091430126134,2
"44",0.95,203.518693982932,2
"45",0.975,248.119597489149,2
"46",0.99,282.386796236164,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0.959600000000002,3
"53",0.25,3.90083300277668,3
"54",0.3,4.37096774193548,3
"55",0.35,5.04459424423127,3
"56",0.4,6.21934197407777,3
"57",0.45,7.55039664022399,3
"58",0.5,9.27833241416579,3
"59",0.55,10.553091205628,3
"60",0.6,12.8090731255218,3
"61",0.65,15.65,3
"62",0.7,20.1,3
"63",0.75,26.475,3
"64",0.8,76.4629686211748,3
"65",0.85,181.271318178325,3
"66",0.9,243.429517821603,3
"67",0.95,295.16772071771,3
"68",0.975,371.371818515805,3
"69",0.99,425.116306965346,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0.713740959894806,4
"75",0.2,1.66774290887146,4
"76",0.25,4,4
"77",0.3,6.30484815470516,4
"78",0.35,6.99862448418157,4
"79",0.4,8.14610005379236,4
"80",0.45,9.46155782484165,4
"81",0.5,12.04337931933,4
"82",0.55,14.7915633163617,4
"83",0.6,17.2271677609237,4
"84",0.65,20.1859665482534,4
"85",0.7,24.65,4
"86",0.75,39.5,4
"87",0.8,110.549316635434,4
"88",0.85,243.374966131238,4
"89",0.9,340.345385781476,4
"90",0.95,434.440969700475,4
"91",0.975,540.460748095977,4
"92",0.99,643.768736484197,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0.46,5
