"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0.0281092747866251,1
"3",0.05,0.0415523090554664,1
"4",0.1,0.0932531650836833,1
"5",0.15,0.133327265650452,1
"6",0.2,0.173401366217221,1
"7",0.25,0.928571428571429,1
"8",0.3,1.40459770114943,1
"9",0.35,1.82298850574713,1
"10",0.4,2.07246376811594,1
"11",0.45,2.3811623246493,1
"12",0.5,3.41671869425615,1
"13",0.55,3.6427430397079,1
"14",0.6,3.9787972582409,1
"15",0.65,4.43799172568544,1
"16",0.7,5.90666666666667,1
"17",0.75,10.1269541778976,1
"18",0.8,16.2142857142857,1
"19",0.85,21.6842105263158,1
"20",0.9,24.4285714285714,1
"21",0.95,28.0503546099291,1
"22",0.975,31.2173378661088,1
"23",0.99,35.0024657534247,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0.00805812891968671,2
"30",0.25,0.448393488960099,2
"31",0.3,1.39221830516752,2
"32",0.35,2.04843773359247,2
"33",0.4,2.17073476029541,2
"34",0.45,2.36363636363636,2
"35",0.5,3.21267335766423,2
"36",0.55,5.14830521591086,2
"37",0.6,9.54347826086956,2
"38",0.65,14.907435508346,2
"39",0.7,20.1051094890511,2
"40",0.75,24.6052364864865,2
"41",0.8,31.0787929589271,2
"42",0.85,43.1263162475521,2
"43",0.9,50.2043734015345,2
"44",0.95,55.3357034433171,2
"45",0.975,59.5,2
"46",0.99,62.24,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,1.09004037685061,3
"54",0.3,1.56068601583113,3
"55",0.35,1.90836142953472,3
"56",0.4,2.0301948051948,3
"57",0.45,2.30211774671749,3
"58",0.5,2.69352941176471,3
"59",0.55,7.3918016303372,3
"60",0.6,10.4656217473826,3
"61",0.65,13.8397740250139,3
"62",0.7,17.6351182538386,3
"63",0.75,22.205523735505,3
"64",0.8,28.0452692996958,3
"65",0.85,50.325,3
"66",0.9,68,3
"67",0.95,75,3
"68",0.975,79.5,3
"69",0.99,84.46,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0.661016949152542,4
"77",0.3,1.08512396694215,4
"78",0.35,1.91893158388004,4
"79",0.4,1.98716026241799,4
"80",0.45,2.50902934537246,4
"81",0.5,3.29197358394717,4
"82",0.55,7.76528407492694,4
"83",0.6,11.767168648089,4
"84",0.65,15.5907966117826,4
"85",0.7,20.3143060161061,4
"86",0.75,25.3800922469873,4
"87",0.8,32.4645782692312,4
"88",0.85,59.4543710604672,4
"89",0.9,70.1277907442512,4
"90",0.95,75.9831938078969,4
"91",0.975,82.0035688547758,4
"92",0.99,104.773272553124,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0,5
"97",0.15,0,5
"98",0.2,0,5
"99",0.25,0.484745762711864,5
"100",0.3,1.10291213115728,5
"101",0.35,1.72724572684477,5
"102",0.4,2.23005400328716,5
"103",0.45,3.02538095493286,5
"104",0.5,4.31483596661593,5
"105",0.55,7.44906357301042,5
"106",0.6,11.2387515542349,5
"107",0.65,15.2215979328967,5
"108",0.7,19.2583483303339,5
"109",0.75,25.5568839260624,5
"110",0.8,34.146896870982,5
"111",0.85,39.2339520401646,5
"112",0.9,44.1655583046223,5
"113",0.95,53.9320236454157,5
"114",0.975,99.84,5
"115",0.99,322.083999999999,5
"116",0.01,0,6
"117",0.025,0,6
"118",0.05,0,6
"119",0.1,0,6
"120",0.15,0,6
"121",0.2,0.0063589425364784,6
"122",0.25,0.481647755303404,6
"123",0.3,1.4725892817743,6
"124",0.35,2.01347975622376,6
"125",0.4,2.83074158908085,6
"126",0.45,3.89336726464632,6
"127",0.5,5.45486131958455,6
"128",0.55,7.77158814056234,6
"129",0.6,10.5391875466954,6
"130",0.65,13.775116625975,6
"131",0.7,18.0149909813733,6
"132",0.75,24.1637677373129,6
"133",0.8,30.1714751522508,6
"134",0.85,34.2728157911182,6
"135",0.9,39.0482855720587,6
"136",0.95,51.6591702085775,6
"137",0.975,267.94,6
"138",0.99,487.699999999998,6
"139",0.01,0,7
"140",0.025,0,7
"141",0.05,0,7
"142",0.1,0,7
"143",0.15,0.00197355626676627,7
"144",0.2,0.0724984434759406,7
"145",0.25,0.933895934181223,7
"146",0.3,2.00217791003176,7
"147",0.35,2.08604728977542,7
"148",0.4,3.26277006113842,7
"149",0.45,4.84444709801957,7
"150",0.5,6.58897945393337,7
"151",0.55,8.57276818888813,7
"152",0.6,11.0423395971459,7
"153",0.65,13.8892278807792,7
"154",0.7,17.5575320050053,7
"155",0.75,22.2859976834233,7
"156",0.8,26.969873523401,7
"157",0.85,31.1201640560218,7
"158",0.9,35.3293789215675,7
"159",0.95,46.186664751672,7
"160",0.975,306.975,7
"161",0.99,634.302999999998,7
"162",0.01,0,8
"163",0.025,0,8
"164",0.05,0,8
"165",0.1,0,8
"166",0.15,0.0190734761360933,8
"167",0.2,0.862725078893633,8
"168",0.25,1.78667979383468,8
"169",0.3,2.15432523266637,8
"170",0.35,3.03436293480489,8
"171",0.4,5.19400658114196,8
"172",0.45,6.88188626900043,8
"173",0.5,8.67717097252748,8
"174",0.55,10.9448737154521,8
"175",0.6,13.5027006915354,8
"176",0.65,17.1059599548928,8
"177",0.7,20.4802985636165,8
"178",0.75,25.5400724221579,8
"179",0.8,29.5743781969381,8
"180",0.85,33.4075726590452,8
"181",0.9,37.1506450287784,8
"182",0.95,46.3418416937116,8
"183",0.975,142.41,8
"184",0.99,420.183,8
"185",0.01,0,9
"186",0.025,0,9
"187",0.05,0,9
"188",0.1,0.00833631550040267,9
"189",0.15,0.3700713311831,9
"190",0.2,1.62610921501706,9
"191",0.25,2.21947375402951,9
"192",0.3,2.64915398245225,9
"193",0.35,4.4632184441514,9
"194",0.4,6.80142720414964,9
"195",0.45,8.80400496406731,9
"196",0.5,11.2115417761916,9
"197",0.55,13.9386815264788,9
"198",0.6,16.6191753488378,9
"199",0.65,20.1178079232605,9
"200",0.7,24.1948783959136,9
"201",0.75,29.4819174727564,9
"202",0.8,35.0480287883262,9
"203",0.85,39.8919017032694,9
"204",0.9,46.9578868196623,9
"205",0.95,60.1659724869312,9
"206",0.975,116.9975,9
"207",0.99,203.314,9
"208",0.01,0,10
"209",0.025,0,10
"210",0.05,0.00646234251255491,10
"211",0.1,0.0694406047277177,10
"212",0.15,1.47870936964044,10
"213",0.2,2.32782218953704,10
"214",0.25,2.73361850768267,10
"215",0.3,4.83585758392155,10
"216",0.35,6.91873624375493,10
"217",0.4,8.99506884137108,10
"218",0.45,11.6129213500745,10
"219",0.5,14.5760076603734,10
"220",0.55,17.752718503668,10
"221",0.6,21.3870499764023,10
"222",0.65,26.6525723966929,10
"223",0.7,34.1116477244392,10
"224",0.75,43.628312528435,10
"225",0.8,52.2134782337762,10
"226",0.85,60.926615569634,10
"227",0.9,68.1784478123689,10
"228",0.95,86.1651775722707,10
"229",0.975,172.636470622744,10
"230",0.99,382.329577940349,10
"231",0.01,0,11
"232",0.025,0.00633007232123438,11
"233",0.05,0.0202667184739342,11
"234",0.1,0.389900272983006,11
"235",0.15,2.45728882507991,11
"236",0.2,2.95952542027925,11
"237",0.25,4.04168430924598,11
"238",0.3,6.91270025160928,11
"239",0.35,8.76763502764032,11
"240",0.4,11.4405601162467,11
"241",0.45,14.050325725982,11
"242",0.5,18.4766503812708,11
"243",0.55,23.1941578366527,11
"244",0.6,29.0897825250922,11
"245",0.65,35.2368733668598,11
"246",0.7,44.1022341399832,11
"247",0.75,59.8459614307762,11
"248",0.8,92.2570840015337,11
"249",0.85,106.25937406365,11
"250",0.9,117.265394767692,11
"251",0.95,164.397859360651,11
"252",0.975,256.563544532696,11
"253",0.99,531.086269001797,11
"254",0.01,0.00610605571558179,12
"255",0.025,0.0133834656391491,12
"256",0.05,0.083881879752988,12
"257",0.1,1.60081336241978,12
"258",0.15,3.29913228735111,12
"259",0.2,4.14099620994349,12
"260",0.25,6.45382568859277,12
"261",0.3,9.86911069949933,12
"262",0.35,13.1726801557806,12
"263",0.4,16.9621919753698,12
"264",0.45,21.1013460568311,12
"265",0.5,25.5570538632953,12
"266",0.55,32.1081478258419,12
"267",0.6,40.3142828899923,12
"268",0.65,49.4754240184991,12
"269",0.7,61.2143390373863,12
"270",0.75,82.4099699962002,12
"271",0.8,129.261190032677,12
"272",0.85,186.378946426174,12
"273",0.9,215.874274708078,12
"274",0.95,266.76120182887,12
"275",0.975,444.501740081648,12
"276",0.99,754.623849322872,12
"277",0.01,0.0093408387741591,13
"278",0.025,0.0358856020927298,13
"279",0.05,0.491044732341181,13
"280",0.1,2.36212953487046,13
"281",0.15,4.81227525976684,13
"282",0.2,6.71820988748022,13
"283",0.25,9.90801405796661,13
"284",0.3,14.5155924452092,13
"285",0.35,18.9614748150508,13
"286",0.4,23.327363429927,13
"287",0.45,28.8492775932559,13
"288",0.5,33.6551602702032,13
"289",0.55,39.072423196819,13
"290",0.6,47.6597788559877,13
"291",0.65,59.0889009663394,13
"292",0.7,72.7188465388536,13
"293",0.75,105.035476838778,13
"294",0.8,166.388697893422,13
"295",0.85,281.578395846884,13
"296",0.9,355.709760538513,13
"297",0.95,442.585042076385,13
"298",0.975,649.139345394674,13
"299",0.99,788.198401159323,13
"300",0.01,0.0218010562837745,14
"301",0.025,0.068827115718946,14
"302",0.05,1.20003998390694,14
"303",0.1,3.57463515695818,14
"304",0.15,6.38569968690644,14
"305",0.2,8.91121618468192,14
"306",0.25,13.8467898301434,14
"307",0.3,19.0057392246153,14
"308",0.35,24.9923897689037,14
"309",0.4,30.5469215999078,14
"310",0.45,35.7093054724412,14
"311",0.5,42.8325180273427,14
"312",0.55,49.6101791757487,14
"313",0.6,57.9685360538898,14
"314",0.65,74.5653110596268,14
"315",0.7,97.1884544135904,14
"316",0.75,129.158555017412,14
"317",0.8,202.685056922771,14
"318",0.85,357.637431175317,14
"319",0.9,510.13199734416,14
"320",0.95,655.822937580692,14
"321",0.975,745.47262270312,14
"322",0.99,866.402079786991,14
"323",0.01,0.0364867933768351,15
"324",0.025,0.13281131244023,15
"325",0.05,2.14553406239863,15
"326",0.1,5.94147455410705,15
"327",0.15,9.80419233542786,15
"328",0.2,14.1286520966976,15
"329",0.25,19.0424651532572,15
"330",0.3,25.3100289429889,15
"331",0.35,29.9959110054012,15
"332",0.4,35.8032782512695,15
"333",0.45,44.3909788840343,15
"334",0.5,54.7603761575238,15
"335",0.55,65.7619943915658,15
"336",0.6,76.3033987849415,15
"337",0.65,100.013142311963,15
"338",0.7,130.366756701341,15
"339",0.75,173.950209040563,15
"340",0.8,273.069356246929,15
"341",0.85,429.410735119214,15
"342",0.9,643.002021279019,15
"343",0.95,705.214684887728,15
"344",0.975,743.280245999076,15
"345",0.99,916.983786660399,15
"346",0.01,0.0561929933091271,16
"347",0.025,0.256064303480089,16
"348",0.05,3.2283195875394,16
"349",0.1,7.54360222662351,16
"350",0.15,15.11405330872,16
"351",0.2,20.0900324222811,16
"352",0.25,25.4255080790246,16
"353",0.3,31.041048541207,16
"354",0.35,38.8000977301683,16
"355",0.4,47.4349358780233,16
"356",0.45,58.136425192817,16
"357",0.5,67.5775940415224,16
"358",0.55,86.3889165693206,16
"359",0.6,110.489980611415,16
"360",0.65,146.566709122722,16
"361",0.7,191.833588395807,16
"362",0.75,244.158622878775,16
"363",0.8,348.557504100427,16
"364",0.85,459.557364957631,16
"365",0.9,616.703320000694,16
"366",0.95,686.704738657247,16
"367",0.975,751.487821958208,16
"368",0.99,964.334049945477,16
"369",0.01,0.108395018307303,17
"370",0.025,0.590922890961022,17
"371",0.05,5.31076969004476,17
"372",0.1,12.481919775168,17
"373",0.15,22.1626638918948,17
"374",0.2,29.1040668774271,17
"375",0.25,35.6220209749161,17
"376",0.3,43.3897960101762,17
"377",0.35,50.3234198345558,17
"378",0.4,62.6192886942373,17
"379",0.45,79.9865743196204,17
"380",0.5,100.074570189874,17
"381",0.55,120.832744128392,17
"382",0.6,155.471042808683,17
"383",0.65,212.358616366122,17
"384",0.7,267.743212372927,17
"385",0.75,340.490384911019,17
"386",0.8,402.261870893188,17
"387",0.85,443.511912473586,17
"388",0.9,477.12037326054,17
"389",0.95,702.045932426808,17
"390",0.975,761.72167751001,17
"391",0.99,877.872730627095,17
"392",0.01,0.163437093013755,18
"393",0.025,0.9927337159137,18
"394",0.05,8.09573738004842,18
"395",0.1,22.4558773070465,18
"396",0.15,30.8438076824771,18
"397",0.2,41.688337648435,18
"398",0.25,50.6260488287042,18
"399",0.3,62.3717965132593,18
"400",0.35,76.9971908603586,18
"401",0.4,95.4464078289399,18
"402",0.45,117.706869602569,18
"403",0.5,147.959569775324,18
"404",0.55,184.559288379714,18
"405",0.6,218.142081544039,18
"406",0.65,259.62384397542,18
"407",0.7,297.425666395761,18
"408",0.75,323.9505630476,18
"409",0.8,373.470850816944,18
"410",0.85,416.58182876482,18
"411",0.9,527.818103996038,18
"412",0.95,658.810808046338,18
"413",0.975,702.040087553931,18
"414",0.99,883.409841031392,18
"415",0.01,0.746932766700437,19
"416",0.025,2.50315693311015,19
"417",0.05,10.9755937839082,19
"418",0.1,33.7482793428651,19
"419",0.15,46.4806103340086,19
"420",0.2,55.5838417681021,19
"421",0.25,71.0701871809035,19
"422",0.3,86.6095639575098,19
"423",0.35,105.134315072916,19
"424",0.4,124.288234204086,19
"425",0.45,144.133404207167,19
"426",0.5,165.397880742648,19
"427",0.55,184.201366966774,19
"428",0.6,216.548360719113,19
