"","quantile","value","horizon"
"1",0.01,0.925104106535089,1
"2",0.025,1.13745303560179,1
"3",0.05,1.76420122897492,1
"4",0.1,1.83655583771647,1
"5",0.15,2.03660486974827,1
"6",0.2,2.99408914458115,1
"7",0.25,9.454,1
"8",0.3,16.0927835051546,1
"9",0.35,17.9795918367347,1
"10",0.4,20.3038674033149,1
"11",0.45,21.0731707317073,1
"12",0.5,21.7665952890792,1
"13",0.55,22.5693430656934,1
"14",0.6,23.9724516385478,1
"15",0.65,25.2657580919932,1
"16",0.7,29.8565217391304,1
"17",0.75,33.956016209216,1
"18",0.8,42.5688106252799,1
"19",0.85,69.2142857142857,1
"20",0.9,107,1
"21",0.95,151.1,1
"22",0.975,188.1,1
"23",0.99,231.7,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0.457312560696331,2
"28",0.15,1.22469275291976,2
"29",0.2,3.3,2
"30",0.25,9.28405691353521,2
"31",0.3,15.8833333333333,2
"32",0.35,20.3040035674276,2
"33",0.4,21.5321050266418,2
"34",0.45,22.2751879699248,2
"35",0.5,23.8389851911376,2
"36",0.55,28.5166666666667,2
"37",0.6,37.8871066686686,2
"38",0.65,50.4399875660472,2
"39",0.7,81.9999999999999,2
"40",0.75,124,2
"41",0.8,175.1,2
"42",0.85,234.302496328928,2
"43",0.9,246.761760242792,2
"44",0.95,258.397572078907,2
"45",0.975,267.241531664212,2
"46",0.99,275.100435413643,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0.270006687924342,3
"51",0.15,1.05564207296209,3
"52",0.2,5.1,3
"53",0.25,8.07487437185929,3
"54",0.3,11.5485436893204,3
"55",0.35,20.2565790288425,3
"56",0.4,21.0956146179402,3
"57",0.45,23.0181470347089,3
"58",0.5,24.4641955835962,3
"59",0.55,28.3263687561688,3
"60",0.6,38.5647624904753,3
"61",0.65,58.8767263975599,3
"62",0.7,91.2048250013198,3
"63",0.75,129.203412986747,3
"64",0.8,189.422006005313,3
"65",0.85,274.049926253687,3
"66",0.9,288.685911770685,3
"67",0.95,301,3
"68",0.975,310,3
"69",0.99,319,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,6.81513000503238e-17,4
"73",0.1,0.314431677085184,4
"74",0.15,1.14416680024,4
"75",0.2,5.07401129943503,4
"76",0.25,7.70833333333333,4
"77",0.3,12.1378292445726,4
"78",0.35,19.8464646464646,4
"79",0.4,21.1485120114736,4
"80",0.45,24.9047015671891,4
"81",0.5,27.2177782103233,4
"82",0.55,32.5202914207786,4
"83",0.6,43.3281783667307,4
"84",0.65,63.7905681797034,4
"85",0.7,98.0794344935002,4
"86",0.75,141.721985351039,4
"87",0.8,207.413668378965,4
"88",0.85,292.593705924257,4
"89",0.9,306.545656906631,4
"90",0.95,320.217661843293,4
"91",0.975,333.938450013291,4
"92",0.99,558.368058086539,4
"93",0.01,0.0195453540547953,5
"94",0.025,0.108034960211343,5
"95",0.05,0.261494509041018,5
"96",0.1,1.06473273002604,5
"97",0.15,3.44522292993631,5
"98",0.2,6.78338108882522,5
"99",0.25,10.0082415232364,5
"100",0.3,13.9389905987135,5
"101",0.35,20.4739822831439,5
"102",0.4,22.4266766529854,5
"103",0.45,28.0002109551175,5
"104",0.5,31.7408473393116,5
"105",0.55,37.9795015282255,5
"106",0.6,51.581309595304,5
"107",0.65,68.4810116546421,5
"108",0.7,98.7991436267751,5
"109",0.75,146.994692839601,5
"110",0.8,234.633116619947,5
"111",0.85,284.135552465686,5
"112",0.9,297.820380731192,5
"113",0.95,313.000512343621,5
"114",0.975,328.921140833854,5
"115",0.99,1762.592,5
"116",0.01,0.0329176615067071,6
"117",0.025,0.126703069325102,6
"118",0.05,0.29341671859378,6
"119",0.1,1.91111684291978,6
"120",0.15,7.62795031055901,6
"121",0.2,11.0652173913043,6
"122",0.25,14.7398360606695,6
"123",0.3,19.0827737902292,6
"124",0.35,21.1673645521935,6
"125",0.4,25.4687020289796,6
"126",0.45,33.1698330454807,6
"127",0.5,38.692696156364,6
"128",0.55,46.638038779144,6
"129",0.6,61.6131680722656,6
"130",0.65,80.4122488156145,6
"131",0.7,107.80685492563,6
"132",0.75,145.132285292256,6
"133",0.8,237.720470980055,6
"134",0.85,283.880135168948,6
"135",0.9,296.400327666816,6
"136",0.95,311.363907481515,6
"137",0.975,388.475462374588,6
"138",0.99,2172.79200000001,6
"139",0.01,0.015253793365656,7
"140",0.025,0.0620325714265182,7
"141",0.05,0.267441690677582,7
"142",0.1,2.49000000000001,7
"143",0.15,11.8697222222222,7
"144",0.2,18.811671388102,7
"145",0.25,21.313967611336,7
"146",0.3,24.18734464498,7
"147",0.35,29.6721440680458,7
"148",0.4,34.9843943315599,7
"149",0.45,43.6177732293196,7
"150",0.5,53.639888374797,7
"151",0.55,64.3452154952297,7
"152",0.6,77.8515096252222,7
"153",0.65,98.5245385245306,7
"154",0.7,126.248802276764,7
"155",0.75,165.096706915477,7
"156",0.8,280.300937725446,7
"157",0.85,308.695954780027,7
"158",0.9,322.134793964016,7
"159",0.95,338.52255312997,7
"160",0.975,477.42,7
