"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,0,1
"8",0.3,0.0335355033522566,1
"9",0.35,0.0622092107099237,1
"10",0.4,0.0927221804045043,1
"11",0.45,0.143405313178542,1
"12",0.5,0.196606552555237,1
"13",0.55,0.292955036436087,1
"14",0.6,0.389495296988013,1
"15",0.65,0.49988058275615,1
"16",0.7,0.616216216216216,1
"17",0.75,0.740119262238248,1
"18",0.8,0.954718874633403,1
"19",0.85,1.19537798668234,1
"20",0.9,1.45623697929167,1
"21",0.95,1.95662100456621,1
"22",0.975,2.30829891100263,1
"23",0.99,2.74034370337625,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0,2
"30",0.25,0,2
"31",0.3,0.0515687878880721,2
"32",0.35,0.0928903813283823,2
"33",0.4,0.127661969151949,2
"34",0.45,0.189565676934526,2
"35",0.5,0.28821991689168,2
"36",0.55,0.3815705527134,2
"37",0.6,0.553680992918021,2
"38",0.65,0.765981015778561,2
"39",0.7,0.997365900383142,2
"40",0.75,1.28063241106719,2
"41",0.8,1.65219182314373,2
"42",0.85,2.13498137487301,2
"43",0.9,2.56976407520816,2
"44",0.95,3.37873634007708,2
"45",0.975,3.90333668717498,2
"46",0.99,4.31406680124794,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,0.00605713072103645,3
"54",0.3,0.0937372874963183,3
"55",0.35,0.144039082814873,3
"56",0.4,0.217140682494291,3
"57",0.45,0.321038788890977,3
"58",0.5,0.466486176107392,3
"59",0.55,0.603800452889473,3
"60",0.6,0.804117860113878,3
"61",0.65,1.22397512507279,3
"62",0.7,1.68245470485097,3
"63",0.75,2.1300219138057,3
"64",0.8,2.89658918096894,3
"65",0.85,3.62626167840777,3
"66",0.9,4.3488888888889,3
"67",0.95,5.96285901271503,3
"68",0.975,8.7587416327529,3
"69",0.99,15.61,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0.0625227857587161,4
"76",0.25,0.13124501356645,4
"77",0.3,0.213599387596621,4
"78",0.35,0.331466869829871,4
"79",0.4,0.476666020710531,4
"80",0.45,0.624170401218913,4
"81",0.5,0.811475719130894,4
"82",0.55,1.07326072965888,4
"83",0.6,1.45125606580244,4
"84",0.65,2.03068335848901,4
"85",0.7,2.92874458851943,4
"86",0.75,3.67322844786816,4
"87",0.8,4.9158866526821,4
"88",0.85,6.37801892042293,4
"89",0.9,7.69257214107589,4
"90",0.95,10.792954954955,4
"91",0.975,25.0625,4
"92",0.99,48.6950000000001,4
