"","quantile","value","horizon"
"1",0.01,0,1
"2",0.025,0,1
"3",0.05,0,1
"4",0.1,0,1
"5",0.15,0,1
"6",0.2,0,1
"7",0.25,0,1
"8",0.3,0,1
"9",0.35,0,1
"10",0.4,0.0649856546260307,1
"11",0.45,0.087380979810568,1
"12",0.5,0.0970517831970249,1
"13",0.55,0.128493536916848,1
"14",0.6,0.156719591504212,1
"15",0.65,0.190996816857783,1
"16",0.7,0.266449222941195,1
"17",0.75,0.503109630144993,1
"18",0.8,0.809144951666372,1
"19",0.85,1.29766990291262,1
"20",0.9,1.80082407052511,1
"21",0.95,2.795,1
"22",0.975,4.105,1
"23",0.99,4.8685,1
"24",0.01,0,2
"25",0.025,0,2
"26",0.05,0,2
"27",0.1,0,2
"28",0.15,0,2
"29",0.2,0,2
"30",0.25,0,2
"31",0.3,0,2
"32",0.35,0,2
"33",0.4,0.081835463978465,2
"34",0.45,0.0963846187287973,2
"35",0.5,0.140470766138728,2
"36",0.55,0.193039892919108,2
"37",0.6,0.255992760513169,2
"38",0.65,0.354879193938976,2
"39",0.7,0.502993128905807,2
"40",0.75,0.738745877191419,2
"41",0.8,1.40861483921432,2
"42",0.85,2.0625,2
"43",0.9,3.17,2
"44",0.95,5.0925,2
"45",0.975,7.419,2
"46",0.99,8.741,2
"47",0.01,0,3
"48",0.025,0,3
"49",0.05,0,3
"50",0.1,0,3
"51",0.15,0,3
"52",0.2,0,3
"53",0.25,0,3
"54",0.3,0,3
"55",0.35,0.0915780112749847,3
"56",0.4,0.154882641913925,3
"57",0.45,0.208778825745274,3
"58",0.5,0.318882850369511,3
"59",0.55,0.429150621960204,3
"60",0.6,0.613272947226252,3
"61",0.65,0.809248270545439,3
"62",0.7,0.998519817690068,3
"63",0.75,1.37299440887321,3
"64",0.8,2.56851369987634,3
"65",0.85,3.85257704288739,3
"66",0.9,5.66,3
"67",0.95,9.0975,3
"68",0.975,13.15825,3
"69",0.99,15.357,3
"70",0.01,0,4
"71",0.025,0,4
"72",0.05,0,4
"73",0.1,0,4
"74",0.15,0,4
"75",0.2,0,4
"76",0.25,0.0772838093681472,4
"77",0.3,0.155737471645347,4
"78",0.35,0.265471837243993,4
"79",0.4,0.343070924757785,4
"80",0.45,0.504286815857217,4
"81",0.5,0.659552389903683,4
"82",0.55,0.94398372926573,4
"83",0.6,1.26520322212317,4
"84",0.65,1.71720683855766,4
"85",0.7,2.3374810397249,4
"86",0.75,3.11982375286711,4
"87",0.8,4.5769273928718,4
"88",0.85,6.93694119628712,4
"89",0.9,9.96,4
"90",0.95,15.8925,4
"91",0.975,22.74275,4
"92",0.99,26.2025,4
"93",0.01,0,5
"94",0.025,0,5
"95",0.05,0,5
"96",0.1,0,5
"97",0.15,0.0525900044771795,5
"98",0.2,0.10764274363527,5
