"","quantile","value","horizon"
"1",0.01,0.488303992665909,1
"2",0.025,0.581810519598549,1
"3",0.05,0.822422630815867,1
"4",0.1,3.02912621359223,1
"5",0.15,4.39230769230769,1
"6",0.2,5.61322526784472,1
"7",0.25,6.67469693245697,1
"8",0.3,7.07880947233454,1
"9",0.35,7.29088439463874,1
"10",0.4,8.46565325646411,1
"11",0.45,9.48015628350181,1
"12",0.5,10.0497356412332,1
"13",0.55,10.7903223337432,1
"14",0.6,13.7619026370979,1
"15",0.65,17.3008900788769,1
"16",0.7,19.1266678852129,1
"17",0.75,21.3843131090852,1
"18",0.8,22.6339308212118,1
"19",0.85,25.9738291926982,1
"20",0.9,35.7134978229318,1
"21",0.95,48.9208158368326,1
"22",0.975,59.0828025477706,1
"23",0.99,72.09,1
"24",0.01,0.257840644526282,2
"25",0.025,0.37336094989201,2
"26",0.05,0.631999480436245,2
"27",0.1,3.6916120576671,2
"28",0.15,6.23381294964029,2
"29",0.2,7.06085436893204,2
"30",0.25,7.26792840375587,2
"31",0.3,7.86792350189176,2
"32",0.35,8.80790381605934,2
"33",0.4,9.84611715213541,2
"34",0.45,11.5481011133067,2
"35",0.5,13.7536510373308,2
"36",0.55,15.6903120763092,2
"37",0.6,18.176790099491,2
"38",0.65,20.5322754994479,2
"39",0.7,24.0141868914563,2
"40",0.75,30.0395880872197,2
"41",0.8,44.234495853461,2
"42",0.85,58.4963503649635,2
"43",0.9,65.344262295082,2
"44",0.95,72.5144032921811,2
"45",0.975,75.7924489795918,2
"46",0.99,80.9383592017738,2
"47",0.01,0.186533381416308,3
"48",0.025,0.230947130142756,3
"49",0.05,0.455125280698497,3
"50",0.1,1.28,3
"51",0.15,3.28148148148148,3
"52",0.2,4.89090909090909,3
"53",0.25,6.36259626161466,3
"54",0.3,7.04737246069339,3
"55",0.35,7.37666632469459,3
"56",0.4,7.95930635482855,3
"57",0.45,10.2112846240519,3
"58",0.5,13.6138790743269,3
"59",0.55,19.2818040864522,3
"60",0.6,22.9186909875395,3
"61",0.65,26.4504196150226,3
"62",0.7,28.9436779009274,3
"63",0.75,34.0027075440827,3
"64",0.8,46.3448116718774,3
"65",0.85,68.0823218997361,3
"66",0.9,80.8343685300207,3
"67",0.95,87.1682302771855,3
"68",0.975,90.8731473408893,3
"69",0.99,95.3338912133891,3
"70",0.01,0.154642390988423,4
"71",0.025,0.197157210468836,4
"72",0.05,0.460949415838284,4
"73",0.1,1.44580289201861,4
"74",0.15,3.45882352941176,4
"75",0.2,5.1732845957399,4
"76",0.25,6.22222673778681,4
"77",0.3,7.16620963321304,4
"78",0.35,7.7471595441876,4
"79",0.4,8.74532168799723,4
"80",0.45,12.4032265696975,4
"81",0.5,18.1390799601094,4
"82",0.55,25.0094000338346,4
"83",0.6,28.2965041937412,4
"84",0.65,31.9133064192572,4
"85",0.7,35.7844249231804,4
"86",0.75,43.4084934273609,4
"87",0.8,62.9229477084595,4
"88",0.85,76.0513558287558,4
"89",0.9,79.9743013799618,4
"90",0.95,87.0176943151612,4
"91",0.975,94.7337813620073,4
"92",0.99,196.347406008632,4
"93",0.01,0.148687603994268,5
"94",0.025,0.196111172192794,5
"95",0.05,0.521295913870067,5
"96",0.1,1.634789109166,5
"97",0.15,3.9780487804878,5
"98",0.2,4.923046875,5
"99",0.25,6.99903957901727,5
"100",0.3,7.39688295180565,5
"101",0.35,8.44507637621289,5
"102",0.4,9.78468764274342,5
"103",0.45,14.3728941865631,5
"104",0.5,20.4005325135315,5
"105",0.55,30.870769457749,5
"106",0.6,38.4248192173587,5
"107",0.65,44.4899688505736,5
"108",0.7,48.9737550907816,5
"109",0.75,53.4010590317327,5
"110",0.8,68.8531901951746,5
"111",0.85,78.276986066333,5
"112",0.9,84.9916713452843,5
"113",0.95,97.9248725987927,5
"114",0.975,224.34,5
"115",0.99,622.559999999998,5
"116",0.01,0.134101219998364,6
"117",0.025,0.181710963969849,6
"118",0.05,0.507388171646149,6
"119",0.1,1.6257999616786,6
"120",0.15,3.59948316105368,6
"121",0.2,4.77865853658537,6
"122",0.25,6.91755617977528,6
"123",0.3,7.6515447350844,6
"124",0.35,9.00503091820939,6
"125",0.4,10.8333700360208,6
"126",0.45,16.534659903667,6
"127",0.5,26.7343800742847,6
"128",0.55,36.1491947291516,6
"129",0.6,48.5008034265385,6
"130",0.65,59.425585954906,6
"131",0.7,67.1697313844123,6
"132",0.75,74.6203972740136,6
"133",0.8,81.2128284558306,6
"134",0.85,87.9648859038709,6
"135",0.9,95.5578422558235,6
"136",0.95,122.305731041509,6
"137",0.975,591.375,6
"138",0.99,1329.73399999999,6
"139",0.01,0.0869865032879734,7
"140",0.025,0.165277390515967,7
"141",0.05,0.433004803225972,7
"142",0.1,1.43790363498042,7
"143",0.15,2.84110001023815,7
"144",0.2,4.51367747509382,7
"145",0.25,6.89711354547035,7
"146",0.3,8.00807814654525,7
"147",0.35,9.90336098393151,7
"148",0.4,12.8169840473118,7
"149",0.45,17.9106577398948,7
"150",0.5,29.67683348009,7
