state,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2
17,5,2023-11-04,0.6291555639222253,0.444804029954928
17,5,2023-11-11,0.6209928437892112,0.4435989972863414
17,5,2023-11-18,0.6157608374255862,0.44446758743188797
17,5,2023-11-25,0.6455740272736622,0.4447906265280353
17,5,2023-12-02,0.6665453892738513,0.44500984276461697
17,5,2023-12-09,0.707988778620866,0.45216753696067796
17,5,2023-12-16,0.7367819633333813,0.4549566490619685
17,5,2023-12-23,0.6843848801941063,0.4512359898140885
17,5,2023-12-30,0.7972014198809878,0.48786856459453787
17,5,2024-01-06,0.9431051962672181,0.5501288174744476
17,5,2024-01-13,0.999854268958023,0.587566658217979
17,5,2024-01-20,0.9377101936355843,0.5800791647132373
17,5,2024-01-27,0.8402352679469222,0.5747084044477633
17,5,2024-02-03,0.6409479070521746,0.5731071636754961
17,5,2024-02-10,0.5006874155481764,0.603181962102857
17,5,2024-02-17,0.3601638109543367,0.6551574941121837
17,5,2024-02-24,0.29054918265703683,0.7126729433422192
17,5,2024-03-02,0.32061260085697,0.7549377481143089
17,5,2024-03-09,0.35001746036011816,0.7839912147195501
17,5,2024-03-16,0.4136782184743303,0.8126498298622782
17,5,2024-03-23,0.4807692796849358,0.8332091871961437
17,5,2024-03-30,0.5401684972456962,0.8516369211485186
17,5,2024-04-06,0.5951769646161033,0.8644554574356552
17,5,2024-04-13,0.642145229516638,0.8730624406292801
17,5,2024-04-20,0.5917486336531492,0.8628385267467211
17,15,2023-11-04,0.5720285786668198,0.444804029954928
17,15,2023-11-11,0.5807846668243593,0.4435989972863414
17,15,2023-11-18,0.5841584492337016,0.44446758743188797
17,15,2023-11-25,0.5947962950727184,0.4447906265280353
17,15,2023-12-02,0.6114439646069624,0.44500984276461697
17,15,2023-12-09,0.6324418832969463,0.45216753696067796
17,15,2023-12-16,0.6469393430013622,0.4549566490619685
17,15,2023-12-23,0.6684508571818633,0.4512359898140885
17,15,2023-12-30,0.7462918371401596,0.48786856459453787
17,15,2024-01-06,0.8642668952090933,0.5501288174744476
17,15,2024-01-13,0.9311395675452615,0.587566658217979
17,15,2024-01-20,0.9262758374690074,0.5800791647132373
17,15,2024-01-27,0.8285617792625606,0.5747084044477633
17,15,2024-02-03,0.6647122567500171,0.5731071636754961
17,15,2024-02-10,0.4841757397770108,0.603181962102857
17,15,2024-02-17,0.363428557358795,0.6551574941121837
17,15,2024-02-24,0.31876365206371315,0.7126729433422192
17,15,2024-03-02,0.36984950327592325,0.7549377481143089
17,15,2024-03-09,0.4204488388674594,0.7839912147195501
17,15,2024-03-16,0.4912456506331097,0.8126498298622782
17,15,2024-03-23,0.5514788479809813,0.8332091871961437
17,15,2024-03-30,0.60345791262679,0.8516369211485186
17,15,2024-04-06,0.6494880985624226,0.8644554574356552
17,15,2024-04-13,0.6906611137978266,0.8730624406292801
17,15,2024-04-20,0.660833034074618,0.8628385267467211
17,25,2023-11-04,0.5577158464062636,0.444804029954928
17,25,2023-11-11,0.5577686518998863,0.4435989972863414
17,25,2023-11-18,0.566949866429302,0.44446758743188797
17,25,2023-11-25,0.5726340525682574,0.4447906265280353
17,25,2023-12-02,0.5836617226036805,0.44500984276461697
17,25,2023-12-09,0.5884495731619825,0.45216753696067796
17,25,2023-12-16,0.6124812868920144,0.4549566490619685
17,25,2023-12-23,0.6402902090660234,0.4512359898140885
17,25,2023-12-30,0.6952894579747162,0.48786856459453787
17,25,2024-01-06,0.7869269750009954,0.5501288174744476
17,25,2024-01-13,0.8654487902646596,0.587566658217979
17,25,2024-01-20,0.855236929557773,0.5800791647132373
17,25,2024-01-27,0.7793996841629328,0.5747084044477633
17,25,2024-02-03,0.5960843619363163,0.5731071636754961
