state,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2
17,5,2023-11-04,115.49822520124042,128.31943290253665
17,5,2023-11-11,109.87130166957517,129.67350276852937
17,5,2023-11-18,116.79134762267424,129.70291646801184
17,5,2023-11-25,113.69365406177957,128.11803212682523
17,5,2023-12-02,116.12519251408763,124.83961579134788
17,5,2023-12-09,124.01506051271456,120.15851199307596
17,5,2023-12-16,128.8324748425508,114.17923078917622
17,5,2023-12-23,119.92963193100312,107.32868542712306
17,5,2023-12-30,130.5033379475196,101.43043116763135
17,5,2024-01-06,138.95150191485578,96.83119324052488
17,5,2024-01-13,140.32170559511044,93.10995418218553
17,5,2024-01-20,124.91077355214985,89.19599732150532
17,5,2024-01-27,107.91381267055377,85.90612299229134
17,5,2024-02-03,90.27608655656593,83.22408652955936
17,5,2024-02-10,78.01999152850114,82.1584464137163
17,5,2024-02-17,65.46123092340801,82.17966289425583
17,5,2024-02-24,57.4449784281983,82.91006734751873
17,5,2024-03-02,55.373937901120655,82.59128947560527
17,5,2024-03-09,51.98018108390306,79.67200176409156
17,5,2024-03-16,50.86736069801187,78.47706526175229
17,5,2024-03-23,51.77945927660854,75.95638622580604
17,5,2024-03-30,54.25062133938808,74.43586130552757
17,5,2024-04-06,55.438259191163866,71.35867694089785
17,5,2024-04-13,56.645271390289416,66.79801615496665
17,5,2024-04-20,42.32710945780677,51.7510267126365
17,15,2023-11-04,114.99237886201125,128.31943290253665
17,15,2023-11-11,117.77344755140886,129.67350276852937
17,15,2023-11-18,121.8026044353439,129.70291646801184
17,15,2023-11-25,116.79118822232626,128.11803212682523
17,15,2023-12-02,117.90627734509003,124.83961579134788
17,15,2023-12-09,118.85924777898965,120.15851199307596
17,15,2023-12-16,118.73088916624906,114.17923078917622
17,15,2023-12-23,118.82044443229834,107.32868542712306
17,15,2023-12-30,122.7376582309607,101.43043116763135
17,15,2024-01-06,128.10847048934903,96.83119324052488
17,15,2024-01-13,127.64432497030705,93.10995418218553
17,15,2024-01-20,122.85213325011843,89.19599732150532
17,15,2024-01-27,107.18154690436788,85.90612299229134
17,15,2024-02-03,90.82253317179322,83.22408652955936
17,15,2024-02-10,76.7439514412592,82.1584464137163
17,15,2024-02-17,66.65061585093,82.17966289425583
17,15,2024-02-24,60.22822219891287,82.91006734751873
17,15,2024-03-02,58.71986889104408,82.59128947560527
17,15,2024-03-09,56.44587864474885,79.67200176409156
17,15,2024-03-16,56.28233576917766,78.47706526175229
17,15,2024-03-23,55.87420241201245,75.95638622580604
17,15,2024-03-30,56.94735620760283,74.43586130552757
17,15,2024-04-06,56.58465366141977,71.35867694089785
17,15,2024-04-13,55.47923860192073,66.79801615496665
17,15,2024-04-20,42.29366905889025,51.7510267126365
17,25,2023-11-04,117.39090127336061,128.31943290253665
17,25,2023-11-11,120.43404007224397,129.67350276852937
17,25,2023-11-18,124.55957451051557,129.70291646801184
17,25,2023-11-25,119.439770118184,128.11803212682523
17,25,2023-12-02,118.81982038615172,124.83961579134788
17,25,2023-12-09,118.12205991920871,120.15851199307596
17,25,2023-12-16,117.79078169849963,114.17923078917622
17,25,2023-12-23,117.51225528779133,107.32868542712306
17,25,2023-12-30,118.63438381622721,101.43043116763135
17,25,2024-01-06,120.40589267328852,96.83119324052488
17,25,2024-01-13,120.75117646828654,93.10995418218553
17,25,2024-01-20,116.66885552391726,89.19599732150532
17,25,2024-01-27,105.64083132333566,85.90612299229134
17,25,2024-02-03,88.39641890143707,83.22408652955936
17,25,2024-02-10,75.89435953614272,82.1584464137163
17,25,2024-02-17,66.32730982534429,82.17966289425583
17,25,2024-02-24,62.23165445194198,82.91006734751873
17,25,2024-03-02,60.58756014489038,82.59128947560527
17,25,2024-03-09,57.39252390183367,79.67200176409156
17,25,2024-03-16,56.82044762342115,78.47706526175229
17,25,2024-03-23,55.657094067537265,75.95638622580604
17,25,2024-03-30,56.52151714438544,74.43586130552757
17,25,2024-04-06,56.27751224326435,71.35867694089785
17,25,2024-04-13,55.61227733794516,66.79801615496665
17,25,2024-04-20,42.06092003692412,51.7510267126365
17,50,2023-11-04,120.16256023678179,128.31943290253665
17,50,2023-11-11,123.25235084151564,129.67350276852937
17,50,2023-11-18,125.16486096298459,129.70291646801184
17,50,2023-11-25,122.12451952546517,128.11803212682523
17,50,2023-12-02,118.45033839021164,124.83961579134788
17,50,2023-12-09,115.8177409754311,120.15851199307596
17,50,2023-12-16,112.47789785311292,114.17923078917622
17,50,2023-12-23,108.96630885836521,107.32868542712306
17,50,2023-12-30,106.24170105365931,101.43043116763135
17,50,2024-01-06,103.86929251500345,96.83119324052488
17,50,2024-01-13,101.36204402880165,93.10995418218553
17,50,2024-01-20,97.07693829957873,89.19599732150532
17,50,2024-01-27,91.50717535138031,85.90612299229134
17,50,2024-02-03,83.5838154295331,83.22408652955936
17,50,2024-02-10,76.04554694789395,82.1584464137163
17,50,2024-02-17,70.51927083704321,82.17966289425583
17,50,2024-02-24,68.01471563044271,82.91006734751873
17,50,2024-03-02,66.72554646700733,82.59128947560527
17,50,2024-03-09,64.07367233224696,79.67200176409156
17,50,2024-03-16,63.29368089640579,78.47706526175229
17,50,2024-03-23,61.79712196279254,75.95638622580604
17,50,2024-03-30,61.60456514042841,74.43586130552757
17,50,2024-04-06,60.65912332779653,71.35867694089785
17,50,2024-04-13,59.23803881360668,66.79801615496665
17,50,2024-04-20,45.10192921325565,51.7510267126365
17,75,2023-11-04,122.72010826102706,128.31943290253665
17,75,2023-11-11,123.75989203978067,129.67350276852937
17,75,2023-11-18,124.7852369867239,129.70291646801184
17,75,2023-11-25,122.65166208171185,128.11803212682523
17,75,2023-12-02,121.15302804341006,124.83961579134788
17,75,2023-12-09,118.6801326480917,120.15851199307596
17,75,2023-12-16,114.89045008242056,114.17923078917622
17,75,2023-12-23,110.1761015417427,107.32868542712306
17,75,2023-12-30,105.37823536165351,101.43043116763135
17,75,2024-01-06,100.95098841978027,96.83119324052488
17,75,2024-01-13,97.22770729772525,93.10995418218553
17,75,2024-01-20,92.3847957906002,89.19599732150532
17,75,2024-01-27,87.40864659435425,85.90612299229134
17,75,2024-02-03,82.29668103608907,83.22408652955936
17,75,2024-02-10,78.35596890782739,82.1584464137163
17,75,2024-02-17,76.51149259869365,82.17966289425583
17,75,2024-02-24,76.66812924500987,82.91006734751873
17,75,2024-03-02,77.81991379014292,82.59128947560527
17,75,2024-03-09,75.5393480487545,79.67200176409156
17,75,2024-03-16,75.02775301365944,78.47706526175229
17,75,2024-03-23,73.04803624108284,75.95638622580604
17,75,2024-03-30,72.89674479025892,74.43586130552757
17,75,2024-04-06,71.71702539174191,71.35867694089785
17,75,2024-04-13,70.06849242490448,66.79801615496665
17,75,2024-04-20,53.65386778595672,51.7510267126365
18,5,2023-11-04,102.83232828874934,93.71834626503254
18,5,2023-11-11,82.78825784514792,94.58508469028688
18,5,2023-11-18,75.10936536889866,94.59810757781592
18,5,2023-11-25,74.13483925193646,93.78319251062759
18,5,2023-12-02,61.45584666557548,92.11191874460022
18,5,2023-12-09,58.5712923899424,90.05987342889891
18,5,2023-12-16,57.61213803114868,87.69391691750505
18,5,2023-12-23,57.6946828047504,85.57882517942008
18,5,2023-12-30,53.91885259377811,84.19572363976721
18,5,2024-01-06,57.27476363906705,83.25299312466484
18,5,2024-01-13,55.16766238891168,82.86960255816798
18,5,2024-01-20,54.64589124717155,83.55405986389381
18,5,2024-01-27,51.88252241463063,85.3922198207465
18,5,2024-02-03,50.469032063547395,87.16594187284323
18,5,2024-02-10,51.86155941512936,87.16287264716529
18,5,2024-02-17,52.81678141977026,85.41728696265463
18,5,2024-02-24,53.97140484876537,82.83011704919332
18,5,2024-03-02,51.49587668485082,77.99406084701553
18,5,2024-03-09,49.86277199223478,71.81424291868831
18,5,2024-03-16,37.756599702106435,59.993502509012906
18,5,2024-03-23,31.466347253358144,50.99674931041903
18,5,2024-03-30,35.34900538931062,49.84874981367929
18,5,2024-04-06,33.77864945099737,44.021268884975456
18,5,2024-04-13,21.14692176732122,30.59999698506059
18,5,2024-04-20,9.264026068449013,18.679887775168382
18,15,2023-11-04,95.75928266170281,93.71834626503254
18,15,2023-11-11,86.72081793863629,94.58508469028688
18,15,2023-11-18,81.41809213230306,94.59810757781592
18,15,2023-11-25,82.28403483676976,93.78319251062759
18,15,2023-12-02,70.22360525552304,92.11191874460022
18,15,2023-12-09,69.3933969161133,90.05987342889891
18,15,2023-12-16,66.28213518734837,87.69391691750505
18,15,2023-12-23,63.73092001360937,85.57882517942008
18,15,2023-12-30,63.55648701650371,84.19572363976721
18,15,2024-01-06,64.32127484134621,83.25299312466484
18,15,2024-01-13,60.457194953163864,82.86960255816798
18,15,2024-01-20,59.4877578439001,83.55405986389381
18,15,2024-01-27,57.77269915634808,85.3922198207465
18,15,2024-02-03,55.72067090203277,87.16594187284323
18,15,2024-02-10,55.9897919024983,87.16287264716529
18,15,2024-02-17,55.62176903955132,85.41728696265463
18,15,2024-02-24,55.97396824113931,82.83011704919332
18,15,2024-03-02,54.6100144515414,77.99406084701553
18,15,2024-03-09,52.88938586823208,71.81424291868831
18,15,2024-03-16,43.67113682384032,59.993502509012906
18,15,2024-03-23,37.3036256156859,50.99674931041903
18,15,2024-03-30,40.23848643457137,49.84874981367929
18,15,2024-04-06,38.07557323266729,44.021268884975456
18,15,2024-04-13,24.98296864917188,30.59999698506059
18,15,2024-04-20,12.38582830487348,18.679887775168382
18,25,2023-11-04,85.84285998723472,93.71834626503254
18,25,2023-11-11,83.3722329540853,94.58508469028688
18,25,2023-11-18,82.47874735329826,94.59810757781592
18,25,2023-11-25,79.50070500242519,93.78319251062759
18,25,2023-12-02,76.79719600910532,92.11191874460022
18,25,2023-12-09,73.17919995114025,90.05987342889891
18,25,2023-12-16,69.67815875745005,87.69391691750505
18,25,2023-12-23,67.24593180945234,85.57882517942008
18,25,2023-12-30,66.35969099276396,84.19572363976721
18,25,2024-01-06,65.51863956922833,83.25299312466484
18,25,2024-01-13,61.713299677266846,82.86960255816798
18,25,2024-01-20,59.79127068340478,83.55405986389381
18,25,2024-01-27,59.26962047295752,85.3922198207465
18,25,2024-02-03,58.66952559972168,87.16594187284323
18,25,2024-02-10,58.57614603268173,87.16287264716529
18,25,2024-02-17,58.16580305608151,85.41728696265463
18,25,2024-02-24,58.3635437068693,82.83011704919332
18,25,2024-03-02,57.13163160360922,77.99406084701553
18,25,2024-03-09,54.90187085205033,71.81424291868831
18,25,2024-03-16,46.06137982629816,59.993502509012906
18,25,2024-03-23,40.7961489620646,50.99674931041903
18,25,2024-03-30,43.738568266161316,49.84874981367929
18,25,2024-04-06,41.57118760674087,44.021268884975456
18,25,2024-04-13,28.154536492965732,30.59999698506059
18,25,2024-04-20,14.506501327132382,18.679887775168382
18,50,2023-11-04,86.97316783708474,93.71834626503254
18,50,2023-11-11,88.19415630711268,94.58508469028688
18,50,2023-11-18,86.10852654731993,94.59810757781592
18,50,2023-11-25,85.92654518189964,93.78319251062759
18,50,2023-12-02,83.49391707582657,92.11191874460022
18,50,2023-12-09,80.54836632463466,90.05987342889891
