,quantiles,value,horizon,target_end_date
0,0.01,151.59480000000002,6,2023-10-14
1,0.025,184.46975,6,2023-10-14
2,0.05,208.0655197,6,2023-10-14
3,0.1,254.75785991,6,2023-10-14
4,0.15000000000000002,313.4074831600001,6,2023-10-14
5,0.2,384.7748822442509,6,2023-10-14
6,0.25,473.58130381551376,6,2023-10-14
7,0.3,574.575,6,2023-10-14
8,0.35000000000000003,681.4425000000001,6,2023-10-14
9,0.4,782.2687530399958,6,2023-10-14
10,0.45,891.0757488118954,6,2023-10-14
11,0.5,1018.36223018167,6,2023-10-14
12,0.55,1146.8917240032185,6,2023-10-14
13,0.6000000000000001,1312.4529597242126,6,2023-10-14
14,0.6500000000000001,1512.0745308728092,6,2023-10-14
15,0.7000000000000001,1717.0802224775111,6,2023-10-14
16,0.7500000000000001,1897.3925000000006,6,2023-10-14
17,0.8,2056.490041522823,6,2023-10-14
18,0.8500000000000001,2256.7065399944263,6,2023-10-14
19,0.9000000000000001,2532.949847833771,6,2023-10-14
20,0.9500000000000001,3071.039525051403,6,2023-10-14
21,0.975,3526.7990000000004,6,2023-10-14
22,0.99,4195.959,6,2023-10-14
0,0.01,181.46730000000002,7,2023-10-21
1,0.025,247.8515,7,2023-10-21
2,0.05,314.115335065,7,2023-10-21
3,0.1,396.5287327843918,7,2023-10-21
4,0.15000000000000002,477.20872048000007,7,2023-10-21
5,0.2,562.5049741470519,7,2023-10-21
6,0.25,651.6324869078703,7,2023-10-21
7,0.3,759.5496980400001,7,2023-10-21
8,0.35000000000000003,865.4115060184728,7,2023-10-21
9,0.4,996.7337550540752,7,2023-10-21
10,0.45,1136.9888876917735,7,2023-10-21
11,0.5,1282.9253034169114,7,2023-10-21
12,0.55,1462.7546001020378,7,2023-10-21
13,0.6000000000000001,1670.1548416662563,7,2023-10-21
14,0.6500000000000001,1849.0344294678257,7,2023-10-21
15,0.7000000000000001,2086.1312811932526,7,2023-10-21
16,0.7500000000000001,2341.0814385343206,7,2023-10-21
17,0.8,2550.26560273116,7,2023-10-21
18,0.8500000000000001,2845.910969808998,7,2023-10-21
19,0.9000000000000001,3405.1000000000045,7,2023-10-21
20,0.9500000000000001,4320.293500000002,7,2023-10-21
21,0.975,5200.5525,7,2023-10-21
22,0.99,6215.452199999991,7,2023-10-21
0,0.01,211.9261,8,2023-10-28
1,0.025,292.8544923459727,8,2023-10-28
2,0.05,381.6215,8,2023-10-28
3,0.1,522.849,8,2023-10-28
4,0.15000000000000002,662.8266480471018,8,2023-10-28
5,0.2,774.3743937441126,8,2023-10-28
6,0.25,871.3577236478963,8,2023-10-28
7,0.3,971.1887034842201,8,2023-10-28
8,0.35000000000000003,1071.9552573405815,8,2023-10-28
9,0.4,1198.3211041550742,8,2023-10-28
10,0.45,1332.3087097680404,8,2023-10-28
11,0.5,1506.118400817759,8,2023-10-28
12,0.55,1702.639193672497,8,2023-10-28
13,0.6000000000000001,1960.9585833398469,8,2023-10-28
14,0.6500000000000001,2284.326563659813,8,2023-10-28
15,0.7000000000000001,2610.9418681,8,2023-10-28
16,0.7500000000000001,2952.257464658908,8,2023-10-28
17,0.8,3335.5474934300946,8,2023-10-28
18,0.8500000000000001,3812.2703375121196,8,2023-10-28
19,0.9000000000000001,4820.7572257916345,8,2023-10-28
20,0.9500000000000001,6154.970000000004,8,2023-10-28
21,0.975,7725.530500000001,8,2023-10-28
22,0.99,9173.51,8,2023-10-28
0,0.01,239.1234,9,2023-11-04
1,0.025,331.351,9,2023-11-04
2,0.05,434.44450000000006,9,2023-11-04
3,0.1,609.3689166650117,9,2023-11-04
4,0.15000000000000002,764.7763487059563,9,2023-11-04
5,0.2,928.4359159128218,9,2023-11-04
6,0.25,1095.1528296355425,9,2023-11-04
7,0.3,1236.9017851452795,9,2023-11-04
8,0.35000000000000003,1409.9107524113535,9,2023-11-04
9,0.4,1574.836828106228,9,2023-11-04
10,0.45,1761.4433230683635,9,2023-11-04
11,0.5,1994.382460804246,9,2023-11-04
12,0.55,2291.2203751337047,9,2023-11-04
13,0.6000000000000001,2613.642968390553,9,2023-11-04
14,0.6500000000000001,3013.6678680389527,9,2023-11-04
15,0.7000000000000001,3421.100859715734,9,2023-11-04
16,0.7500000000000001,3891.282284293174,9,2023-11-04
17,0.8,4455.778980290305,9,2023-11-04
18,0.8500000000000001,5157.407196000004,9,2023-11-04
19,0.9000000000000001,6191.960000000001,9,2023-11-04
20,0.9500000000000001,8391.849999999999,9,2023-11-04
21,0.975,10722.421750000003,9,2023-11-04
22,0.99,13050.930799999956,9,2023-11-04
