horizon,k_perc,round,wis_adaptive,wis_baseline,wis_flusight,wis_adaptive_baseline,wis_adaptive_flusight
0,5,4,655.5114782608697,1652.431304347826,987.186956521739,0.39669514644034415,0.6640195901397473
0,5,5,694.5322608695652,2485.357391304348,1688.567391304348,0.2794496531161121,0.41131450509243106
0,5,6,2025.9160869565217,5360.74,3368.9952173913034,0.3779172440664016,0.6013413365796461
0,5,7,8752.249304347824,13855.338260869563,10670.385652173913,0.6316878837282557,0.8202373925036814
0,5,8,9869.81904347826,11629.381739130436,9895.610869565216,0.8486967978932519,0.9973936095075967
0,5,9,2333.042630434783,4624.246956521739,5414.1434782608685,0.504523796494997,0.43091629170939577
0,5,10,3030.8721304347823,2357.3539130434783,3958.3282608695654,1.2857094192198546,0.7656949931102885
0,5,12,20591.350608695648,13752.23652173913,13619.302608695652,1.4973092250228133,1.5119240096441122
0,5,13,23432.640804347826,5165.332173913043,6492.5160869565225,4.5365215663557645,3.609177164986013
0,5,14,15543.404021739128,2205.430434782609,3361.3052173913043,7.047787033587053,4.624216789751186
0,5,15,10554.525326086958,3140.369565217391,2722.7486956521743,3.3609182317229354,3.8764228747739256
0,5,16,9447.815853735025,3294.6739130434776,2491.682608695652,2.867602713680256,3.791741299940595
0,5,17,7117.056338597705,3578.1982608695657,1774.2460869565216,1.9890055887702918,4.01131296888249
0,5,18,3819.0214782608678,2772.389565217391,1540.862608695652,1.3775197851610033,2.478495783276673
0,5,19,1542.1688695652172,2687.898260869565,1188.4343478260869,0.5737452536861676,1.2976475077367042
0,5,20,1091.926934782609,2093.5895652173913,961.3726086956522,0.5215573066104897,1.1357999228458227
0,5,21,631.0782173913043,1929.5504347826086,761.7869565217391,0.3270597160951661,0.8284182499957194
0,5,22,395.1830217391305,1302.1199999999997,577.8960869565218,0.3034920143605279,0.6838305893717916
0,5,23,463.0069782608696,763.9521739130433,511.845652173913,0.6060680158671441,0.9045832006081997
0,5,24,556.2446304347825,665.3608695652174,482.99,0.8360044238824305,1.151669041667079
0,5,25,379.9048695652173,653.7695652173912,334.79478260869564,0.5810990443381858,1.134739515965653
0,15,4,772.4055695652174,1652.431304347826,987.186956521739,0.4674358126312954,0.7824308905850177
0,15,5,983.9132695652172,2485.357391304348,1688.567391304348,0.39588401773028176,0.5826911467271586
0,15,6,2140.729473913043,5360.74,3368.9952173913034,0.3993346951937686,0.6354207518200821
0,15,7,7936.625052173913,13855.338260869563,10670.385652173913,0.5728207354264774,0.7437992693878837
0,15,8,10880.877113043476,11629.381739130436,9895.610869565216,0.9356367653175922,1.0995659850074067
0,15,9,3422.601265217391,4624.246956521739,5414.1434782608685,0.7401424053251255,0.6321593210375723
0,15,10,4067.88011407085,2357.3539130434783,3958.3282608695654,1.7256128117050464,1.027676293117039
0,15,12,22127.801321739124,13752.23652173913,13619.302608695652,1.6090329225184679,1.6247382085196467
0,15,13,25718.92708260869,5165.332173913043,6492.5160869565225,4.979142912144039,3.96131896142361
0,15,14,18913.33025494069,2205.430434782609,3361.3052173913043,8.57579996931755,5.626781571957114
0,15,15,13889.208050438745,3140.369565217391,2722.7486956521743,4.422794120881524,5.1011715009239555
0,15,16,11498.639882335601,3294.6739130434776,2491.682608695652,3.4900691800827275,4.614809222573864
0,15,17,8209.832280117167,3578.1982608695657,1774.2460869565216,2.294403965788646,4.627222988103088
0,15,18,4803.129004003169,2772.389565217391,1540.862608695652,1.7324870444845084,3.1171689006517216
0,15,19,2423.369591304348,2687.898260869565,1188.4343478260869,0.9015853116852574,2.0391278624159885
0,15,20,1611.8622173913038,2093.5895652173913,961.3726086956522,0.7699036354453427,1.6766259021860497
